mouse,session,geno,trial,result,,
Mouse8,1,First20,1,1,,
Mouse8,1,First20,2,1,,
Mouse8,1,First20,3,0,,
Mouse8,1,First20,4,1,,
Mouse8,1,First20,5,1,,
Mouse8,1,First20,6,1,,
Mouse8,1,First20,7,1,,
Mouse8,1,First20,8,1,,
Mouse8,1,First20,9,1,,
Mouse8,1,First20,10,1,,
Mouse8,1,First20,11,1,,
Mouse8,1,First20,12,0,,
Mouse8,1,First20,13,0,,
Mouse8,1,First20,14,0,,
Mouse8,1,First20,15,1,,
Mouse8,1,First20,16,0,,
Mouse8,1,First20,17,1,,
Mouse8,1,First20,18,1,,
Mouse8,1,First20,19,1,,
Mouse8,1,First20,20,1,,
Mouse8,1,Last20,221,1,,
Mouse8,1,Last20,222,1,,
Mouse8,1,Last20,223,0,,
Mouse8,1,Last20,224,0,,
Mouse8,1,Last20,225,1,,
Mouse8,1,Last20,226,1,,
Mouse8,1,Last20,227,1,,
Mouse8,1,Last20,228,0,,
Mouse8,1,Last20,229,0,,
Mouse8,1,Last20,230,0,,
Mouse8,1,Last20,231,1,,
Mouse8,1,Last20,232,0,,
Mouse8,1,Last20,233,0,,
Mouse8,1,Last20,234,0,,
Mouse8,1,Last20,235,1,,
Mouse8,1,Last20,236,1,,
Mouse8,1,Last20,237,0,,
Mouse8,1,Last20,238,0,,
Mouse8,1,Last20,239,0,,
Mouse8,1,Last20,240,0,,
Mouse8,2,First20,1,0,,
Mouse8,2,First20,2,1,,
Mouse8,2,First20,3,1,,
Mouse8,2,First20,4,1,,
Mouse8,2,First20,5,0,,
Mouse8,2,First20,6,1,,
Mouse8,2,First20,7,0,,
Mouse8,2,First20,8,1,,
Mouse8,2,First20,9,0,,
Mouse8,2,First20,10,0,,
Mouse8,2,First20,11,0,,
Mouse8,2,First20,12,1,,
Mouse8,2,First20,13,0,,
Mouse8,2,First20,14,0,,
Mouse8,2,First20,15,1,,
Mouse8,2,First20,16,1,,
Mouse8,2,First20,17,1,,
Mouse8,2,First20,18,0,,
Mouse8,2,First20,19,1,,
Mouse8,2,First20,20,0,,
Mouse8,2,Last20,200,1,,
Mouse8,2,Last20,201,0,,
Mouse8,2,Last20,202,1,,
Mouse8,2,Last20,203,0,,
Mouse8,2,Last20,204,1,,
Mouse8,2,Last20,205,1,,
Mouse8,2,Last20,206,0,,
Mouse8,2,Last20,207,1,,
Mouse8,2,Last20,208,0,,
Mouse8,2,Last20,209,1,,
Mouse8,2,Last20,210,0,,
Mouse8,2,Last20,211,1,,
Mouse8,2,Last20,212,0,,
Mouse8,2,Last20,213,1,,
Mouse8,2,Last20,214,0,,
Mouse8,2,Last20,215,0,,
Mouse8,2,Last20,216,0,,
Mouse8,2,Last20,217,0,,
Mouse8,2,Last20,218,0,,
Mouse8,2,Last20,219,0,,
Mouse8,3,First20,1,1,,
Mouse8,3,First20,2,1,,
Mouse8,3,First20,3,1,,
Mouse8,3,First20,4,1,,
Mouse8,3,First20,5,1,,
Mouse8,3,First20,6,1,,
Mouse8,3,First20,7,1,,
Mouse8,3,First20,8,1,,
Mouse8,3,First20,9,0,,
Mouse8,3,First20,10,0,,
Mouse8,3,First20,11,1,,
Mouse8,3,First20,12,0,,
Mouse8,3,First20,13,1,,
Mouse8,3,First20,14,0,,
Mouse8,3,First20,15,1,,
Mouse8,3,First20,16,1,,
Mouse8,3,First20,17,0,,
Mouse8,3,First20,18,0,,
Mouse8,3,First20,19,0,,
Mouse8,3,First20,20,1,,
Mouse8,3,Last20,173,0,,
Mouse8,3,Last20,174,0,,
Mouse8,3,Last20,175,0,,
Mouse8,3,Last20,176,0,,
Mouse8,3,Last20,177,1,,
Mouse8,3,Last20,178,0,,
Mouse8,3,Last20,179,0,,
Mouse8,3,Last20,180,1,,
Mouse8,3,Last20,181,1,,
Mouse8,3,Last20,182,1,,
Mouse8,3,Last20,183,1,,
Mouse8,3,Last20,184,1,,
Mouse8,3,Last20,185,0,,
Mouse8,3,Last20,186,0,,
Mouse8,3,Last20,187,1,,
Mouse8,3,Last20,188,1,,
Mouse8,3,Last20,189,1,,
Mouse8,3,Last20,190,1,,
Mouse8,3,Last20,191,1,,
Mouse8,3,Last20,192,0,,
Mouse9,1,First20,1,1,,
Mouse9,1,First20,2,1,,
Mouse9,1,First20,3,1,,
Mouse9,1,First20,4,0,,
Mouse9,1,First20,5,1,,
Mouse9,1,First20,6,1,,
Mouse9,1,First20,7,1,,
Mouse9,1,First20,8,0,,
Mouse9,1,First20,9,1,,
Mouse9,1,First20,10,0,,
Mouse9,1,First20,11,0,,
Mouse9,1,First20,12,1,,
Mouse9,1,First20,13,1,,
Mouse9,1,First20,14,0,,
Mouse9,1,First20,15,0,,
Mouse9,1,First20,16,1,,
Mouse9,1,First20,17,0,,
Mouse9,1,First20,18,1,,
Mouse9,1,First20,19,0,,
Mouse9,1,First20,20,1,,
Mouse9,1,Last20,216,0,,
Mouse9,1,Last20,217,0,,
Mouse9,1,Last20,218,1,,
Mouse9,1,Last20,219,1,,
Mouse9,1,Last20,220,1,,
Mouse9,1,Last20,221,1,,
Mouse9,1,Last20,222,0,,
Mouse9,1,Last20,223,0,,
Mouse9,1,Last20,224,1,,
Mouse9,1,Last20,225,0,,
Mouse9,1,Last20,226,1,,
Mouse9,1,Last20,227,0,,
Mouse9,1,Last20,228,0,,
Mouse9,1,Last20,229,1,,
Mouse9,1,Last20,230,0,,
Mouse9,1,Last20,231,0,,
Mouse9,1,Last20,232,1,,
Mouse9,1,Last20,233,0,,
Mouse9,1,Last20,234,0,,
Mouse9,1,Last20,235,0,,
Mouse9,2,First20,1,1,,
Mouse9,2,First20,2,0,,
Mouse9,2,First20,3,1,,
Mouse9,2,First20,4,0,,
Mouse9,2,First20,5,0,,
Mouse9,2,First20,6,0,,
Mouse9,2,First20,7,1,,
Mouse9,2,First20,8,1,,
Mouse9,2,First20,9,1,,
Mouse9,2,First20,10,0,,
Mouse9,2,First20,11,1,,
Mouse9,2,First20,12,1,,
Mouse9,2,First20,13,1,,
Mouse9,2,First20,14,1,,
Mouse9,2,First20,15,0,,
Mouse9,2,First20,16,0,,
Mouse9,2,First20,17,1,,
Mouse9,2,First20,18,1,,
Mouse9,2,First20,19,1,,
Mouse9,2,First20,20,0,,
Mouse9,2,Last20,215,0,,
Mouse9,2,Last20,216,1,,
Mouse9,2,Last20,217,1,,
Mouse9,2,Last20,218,1,,
Mouse9,2,Last20,219,1,,
Mouse9,2,Last20,220,1,,
Mouse9,2,Last20,221,1,,
Mouse9,2,Last20,222,1,,
Mouse9,2,Last20,223,0,,
Mouse9,2,Last20,224,0,,
Mouse9,2,Last20,225,0,,
Mouse9,2,Last20,226,1,,
Mouse9,2,Last20,227,1,,
Mouse9,2,Last20,228,0,,
Mouse9,2,Last20,229,1,,
Mouse9,2,Last20,230,1,,
Mouse9,2,Last20,231,0,,
Mouse9,2,Last20,232,1,,
Mouse9,2,Last20,233,1,,
Mouse9,2,Last20,234,0,,
Mouse9,3,First20,1,0,,
Mouse9,3,First20,2,0,,
Mouse9,3,First20,3,0,,
Mouse9,3,First20,4,1,,
Mouse9,3,First20,5,0,,
Mouse9,3,First20,6,1,,
Mouse9,3,First20,7,0,,
Mouse9,3,First20,8,0,,
Mouse9,3,First20,9,1,,
Mouse9,3,First20,10,1,,
Mouse9,3,First20,11,0,,
Mouse9,3,First20,12,1,,
Mouse9,3,First20,13,0,,
Mouse9,3,First20,14,0,,
Mouse9,3,First20,15,1,,
Mouse9,3,First20,16,1,,
Mouse9,3,First20,17,0,,
Mouse9,3,First20,18,1,,
Mouse9,3,First20,19,0,,
Mouse9,3,First20,20,1,,
Mouse9,3,Last20,241,1,,
Mouse9,3,Last20,242,1,,
Mouse9,3,Last20,243,1,,
Mouse9,3,Last20,244,1,,
Mouse9,3,Last20,245,0,,
Mouse9,3,Last20,246,1,,
Mouse9,3,Last20,247,0,,
Mouse9,3,Last20,248,1,,
Mouse9,3,Last20,249,1,,
Mouse9,3,Last20,250,1,,
Mouse9,3,Last20,251,0,,
Mouse9,3,Last20,252,1,,
Mouse9,3,Last20,253,0,,
Mouse9,3,Last20,254,1,,
Mouse9,3,Last20,255,0,,
Mouse9,3,Last20,256,1,,
Mouse9,3,Last20,257,1,,
Mouse9,3,Last20,258,1,,
Mouse9,3,Last20,259,1,,
Mouse9,3,Last20,260,0,,
Mouse10,1,First20,1,1,,
Mouse10,1,First20,2,1,,
Mouse10,1,First20,3,0,,
Mouse10,1,First20,4,1,,
Mouse10,1,First20,5,1,,
Mouse10,1,First20,6,1,,
Mouse10,1,First20,7,1,,
Mouse10,1,First20,8,1,,
Mouse10,1,First20,9,0,,
Mouse10,1,First20,10,0,,
Mouse10,1,First20,11,0,,
Mouse10,1,First20,12,0,,
Mouse10,1,First20,13,0,,
Mouse10,1,First20,14,0,,
Mouse10,1,First20,15,0,,
Mouse10,1,First20,16,0,,
Mouse10,1,First20,17,1,,
Mouse10,1,First20,18,0,,
Mouse10,1,First20,19,0,,
