mouse,session,geno,trial,result,,
Mouse1,1,First20,1,1,,
Mouse1,1,First20,2,1,,
Mouse1,1,First20,3,1,,
Mouse1,1,First20,4,1,,
Mouse1,1,First20,5,1,,
Mouse1,1,First20,6,1,,
Mouse1,1,First20,7,0,,
Mouse1,1,First20,8,1,,
Mouse1,1,First20,9,0,,
Mouse1,1,First20,10,0,,
Mouse1,1,First20,11,0,,
Mouse1,1,First20,12,1,,
Mouse1,1,First20,13,1,,
Mouse1,1,First20,14,1,,
Mouse1,1,First20,15,1,,
Mouse1,1,First20,16,0,,
Mouse1,1,First20,17,1,,
Mouse1,1,First20,18,1,,
Mouse1,1,First20,19,1,,
Mouse1,1,First20,20,0,,
Mouse1,1,Last20,260,0,,
Mouse1,1,Last20,261,1,,
Mouse1,1,Last20,262,0,,
Mouse1,1,Last20,263,0,,
Mouse1,1,Last20,264,1,,
Mouse1,1,Last20,265,1,,
Mouse1,1,Last20,266,1,,
Mouse1,1,Last20,267,1,,
Mouse1,1,Last20,268,1,,
Mouse1,1,Last20,269,1,,
Mouse1,1,Last20,270,0,,
Mouse1,1,Last20,271,0,,
Mouse1,1,Last20,272,0,,
Mouse1,1,Last20,273,1,,
Mouse1,1,Last20,274,1,,
Mouse1,1,Last20,275,1,,
Mouse1,1,Last20,276,1,,
Mouse1,1,Last20,277,1,,
Mouse1,1,Last20,278,1,,
Mouse1,1,Last20,279,1,,
Mouse1,2,First20,1,1,,
Mouse1,2,First20,2,1,,
Mouse1,2,First20,3,1,,
Mouse1,2,First20,4,1,,
Mouse1,2,First20,5,1,,
Mouse1,2,First20,6,1,,
Mouse1,2,First20,7,1,,
Mouse1,2,First20,8,0,,
Mouse1,2,First20,9,0,,
Mouse1,2,First20,10,0,,
Mouse1,2,First20,11,0,,
Mouse1,2,First20,12,1,,
Mouse1,2,First20,13,0,,
Mouse1,2,First20,14,1,,
Mouse1,2,First20,15,1,,
Mouse1,2,First20,16,1,,
Mouse1,2,First20,17,1,,
Mouse1,2,First20,18,0,,
Mouse1,2,First20,19,1,,
Mouse1,2,First20,20,0,,
Mouse1,2,Last20,219,1,,
Mouse1,2,Last20,220,1,,
Mouse1,2,Last20,221,1,,
Mouse1,2,Last20,222,1,,
Mouse1,2,Last20,223,1,,
Mouse1,2,Last20,224,0,,
Mouse1,2,Last20,225,0,,
Mouse1,2,Last20,226,1,,
Mouse1,2,Last20,227,0,,
Mouse1,2,Last20,228,0,,
Mouse1,2,Last20,229,0,,
Mouse1,2,Last20,230,1,,
Mouse1,2,Last20,231,0,,
Mouse1,2,Last20,232,1,,
Mouse1,2,Last20,233,1,,
Mouse1,2,Last20,234,0,,
Mouse1,2,Last20,235,0,,
Mouse1,2,Last20,236,1,,
Mouse1,2,Last20,237,0,,
Mouse1,2,Last20,238,0,,
Mouse1,3,First20,1,1,,
Mouse1,3,First20,2,0,,
Mouse1,3,First20,3,0,,
Mouse1,3,First20,4,1,,
Mouse1,3,First20,5,0,,
Mouse1,3,First20,6,1,,
Mouse1,3,First20,7,1,,
Mouse1,3,First20,8,1,,
Mouse1,3,First20,9,1,,
Mouse1,3,First20,10,1,,
Mouse1,3,First20,11,1,,
Mouse1,3,First20,12,0,,
Mouse1,3,First20,13,1,,
Mouse1,3,First20,14,0,,
Mouse1,3,First20,15,0,,
Mouse1,3,First20,16,1,,
Mouse1,3,First20,17,1,,
