Val,Geno,Bin,ID
149,1,1,1
141,1,2,1
149,1,3,1
149,1,1,2
76,1,2,2
149,1,3,2
150,1,1,3
149,1,2,3
150,1,3,3
149,1,1,4
149,1,2,4
150,1,3,4
149,1,1,5
150,1,2,5
149,1,3,5
149,1,1,6
142,1,2,6
149,1,3,6
95,1,1,7
114,1,2,7
73,1,3,7
120,2,1,8
104,2,2,8
92,2,3,8
116,2,1,9
121,2,2,9
143,2,3,9
89,2,1,10
112,2,2,10
108,2,3,10
121,2,1,11
149,2,2,11
149,2,3,11
67,2,1,12
62,2,2,12
86,2,3,12
97,2,1,13
98,2,2,13
105,2,3,13
106,2,1,14
97,2,2,14
109,2,3,14
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
