Val,Geno,Bin,ID
278,1,1,1
237,1,2,1
257,1,3,1
248,1,1,2
137,1,2,2
233,1,3,2
275,1,1,3
249,1,2,3
262,1,3,3
263,1,1,4
270,1,2,4
239,1,3,4
248,1,1,5
264,1,2,5
256,1,3,5
273,1,1,6
251,1,2,6
271,1,3,6
183,1,1,7
197,1,2,7
128,1,3,7
239,2,1,8
218,2,2,8
191,2,3,8
234,2,1,9
233,2,2,9
259,2,3,9
178,2,1,10
224,2,2,10
216,2,3,10
298,2,1,11
273,2,2,11
257,2,3,11
174,2,1,12
118,2,2,12
170,2,3,12
191,2,1,13
186,2,2,13
211,2,3,13
243,2,1,14
191,2,2,14
227,2,3,14
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
