mouse,session,trial,result,geno
Mouse1,1,1,0,1
Mouse1,1,2,1,1
Mouse1,1,5,1,1
Mouse1,1,7,1,1
Mouse1,1,8,1,1
Mouse1,1,10,1,1
Mouse1,1,13,0,1
Mouse1,1,16,1,1
Mouse1,1,18,1,1
Mouse1,1,21,1,1
Mouse1,1,22,1,1
Mouse1,1,25,0,1
Mouse1,1,26,0,1
Mouse1,1,28,1,1
Mouse1,1,29,1,1
Mouse1,1,31,1,1
Mouse1,1,33,0,1
Mouse1,1,35,1,1
Mouse1,1,36,1,1
Mouse1,1,38,0,1
Mouse1,1,41,1,1
Mouse1,1,44,0,1
Mouse1,1,45,1,1
Mouse1,1,48,1,1
Mouse1,1,49,1,1
Mouse1,1,52,1,1
Mouse1,1,55,1,1
Mouse1,1,56,0,1
Mouse1,1,58,0,1
Mouse1,1,59,1,1
Mouse1,1,62,1,1
Mouse1,1,63,0,1
Mouse1,1,65,0,1
Mouse1,1,67,0,1
Mouse1,1,70,1,1
Mouse1,1,71,1,1
Mouse1,1,74,1,1
Mouse1,1,76,0,1
Mouse1,1,77,1,1
Mouse1,1,80,0,1
Mouse1,1,83,0,1
Mouse1,1,85,1,1
Mouse1,1,87,1,1
Mouse1,1,89,0,1
Mouse1,1,90,1,1
Mouse1,1,92,1,1
Mouse1,1,95,1,1
Mouse1,1,96,1,1
Mouse1,1,99,1,1
Mouse1,1,100,0,1
Mouse1,1,103,1,1
Mouse1,1,105,1,1
Mouse1,1,106,1,1
Mouse1,1,109,1,1
Mouse1,1,110,1,1
Mouse1,1,113,1,1
Mouse1,1,115,1,1
Mouse1,1,116,1,1
Mouse1,2,1,0,1
Mouse1,2,3,1,1
Mouse1,2,4,0,1
Mouse1,2,6,0,1
Mouse1,2,9,0,1
Mouse1,2,12,0,1
Mouse1,2,15,1,1
Mouse1,2,16,0,1
Mouse1,2,18,1,1
Mouse1,2,19,1,1
Mouse1,2,21,1,1
Mouse1,2,22,1,1
Mouse1,2,25,1,1
Mouse1,2,26,0,1
Mouse1,2,28,0,1
Mouse1,2,29,1,1
Mouse1,2,32,0,1
Mouse1,2,33,1,1
Mouse1,2,35,1,1
Mouse1,2,37,0,1
Mouse1,2,38,1,1
Mouse1,2,41,0,1
Mouse1,2,42,1,1
Mouse1,2,44,1,1
Mouse1,2,46,1,1
Mouse1,2,49,0,1
Mouse1,2,52,1,1
Mouse1,2,55,1,1
Mouse1,2,57,0,1
Mouse1,2,58,0,1
Mouse1,2,61,0,1
Mouse1,2,63,0,1
Mouse1,2,64,1,1
Mouse1,2,66,0,1
Mouse1,2,69,1,1
Mouse1,2,71,1,1
Mouse1,2,74,0,1
Mouse1,2,76,1,1
Mouse1,2,78,1,1
Mouse1,2,79,1,1
Mouse1,2,81,1,1
Mouse1,2,84,1,1
Mouse1,2,86,0,1
Mouse1,2,87,0,1
Mouse1,2,90,1,1
Mouse1,2,92,1,1
Mouse1,2,94,1,1
Mouse1,2,97,1,1
Mouse1,2,98,1,1
Mouse1,2,100,0,1
Mouse1,2,101,1,1
Mouse1,2,104,1,1
Mouse1,2,105,0,1
Mouse1,2,108,1,1
Mouse1,2,109,1,1
Mouse1,2,111,1,1
Mouse1,2,112,1,1
Mouse1,2,115,1,1
Mouse1,2,117,1,1
Mouse1,2,119,1,1
Mouse1,2,120,1,1
Mouse1,2,122,1,1
Mouse1,2,123,1,1
Mouse1,2,126,0,1
Mouse1,2,129,1,1
Mouse1,2,132,1,1
Mouse1,2,133,1,1
Mouse1,2,136,1,1
Mouse1,3,1,1,1
Mouse1,3,4,1,1
Mouse1,3,7,1,1
Mouse1,3,10,1,1
Mouse1,3,11,1,1
Mouse1,3,14,1,1
Mouse1,3,17,0,1
Mouse1,3,20,0,1
Mouse1,3,22,0,1
Mouse1,3,24,1,1
Mouse1,3,25,1,1
Mouse1,3,27,0,1
Mouse1,3,28,1,1
Mouse1,3,31,1,1
Mouse1,3,33,1,1
Mouse1,3,34,1,1
Mouse1,3,36,1,1
Mouse1,3,38,1,1
Mouse1,3,40,1,1
Mouse1,3,41,1,1
Mouse1,3,43,1,1
Mouse1,3,44,1,1
Mouse1,3,46,1,1
Mouse1,3,49,1,1
Mouse1,3,50,0,1
Mouse1,3,53,0,1
Mouse1,3,55,0,1
Mouse1,3,56,0,1
Mouse1,3,58,1,1
Mouse1,3,59,1,1
Mouse1,3,61,1,1
Mouse1,3,63,1,1
Mouse1,3,64,1,1
Mouse1,3,67,1,1
Mouse1,3,68,0,1
Mouse1,3,70,1,1
Mouse1,3,71,0,1
Mouse1,3,73,1,1
Mouse1,3,74,1,1
Mouse1,3,76,1,1
Mouse1,3,78,1,1
Mouse1,3,81,1,1
Mouse1,3,84,1,1
Mouse1,3,87,1,1
Mouse1,3,88,0,1
Mouse1,3,90,1,1
Mouse1,3,93,1,1
Mouse1,3,94,1,1
Mouse1,3,96,1,1
Mouse1,3,97,1,1
Mouse1,3,100,1,1
Mouse1,3,101,1,1
Mouse1,3,104,0,1
Mouse1,3,105,1,1
Mouse1,3,107,1,1
Mouse1,3,108,1,1
Mouse1,3,111,1,1
Mouse1,3,112,1,1
Mouse1,3,114,1,1
Mouse1,3,115,1,1
Mouse1,3,118,1,1
Mouse1,3,120,1,1
Mouse1,4,2,0,1
Mouse1,4,5,0,1
Mouse1,4,6,1,1
Mouse1,4,8,1,1
Mouse1,4,9,1,1
Mouse1,4,12,0,1
Mouse1,4,15,1,1
Mouse1,4,18,1,1
Mouse1,4,21,0,1
Mouse1,4,22,1,1
Mouse1,4,25,0,1
Mouse1,4,26,1,1
Mouse1,4,28,1,1
Mouse1,4,29,1,1
Mouse1,4,32,1,1
Mouse1,4,35,1,1
Mouse1,4,36,1,1
Mouse1,4,39,0,1
Mouse1,4,41,1,1
Mouse1,4,42,1,1
Mouse1,4,45,1,1
Mouse1,4,46,0,1
Mouse1,4,48,1,1
Mouse1,4,51,1,1
Mouse1,4,52,1,1
Mouse1,4,54,0,1
Mouse1,4,55,1,1
Mouse1,4,57,1,1
Mouse1,4,60,1,1
Mouse1,4,62,0,1
Mouse1,4,63,1,1
Mouse1,4,66,1,1
Mouse1,4,67,1,1
Mouse1,4,69,0,1
Mouse1,4,72,0,1
Mouse1,4,73,1,1
Mouse1,4,75,1,1
Mouse1,4,76,1,1
Mouse1,4,79,1,1
Mouse1,4,80,1,1
Mouse1,4,83,1,1
Mouse1,4,84,1,1
Mouse1,4,86,1,1
Mouse1,4,89,0,1
Mouse1,4,92,1,1
Mouse1,4,93,1,1
Mouse1,4,95,0,1
Mouse1,4,97,1,1
Mouse1,4,98,1,1
Mouse1,4,101,1,1
Mouse1,4,102,1,1
Mouse1,4,105,1,1
Mouse1,4,106,0,1
Mouse1,4,108,0,1
Mouse1,4,111,0,1
Mouse1,4,114,1,1
Mouse1,4,115,0,1
Mouse1,4,117,1,1
Mouse1,4,119,1,1
Mouse1,4,120,0,1
Mouse1,4,123,0,1
Mouse1,4,124,1,1
Mouse1,4,127,1,1
Mouse1,4,128,1,1
Mouse1,4,131,1,1
Mouse1,4,132,0,1
Mouse1,4,134,0,1
Mouse1,4,135,0,1
Mouse1,4,137,1,1
Mouse1,5,1,1,1
Mouse1,5,3,1,1
Mouse1,5,6,1,1
Mouse1,5,7,1,1
Mouse1,5,9,0,1
Mouse1,5,10,0,1
Mouse1,5,13,1,1
Mouse1,5,15,0,1
Mouse1,5,17,1,1
Mouse1,5,18,0,1
Mouse1,5,20,0,1
Mouse1,5,21,0,1
Mouse1,5,24,1,1
Mouse1,5,25,0,1
Mouse1,5,27,0,1
Mouse1,5,30,0,1
Mouse1,5,31,1,1
Mouse1,5,34,0,1
Mouse1,5,35,0,1
Mouse1,5,38,1,1
Mouse1,5,39,1,1
Mouse1,5,41,1,1
Mouse1,5,43,0,1
Mouse1,5,45,1,1
Mouse1,5,46,1,1
Mouse1,5,49,0,1
Mouse1,5,50,0,1
Mouse1,5,52,1,1
Mouse1,5,53,1,1
Mouse1,5,55,1,1
Mouse1,5,56,1,1
Mouse1,5,59,1,1
Mouse1,5,60,1,1
Mouse1,5,62,0,1
Mouse1,5,63,0,1
Mouse1,5,66,1,1
Mouse1,5,68,1,1
Mouse1,5,71,0,1
Mouse1,5,74,1,1
Mouse1,5,76,1,1
Mouse1,5,77,1,1
Mouse1,5,79,0,1
Mouse1,5,80,0,1
Mouse1,5,82,1,1
Mouse1,5,83,0,1
Mouse1,5,85,1,1
Mouse1,5,88,0,1
Mouse1,5,91,1,1
Mouse1,6,3,0,1
Mouse1,6,5,0,1
Mouse1,6,6,0,1
Mouse1,6,9,1,1
Mouse1,6,11,0,1
Mouse1,6,13,0,1
Mouse1,6,15,0,1
Mouse1,6,16,1,1
Mouse1,6,18,1,1
Mouse1,6,19,0,1
Mouse1,6,21,0,1
Mouse1,6,22,1,1
Mouse1,6,25,1,1
Mouse1,6,27,1,1
Mouse1,6,29,1,1
Mouse1,6,30,1,1
Mouse1,6,33,1,1
Mouse1,6,35,0,1
Mouse1,6,36,1,1
Mouse1,6,39,1,1
Mouse1,6,41,0,1
Mouse1,6,43,0,1
Mouse1,6,44,0,1
Mouse1,6,46,0,1
Mouse1,6,47,0,1
Mouse1,6,49,0,1
Mouse1,6,51,0,1
Mouse1,6,52,0,1
Mouse1,6,55,1,1
Mouse1,6,56,1,1
Mouse1,6,59,0,1
Mouse1,6,60,0,1
Mouse1,6,62,0,1
Mouse1,6,64,1,1
Mouse1,6,66,1,1
Mouse1,6,67,1,1
Mouse1,6,69,1,1
Mouse1,7,2,0,1
Mouse1,7,4,0,1
Mouse1,7,5,0,1
