Mouse,trial,result,geno
Mouse1,1,0,1
Mouse1,2,1,1
Mouse1,3,0,1
Mouse1,4,1,1
Mouse1,5,1,1
Mouse1,6,0,1
Mouse1,7,0,1
Mouse1,8,1,1
Mouse1,9,1,1
Mouse1,10,1,1
Mouse1,11,1,1
Mouse1,12,1,1
Mouse1,13,1,1
Mouse1,14,0,1
Mouse1,15,1,1
Mouse1,16,1,1
Mouse1,17,0,1
Mouse1,18,1,1
Mouse1,19,1,1
Mouse1,20,1,1
Mouse1,21,1,1
Mouse1,22,1,1
Mouse1,23,1,1
Mouse1,24,0,1
Mouse1,25,1,1
Mouse1,26,1,1
Mouse1,27,1,1
Mouse1,28,1,1
Mouse1,29,1,1
Mouse1,30,0,1
Mouse1,31,1,1
Mouse1,32,1,1
Mouse1,33,1,1
Mouse1,34,1,1
Mouse1,35,0,1
Mouse1,36,1,1
Mouse1,37,1,1
Mouse1,38,0,1
Mouse1,39,0,1
Mouse1,40,1,1
Mouse1,41,1,1
Mouse1,42,0,1
Mouse1,43,1,1
Mouse1,44,0,1
Mouse1,45,1,1
Mouse1,46,1,1
Mouse1,47,1,1
Mouse1,48,1,1
Mouse1,49,1,1
Mouse1,50,1,1
Mouse1,51,1,1
Mouse1,52,1,1
Mouse1,53,1,1
Mouse1,54,1,1
Mouse1,55,0,1
Mouse1,56,1,1
Mouse1,57,0,1
Mouse1,58,1,1
Mouse1,59,1,1
Mouse1,60,1,1
Mouse1,61,0,1
Mouse1,62,0,1
Mouse1,63,0,1
Mouse1,64,0,1
Mouse1,65,1,1
Mouse1,66,1,1
Mouse1,67,0,1
Mouse1,68,1,1
Mouse1,69,1,1
Mouse1,70,1,1
Mouse1,71,1,1
Mouse1,72,1,1
Mouse1,73,1,1
Mouse1,74,1,1
Mouse1,75,1,1
Mouse1,76,1,1
Mouse1,77,1,1
Mouse1,78,1,1
Mouse1,79,1,1
Mouse1,80,1,1
Mouse1,81,1,1
Mouse1,82,1,1
Mouse1,83,1,1
Mouse1,84,1,1
Mouse1,85,0,1
Mouse1,86,1,1
Mouse1,87,0,1
Mouse1,88,1,1
Mouse1,89,1,1
Mouse1,90,1,1
Mouse1,91,1,1
Mouse1,92,1,1
Mouse1,93,1,1
Mouse1,94,1,1
Mouse1,95,0,1
Mouse1,96,1,1
Mouse1,97,1,1
Mouse1,98,0,1
Mouse1,99,1,1
Mouse1,100,1,1
Mouse1,101,0,1
Mouse1,102,1,1
Mouse1,103,1,1
Mouse1,104,1,1
Mouse1,105,1,1
Mouse2,1,1,1
Mouse2,2,0,1
Mouse2,3,1,1
Mouse2,4,0,1
Mouse2,5,1,1
Mouse2,6,1,1
Mouse2,7,1,1
Mouse2,8,1,1
Mouse2,9,1,1
Mouse2,10,1,1
Mouse2,11,1,1
Mouse2,12,1,1
Mouse2,13,1,1
Mouse2,14,1,1
Mouse2,15,1,1
Mouse2,16,1,1
Mouse2,17,1,1
Mouse2,18,1,1
Mouse2,19,1,1
Mouse2,20,1,1
Mouse2,21,1,1
Mouse2,22,1,1
Mouse2,23,0,1
Mouse2,24,1,1
Mouse2,25,1,1
Mouse2,26,1,1
Mouse2,27,1,1
Mouse2,28,1,1
Mouse2,29,1,1
Mouse2,30,1,1
Mouse2,31,1,1
Mouse2,32,1,1
Mouse2,33,1,1
Mouse2,34,1,1
Mouse2,35,1,1
Mouse2,36,1,1
Mouse2,37,1,1
Mouse2,38,1,1
Mouse2,39,1,1
Mouse2,40,1,1
Mouse2,41,1,1
Mouse2,42,1,1
Mouse2,43,0,1
Mouse2,44,1,1
Mouse2,45,1,1
Mouse2,46,1,1
Mouse2,47,1,1
Mouse2,48,1,1
Mouse2,49,1,1
Mouse2,50,1,1
Mouse2,51,1,1
Mouse2,52,1,1
Mouse2,53,1,1
Mouse2,54,1,1
Mouse2,55,1,1
Mouse2,56,1,1
Mouse2,57,1,1
Mouse2,58,1,1
Mouse2,59,0,1
Mouse2,60,1,1
Mouse2,61,1,1
Mouse2,62,1,1
Mouse2,63,0,1
Mouse2,64,1,1
Mouse2,65,1,1
Mouse2,66,1,1
Mouse2,67,1,1
Mouse2,68,1,1
Mouse2,69,1,1
Mouse2,70,1,1
Mouse2,71,1,1
Mouse2,72,0,1
Mouse2,73,1,1
Mouse2,74,1,1
Mouse2,75,1,1
Mouse2,76,1,1
Mouse2,77,1,1
Mouse2,78,1,1
Mouse2,79,1,1
Mouse2,80,1,1
Mouse2,81,1,1
Mouse2,82,1,1
Mouse2,83,1,1
Mouse2,84,1,1
Mouse2,85,1,1
Mouse2,86,1,1
Mouse2,87,1,1
Mouse3,1,0,1
Mouse3,2,1,1
Mouse3,3,0,1
Mouse3,4,1,1
Mouse3,5,1,1
Mouse3,6,1,1
Mouse3,7,1,1
Mouse3,8,1,1
Mouse3,9,1,1
Mouse3,10,1,1
Mouse3,11,0,1
Mouse3,12,1,1
Mouse3,13,1,1
Mouse3,14,1,1
Mouse3,15,0,1
Mouse3,16,1,1
Mouse3,17,1,1
Mouse3,18,1,1
Mouse3,19,0,1
Mouse3,20,1,1
Mouse3,21,1,1
Mouse3,22,0,1
Mouse3,23,1,1
Mouse3,24,1,1
Mouse3,25,1,1
Mouse3,26,1,1
Mouse3,27,1,1
Mouse3,28,1,1
Mouse3,29,1,1
Mouse3,30,0,1
Mouse3,31,0,1
Mouse3,32,0,1
Mouse3,33,1,1
Mouse3,34,1,1
Mouse3,35,1,1
Mouse3,36,1,1
Mouse3,37,1,1
Mouse3,38,1,1
Mouse3,39,1,1
Mouse3,40,1,1
Mouse3,41,1,1
Mouse3,42,0,1
Mouse3,43,1,1
Mouse3,44,1,1
Mouse3,45,1,1
Mouse3,46,0,1
Mouse3,47,1,1
Mouse3,48,1,1
Mouse3,49,1,1
Mouse3,50,0,1
Mouse3,51,0,1
Mouse3,52,1,1
Mouse3,53,1,1
Mouse3,54,1,1
Mouse3,55,1,1
Mouse3,56,0,1
Mouse3,57,0,1
Mouse3,58,1,1
Mouse3,59,1,1
Mouse3,60,0,1
Mouse3,61,1,1
Mouse3,62,1,1
Mouse3,63,1,1
Mouse3,64,1,1
Mouse3,65,1,1
Mouse3,66,0,1
Mouse3,67,1,1
Mouse3,68,1,1
Mouse3,69,1,1
Mouse3,70,0,1
Mouse3,71,0,1
Mouse3,72,1,1
Mouse3,73,1,1
Mouse3,74,1,1
Mouse3,75,1,1
Mouse3,76,1,1
Mouse3,77,1,1
Mouse3,78,1,1
Mouse3,79,1,1
Mouse3,80,1,1
Mouse3,81,1,1
Mouse3,82,0,1
Mouse3,83,1,1
Mouse3,84,1,1
Mouse3,85,1,1
Mouse3,86,0,1
Mouse3,87,1,1
Mouse3,88,1,1
Mouse3,89,0,1
Mouse3,90,1,1
Mouse3,91,1,1
Mouse3,92,1,1
Mouse3,93,1,1
Mouse3,94,1,1
Mouse3,95,1,1
Mouse3,96,0,1
Mouse3,97,1,1
Mouse3,98,1,1
Mouse3,99,1,1
Mouse3,100,1,1
Mouse3,101,1,1
Mouse3,102,0,1
Mouse3,103,1,1
Mouse3,104,0,1
Mouse3,105,1,1
Mouse4,1,0,2
Mouse4,2,1,2
Mouse4,3,1,2
Mouse4,4,1,2
Mouse4,5,1,2
Mouse4,6,0,2
Mouse4,7,0,2
Mouse4,8,0,2
Mouse4,9,1,2
Mouse4,10,1,2
Mouse4,11,1,2
Mouse4,12,1,2
Mouse4,13,0,2
Mouse4,14,1,2
Mouse4,15,1,2
Mouse4,16,1,2
Mouse4,17,1,2
Mouse4,18,1,2
Mouse4,19,1,2
Mouse4,20,1,2
Mouse4,21,1,2
Mouse4,22,1,2
Mouse4,23,1,2
Mouse4,24,1,2
Mouse4,25,0,2
Mouse4,26,1,2
Mouse4,27,1,2
Mouse4,28,1,2
Mouse4,29,0,2
Mouse4,30,1,2
Mouse4,31,1,2
Mouse4,32,1,2
Mouse4,33,0,2
Mouse4,34,1,2
Mouse4,35,1,2
Mouse4,36,1,2
Mouse4,37,1,2
Mouse4,38,1,2
Mouse4,39,1,2
Mouse4,40,0,2
Mouse4,41,0,2
Mouse4,42,0,2
Mouse4,43,0,2
Mouse4,44,1,2
Mouse4,45,0,2
Mouse4,46,1,2
Mouse4,47,1,2
Mouse4,48,1,2
Mouse4,49,0,2
Mouse4,50,1,2
Mouse4,51,1,2
Mouse4,52,1,2
Mouse4,53,1,2
Mouse4,54,1,2
Mouse4,55,1,2
Mouse4,56,0,2
Mouse4,57,1,2
Mouse4,58,1,2
Mouse4,59,1,2
Mouse4,60,1,2
Mouse4,61,1,2
Mouse4,62,1,2
Mouse4,63,1,2
Mouse4,64,1,2
Mouse4,65,0,2
Mouse4,66,1,2
Mouse4,67,0,2
Mouse4,68,1,2
Mouse4,69,1,2
Mouse4,70,1,2
Mouse4,71,1,2
Mouse4,72,1,2
Mouse4,73,1,2
Mouse4,74,1,2
Mouse4,75,1,2
Mouse4,76,1,2
Mouse4,77,1,2
Mouse4,78,1,2
Mouse4,79,0,2
Mouse4,80,1,2
Mouse4,81,1,2
Mouse4,82,1,2
Mouse4,83,0,2
Mouse4,84,1,2
Mouse4,85,1,2
Mouse4,86,0,2
Mouse4,87,0,2
Mouse4,88,1,2
Mouse4,89,1,2
Mouse4,90,1,2
Mouse4,91,1,2
Mouse4,92,0,2
Mouse4,93,1,2
Mouse4,94,1,2
Mouse4,95,0,2
Mouse4,96,0,2
Mouse4,97,0,2
Mouse4,98,1,2
Mouse4,99,1,2
Mouse4,100,0,2
Mouse4,101,0,2
Mouse4,102,1,2
Mouse4,103,1,2
Mouse4,104,0,2
Mouse4,105,0,2
Mouse4,106,0,2
Mouse4,107,1,2
Mouse4,108,1,2
Mouse4,109,1,2
Mouse4,110,0,2
Mouse4,111,0,2
Mouse4,112,1,2
Mouse5,1,1,2
Mouse5,2,1,2
Mouse5,3,1,2
Mouse5,4,1,2
Mouse5,5,1,2
Mouse5,6,0,2
Mouse5,7,1,2
Mouse5,8,1,2
Mouse5,9,1,2
Mouse5,10,1,2
Mouse5,11,1,2
Mouse5,12,1,2
Mouse5,13,1,2
Mouse5,14,1,2
Mouse5,15,0,2
Mouse5,16,1,2
Mouse5,17,1,2
Mouse5,18,1,2
Mouse5,19,1,2
Mouse5,20,1,2
Mouse5,21,0,2
Mouse5,22,1,2
Mouse5,23,1,2
Mouse5,24,1,2
Mouse5,25,1,2
Mouse5,26,1,2
Mouse5,27,1,2
Mouse5,28,0,2
Mouse5,29,1,2
Mouse5,30,1,2
Mouse5,31,1,2
Mouse5,32,1,2
Mouse5,33,0,2
Mouse5,34,1,2
Mouse5,35,0,2
Mouse5,36,1,2
Mouse5,37,1,2
Mouse5,38,1,2
Mouse5,39,1,2
Mouse5,40,1,2
Mouse5,41,1,2
Mouse5,42,0,2
Mouse5,43,1,2
Mouse5,44,1,2
Mouse5,45,1,2
Mouse5,46,1,2
Mouse5,47,0,2
Mouse5,48,1,2
Mouse5,49,1,2
Mouse5,50,1,2
Mouse5,51,1,2
Mouse5,52,1,2
Mouse5,53,1,2
Mouse5,54,1,2
Mouse5,55,1,2
Mouse5,56,1,2
Mouse5,57,1,2
Mouse5,58,1,2
Mouse5,59,1,2
Mouse5,60,1,2
Mouse5,61,1,2
Mouse5,62,1,2
Mouse5,63,1,2
Mouse5,64,1,2
Mouse5,65,1,2
Mouse5,66,1,2
Mouse5,67,1,2
Mouse5,68,1,2
Mouse5,69,1,2
Mouse5,70,1,2
Mouse5,71,1,2
Mouse5,72,1,2
Mouse5,73,1,2
Mouse5,74,1,2
Mouse5,75,1,2
Mouse5,76,1,2
Mouse5,77,1,2
Mouse5,78,1,2
Mouse5,79,1,2
Mouse5,80,1,2
Mouse5,81,1,2
Mouse5,82,1,2
Mouse5,83,1,2
Mouse5,84,1,2
Mouse5,85,1,2
Mouse5,86,1,2
Mouse5,87,1,2
Mouse5,88,1,2
Mouse6,1,1,2
Mouse6,2,1,2
Mouse6,3,1,2
Mouse6,4,1,2
Mouse6,5,1,2
Mouse6,6,1,2
Mouse6,7,1,2
Mouse6,8,1,2
Mouse6,9,1,2
Mouse6,10,1,2
Mouse6,11,1,2
Mouse6,12,1,2
Mouse6,13,1,2
Mouse6,14,1,2
Mouse6,15,1,2
Mouse6,16,1,2
Mouse6,17,1,2
Mouse6,18,1,2
Mouse6,19,1,2
Mouse6,20,1,2
Mouse6,21,1,2
Mouse6,22,1,2
Mouse6,23,1,2
Mouse6,24,1,2
Mouse6,25,1,2
Mouse6,26,1,2
Mouse6,27,1,2
Mouse6,28,1,2
Mouse6,29,1,2
Mouse6,30,1,2
Mouse6,31,1,2
Mouse6,32,0,2
Mouse6,33,1,2
Mouse6,34,1,2
Mouse6,35,1,2
Mouse6,36,1,2
Mouse6,37,1,2
Mouse6,38,1,2
Mouse6,39,1,2
Mouse6,40,1,2
Mouse6,41,1,2
Mouse6,42,1,2
Mouse6,43,1,2
Mouse6,44,1,2
Mouse6,45,1,2
Mouse6,46,1,2
Mouse6,47,1,2
Mouse6,48,1,2
Mouse6,49,1,2
Mouse6,50,1,2
Mouse6,51,1,2
Mouse6,52,1,2
Mouse6,53,1,2
Mouse6,54,1,2
Mouse6,55,1,2
Mouse6,56,1,2
Mouse6,57,1,2
Mouse6,58,1,2
Mouse6,59,1,2
Mouse6,60,1,2
Mouse6,61,1,2
Mouse6,62,1,2
Mouse6,63,1,2
Mouse6,64,1,2
Mouse6,65,1,2
Mouse6,66,1,2
Mouse6,67,1,2
Mouse6,68,1,2
Mouse6,69,1,2
Mouse6,70,1,2
Mouse6,71,1,2
Mouse6,72,1,2
Mouse6,73,1,2
Mouse6,74,1,2
Mouse6,75,1,2
Mouse6,76,1,2
Mouse6,77,1,2
Mouse6,78,1,2
Mouse6,79,1,2
Mouse6,80,1,2
Mouse6,81,1,2
