mouse,session,trial,result,geno
Mouse1,1,1,1,1
Mouse1,1,3,1,1
Mouse1,1,4,0,1
Mouse1,1,5,0,1
Mouse1,1,6,1,1
Mouse1,1,7,1,1
Mouse1,1,8,0,1
Mouse1,1,9,0,1
Mouse1,1,10,0,1
Mouse1,1,11,1,1
Mouse1,1,12,0,1
Mouse1,1,13,0,1
Mouse1,1,14,0,1
Mouse1,1,15,1,1
Mouse1,1,16,0,1
Mouse1,1,17,1,1
Mouse1,1,18,0,1
Mouse1,1,19,0,1
Mouse1,1,20,0,1
Mouse1,1,21,0,1
Mouse1,1,22,1,1
Mouse1,1,23,1,1
Mouse1,1,24,1,1
Mouse1,1,25,0,1
Mouse1,1,26,0,1
Mouse1,1,27,1,1
Mouse1,1,28,0,1
Mouse1,1,29,0,1
Mouse1,1,30,0,1
Mouse1,1,31,0,1
Mouse1,1,32,1,1
Mouse1,1,33,0,1
Mouse1,1,34,1,1
Mouse1,1,35,1,1
Mouse1,1,36,1,1
Mouse1,1,37,0,1
Mouse1,1,38,1,1
Mouse1,1,39,1,1
Mouse1,1,40,1,1
Mouse1,1,41,0,1
Mouse1,1,42,0,1
Mouse1,1,43,0,1
Mouse1,1,44,1,1
Mouse1,1,45,0,1
Mouse1,1,46,1,1
Mouse1,1,47,1,1
Mouse1,1,48,0,1
Mouse1,1,49,0,1
Mouse1,1,50,1,1
Mouse1,1,51,1,1
Mouse1,1,52,0,1
Mouse1,1,53,0,1
Mouse1,1,54,1,1
Mouse1,1,55,1,1
Mouse1,1,56,1,1
Mouse1,1,57,0,1
Mouse1,1,58,1,1
Mouse1,1,59,0,1
Mouse1,1,60,0,1
Mouse1,1,61,1,1
Mouse1,1,62,1,1
Mouse1,1,63,1,1
Mouse1,1,64,0,1
Mouse1,1,65,1,1
Mouse1,1,66,1,1
Mouse1,1,67,1,1
Mouse1,1,68,0,1
Mouse1,1,69,1,1
Mouse1,1,70,0,1
Mouse1,1,71,0,1
Mouse1,1,72,0,1
Mouse1,1,73,0,1
Mouse1,1,74,0,1
Mouse1,1,75,0,1
Mouse1,1,76,0,1
Mouse1,1,77,0,1
Mouse1,1,78,1,1
Mouse1,1,79,1,1
Mouse1,1,80,0,1
Mouse1,1,81,1,1
Mouse1,1,82,0,1
Mouse1,1,83,1,1
Mouse1,1,84,1,1
Mouse1,1,85,1,1
Mouse1,1,86,0,1
Mouse1,1,87,1,1
Mouse1,1,88,0,1
Mouse1,1,89,1,1
Mouse1,1,90,1,1
Mouse1,1,91,0,1
Mouse1,1,92,0,1
Mouse1,1,93,0,1
Mouse1,1,94,0,1
Mouse1,1,95,1,1
Mouse1,1,96,0,1
Mouse1,1,97,1,1
Mouse1,1,98,0,1
Mouse1,1,99,1,1
Mouse1,1,100,0,1
Mouse1,1,101,0,1
Mouse1,1,102,1,1
Mouse1,1,103,0,1
Mouse1,1,104,0,1
Mouse1,1,105,0,1
Mouse1,1,106,0,1
Mouse1,1,107,0,1
Mouse1,1,108,0,1
Mouse1,1,109,1,1
Mouse1,1,110,1,1
Mouse1,1,111,0,1
Mouse1,1,112,1,1
Mouse1,1,113,0,1
Mouse1,1,114,0,1
Mouse1,1,115,1,1
Mouse1,1,116,0,1
Mouse1,1,117,1,1
Mouse1,1,118,1,1
Mouse1,1,119,1,1
Mouse1,1,120,0,1
Mouse1,1,121,0,1
Mouse1,1,122,0,1
Mouse1,1,123,1,1
Mouse1,1,124,0,1
Mouse1,1,125,0,1
Mouse1,1,126,0,1
Mouse1,1,127,1,1
Mouse1,1,128,0,1
Mouse1,1,129,0,1
Mouse1,1,130,1,1
Mouse1,1,131,1,1
Mouse1,1,132,0,1
Mouse1,1,133,0,1
Mouse1,1,134,0,1
Mouse1,1,135,0,1
Mouse1,1,136,1,1
Mouse1,1,137,1,1
Mouse1,1,138,0,1
Mouse1,1,139,0,1
Mouse1,1,140,1,1
Mouse1,1,141,0,1
Mouse1,1,142,0,1
Mouse1,1,143,0,1
Mouse1,1,144,0,1
Mouse1,1,145,0,1
Mouse1,1,146,0,1
Mouse1,1,147,0,1
Mouse1,1,148,0,1
Mouse1,1,149,0,1
Mouse1,1,150,1,1
Mouse1,1,151,0,1
Mouse1,1,152,0,1
Mouse1,1,153,1,1
Mouse1,1,154,1,1
Mouse1,1,155,0,1
Mouse1,1,156,1,1
Mouse1,1,157,0,1
Mouse1,1,158,0,1
Mouse1,1,159,1,1
Mouse1,1,160,0,1
Mouse1,1,161,0,1
Mouse1,1,162,0,1
Mouse1,1,163,0,1
Mouse1,1,164,1,1
Mouse1,1,165,0,1
Mouse1,1,166,1,1
Mouse1,1,167,0,1
Mouse1,1,168,0,1
Mouse1,1,169,1,1
Mouse1,1,170,0,1
Mouse1,1,171,0,1
Mouse1,1,172,0,1
Mouse1,1,173,1,1
Mouse1,1,174,0,1
Mouse1,1,175,0,1
Mouse1,1,176,1,1
Mouse1,1,177,0,1
Mouse1,1,178,0,1
Mouse1,1,179,1,1
Mouse1,1,180,0,1
Mouse1,1,181,0,1
Mouse1,1,182,0,1
Mouse1,1,183,0,1
Mouse1,1,184,0,1
Mouse1,1,185,0,1
Mouse1,1,186,0,1
Mouse1,1,187,1,1
Mouse1,1,188,1,1
Mouse1,1,189,1,1
Mouse1,1,190,0,1
Mouse1,1,191,1,1
Mouse1,1,192,1,1
Mouse1,1,193,0,1
