mouse,session,trial,result
Mouse1,1,1,0
Mouse1,1,2,0
Mouse1,1,3,1
Mouse1,1,4,1
Mouse1,1,5,1
Mouse1,1,6,0
Mouse1,1,7,1
Mouse1,1,8,0
Mouse1,1,9,0
Mouse1,1,10,0
Mouse1,1,11,0
Mouse1,1,12,1
Mouse1,1,13,0
Mouse1,1,14,1
Mouse1,1,15,0
Mouse1,1,16,0
Mouse1,1,17,0
Mouse1,1,18,1
Mouse1,1,19,0
Mouse1,1,20,1
Mouse1,1,21,1
Mouse1,1,22,1
Mouse1,1,23,0
Mouse1,1,24,1
Mouse1,1,25,1
Mouse1,1,26,1
Mouse1,1,27,0
Mouse1,1,28,1
Mouse1,1,29,0
Mouse1,1,30,0
Mouse1,1,31,1
Mouse1,1,32,0
Mouse1,1,33,1
Mouse1,1,34,0
Mouse1,1,35,1
Mouse1,1,36,0
Mouse1,1,37,0
Mouse1,1,38,0
Mouse1,1,39,1
Mouse1,1,40,1
Mouse1,1,41,1
Mouse1,1,42,0
Mouse1,1,43,1
Mouse1,1,44,1
Mouse1,1,45,1
Mouse1,1,46,1
Mouse1,1,47,0
Mouse1,1,48,0
Mouse1,1,49,0
Mouse1,1,50,1
Mouse1,1,51,1
Mouse1,1,52,1
Mouse1,1,53,1
Mouse1,1,54,1
Mouse1,1,55,0
Mouse1,1,56,0
Mouse1,1,57,0
Mouse1,1,58,0
Mouse1,1,59,0
Mouse1,1,60,0
Mouse1,1,61,1
Mouse1,1,62,1
Mouse1,1,63,0
Mouse1,1,64,0
Mouse1,1,65,0
Mouse1,1,66,1
Mouse1,1,67,0
Mouse1,1,68,1
Mouse1,1,69,0
Mouse1,1,70,0
Mouse1,1,71,1
Mouse1,1,72,1
Mouse1,1,73,1
Mouse1,1,74,0
Mouse1,1,75,1
Mouse1,1,76,0
Mouse1,1,77,0
Mouse1,1,78,1
Mouse1,1,79,1
Mouse1,1,80,1
Mouse1,1,81,1
Mouse1,1,82,1
Mouse1,1,83,1
Mouse1,1,84,1
Mouse1,1,85,1
Mouse1,1,86,0
Mouse1,1,87,1
Mouse1,1,88,0
Mouse1,1,89,1
Mouse1,1,90,0
Mouse1,1,91,1
Mouse1,1,92,0
Mouse1,1,93,1
Mouse1,1,94,1
Mouse1,1,95,0
Mouse1,1,96,1
Mouse1,1,97,1
Mouse1,1,98,1
Mouse1,1,99,0
Mouse1,1,100,0
Mouse1,1,101,1
Mouse1,1,102,0
Mouse1,1,103,0
Mouse1,1,104,0
Mouse1,1,105,1
Mouse1,1,106,1
Mouse1,1,107,1
Mouse1,1,108,1
Mouse1,1,109,0
Mouse1,1,110,1
Mouse1,1,111,0
Mouse1,1,112,1
Mouse1,1,113,1
Mouse1,1,114,1
Mouse1,1,115,1
Mouse1,1,116,0
Mouse1,1,117,0
Mouse1,1,118,0
Mouse1,1,119,1
Mouse1,1,120,1
Mouse1,1,121,0
Mouse1,1,122,0
Mouse1,1,123,1
Mouse1,1,124,1
Mouse1,1,125,0
Mouse1,1,126,1
Mouse1,1,127,1
Mouse1,1,128,0
Mouse1,1,129,0
Mouse1,1,130,0
Mouse1,1,131,0
Mouse1,1,132,0
Mouse1,1,133,1
Mouse1,1,134,1
Mouse1,1,135,1
Mouse1,1,136,0
Mouse1,1,137,1
Mouse1,1,138,1
Mouse1,1,139,0
Mouse1,1,140,1
Mouse1,1,141,1
Mouse1,1,142,0
Mouse1,1,143,0
Mouse1,1,144,0
Mouse1,1,145,1
Mouse1,1,146,1
Mouse1,1,147,1
Mouse1,1,148,0
Mouse1,1,149,0
Mouse1,1,150,1
Mouse1,2,1,1
Mouse1,2,2,1
Mouse1,2,3,1
Mouse1,2,4,0
Mouse1,2,5,1
Mouse1,2,6,0
Mouse1,2,7,1
Mouse1,2,8,1
Mouse1,2,9,1
Mouse1,2,10,0
Mouse1,2,11,1
Mouse1,2,12,1
Mouse1,2,13,1
Mouse1,2,14,1
Mouse1,2,15,0
Mouse1,2,16,1
Mouse1,2,17,1
Mouse1,2,18,1
Mouse1,2,19,1
Mouse1,2,20,0
Mouse1,2,21,1
Mouse1,2,22,1
Mouse1,2,23,0
Mouse1,2,24,1
Mouse1,2,25,1
Mouse1,2,26,1
Mouse1,2,27,1
Mouse1,2,28,1
Mouse1,2,29,1
Mouse1,2,30,1
Mouse1,2,31,1
Mouse1,2,32,1
Mouse1,2,33,1
Mouse1,2,34,1
Mouse1,2,35,0
Mouse1,2,36,1
Mouse1,2,37,0
Mouse1,2,38,1
Mouse1,2,39,0
Mouse1,2,40,0
Mouse1,2,41,1
Mouse1,2,42,1
Mouse1,2,43,0
Mouse1,2,44,0
Mouse1,2,45,1
Mouse1,2,46,0
Mouse1,2,47,0
Mouse1,2,48,1
Mouse1,2,49,1
Mouse1,2,50,0
Mouse1,2,51,0
Mouse1,2,52,1
Mouse1,2,53,0
Mouse1,2,54,1
Mouse1,2,55,0
Mouse1,2,56,0
Mouse1,2,57,1
Mouse1,2,58,0
Mouse1,2,59,1
Mouse1,2,60,1
Mouse1,2,61,1
Mouse1,2,62,1
Mouse1,2,63,1
Mouse1,2,64,0
Mouse1,2,65,0
Mouse1,2,66,0
Mouse1,2,67,0
Mouse1,2,68,1
Mouse1,2,69,1
Mouse1,2,70,1
Mouse1,2,71,0
Mouse1,2,72,0
Mouse1,2,73,0
Mouse1,2,74,1
Mouse1,2,75,1
Mouse1,2,76,0
Mouse1,2,77,1
Mouse1,2,78,0
Mouse1,2,79,1
Mouse1,2,80,1
Mouse1,2,81,1
Mouse1,2,82,1
Mouse1,2,83,1
Mouse1,2,84,0
Mouse1,2,85,1
Mouse1,2,86,1
Mouse1,2,87,1
Mouse1,2,88,1
Mouse1,2,89,0
Mouse1,2,90,1
Mouse1,2,91,1
Mouse1,2,92,1
Mouse1,2,93,1
Mouse1,2,94,1
Mouse1,2,95,1
Mouse1,2,96,0
