mouse,session,geno,trial,result
Mouse1,1,First20,1,0
Mouse1,1,First20,2,0
Mouse1,1,First20,3,1
Mouse1,1,First20,4,1
Mouse1,1,First20,5,1
Mouse1,1,First20,6,0
Mouse1,1,First20,7,1
Mouse1,1,First20,8,0
Mouse1,1,First20,9,0
Mouse1,1,First20,10,0
Mouse1,1,First20,11,0
Mouse1,1,First20,12,1
Mouse1,1,First20,13,0
Mouse1,1,First20,14,1
Mouse1,1,First20,15,0
Mouse1,1,First20,16,0
Mouse1,1,First20,17,0
Mouse1,1,First20,18,1
Mouse1,1,First20,19,0
Mouse1,1,First20,20,1
Mouse1,1,Last20,131,0
Mouse1,1,Last20,132,0
Mouse1,1,Last20,133,1
Mouse1,1,Last20,134,1
Mouse1,1,Last20,135,1
Mouse1,1,Last20,136,0
Mouse1,1,Last20,137,1
Mouse1,1,Last20,138,1
Mouse1,1,Last20,139,0
Mouse1,1,Last20,140,1
Mouse1,1,Last20,141,1
Mouse1,1,Last20,142,0
Mouse1,1,Last20,143,0
Mouse1,1,Last20,144,0
Mouse1,1,Last20,145,1
Mouse1,1,Last20,146,1
Mouse1,1,Last20,147,1
Mouse1,1,Last20,148,0
Mouse1,1,Last20,149,0
Mouse1,1,Last20,150,1
Mouse1,2,First20,1,1
Mouse1,2,First20,2,1
Mouse1,2,First20,3,1
Mouse1,2,First20,4,0
Mouse1,2,First20,5,1
Mouse1,2,First20,6,0
Mouse1,2,First20,7,1
Mouse1,2,First20,8,1
Mouse1,2,First20,9,1
Mouse1,2,First20,10,0
Mouse1,2,First20,11,1
Mouse1,2,First20,12,1
Mouse1,2,First20,13,1
Mouse1,2,First20,14,1
Mouse1,2,First20,15,0
Mouse1,2,First20,16,1
Mouse1,2,First20,17,1
Mouse1,2,First20,18,1
Mouse1,2,First20,19,1
Mouse1,2,First20,20,0
Mouse1,2,Last20,105,0
Mouse1,2,Last20,106,0
Mouse1,2,Last20,107,1
Mouse1,2,Last20,108,1
Mouse1,2,Last20,109,0
Mouse1,2,Last20,110,0
Mouse1,2,Last20,111,0
Mouse1,2,Last20,112,1
Mouse1,2,Last20,113,1
Mouse1,2,Last20,114,1
Mouse1,2,Last20,115,1
Mouse1,2,Last20,116,0
Mouse1,2,Last20,117,1
Mouse1,2,Last20,118,1
Mouse1,2,Last20,119,1
Mouse1,2,Last20,120,1
Mouse1,2,Last20,121,0
Mouse1,2,Last20,122,1
Mouse1,2,Last20,123,0
Mouse1,2,Last20,124,1
Mouse1,3,First20,1,0
Mouse1,3,First20,2,1
Mouse1,3,First20,3,1
Mouse1,3,First20,4,1
Mouse1,3,First20,5,1
Mouse1,3,First20,6,0
Mouse1,3,First20,7,1
Mouse1,3,First20,8,0
Mouse1,3,First20,9,1
Mouse1,3,First20,10,1
Mouse1,3,First20,11,1
Mouse1,3,First20,12,1
Mouse1,3,First20,13,1
Mouse1,3,First20,14,0
Mouse1,3,First20,15,1
Mouse1,3,First20,16,0
Mouse1,3,First20,17,0
Mouse1,3,First20,18,0
Mouse1,3,First20,19,0
Mouse1,3,First20,20,1
Mouse1,3,Last20,106,1
Mouse1,3,Last20,107,1
Mouse1,3,Last20,108,0
Mouse1,3,Last20,109,1
Mouse1,3,Last20,110,1
Mouse1,3,Last20,111,1
Mouse1,3,Last20,112,1
Mouse1,3,Last20,113,1
Mouse1,3,Last20,114,0
Mouse1,3,Last20,115,1
Mouse1,3,Last20,116,0
Mouse1,3,Last20,117,0
Mouse1,3,Last20,118,1
Mouse1,3,Last20,119,1
Mouse1,3,Last20,120,1
Mouse1,3,Last20,121,1
Mouse1,3,Last20,122,0
Mouse1,3,Last20,123,0
Mouse1,3,Last20,124,1
Mouse1,3,Last20,125,1
Mouse1,4,First20,1,1
Mouse1,4,First20,2,0
Mouse1,4,First20,3,0
Mouse1,4,First20,4,1
Mouse1,4,First20,5,0
Mouse1,4,First20,6,1
Mouse1,4,First20,7,1
Mouse1,4,First20,8,0
Mouse1,4,First20,9,1
Mouse1,4,First20,10,0
Mouse1,4,First20,11,1
Mouse1,4,First20,12,0
Mouse1,4,First20,13,1
Mouse1,4,First20,14,0
Mouse1,4,First20,15,0
Mouse1,4,First20,16,1
Mouse1,4,First20,17,1
Mouse1,4,First20,18,1
Mouse1,4,First20,19,1
Mouse1,4,First20,20,0
Mouse1,4,Last20,105,1
Mouse1,4,Last20,106,1
Mouse1,4,Last20,107,1
Mouse1,4,Last20,108,1
Mouse1,4,Last20,109,1
Mouse1,4,Last20,110,0
Mouse1,4,Last20,111,0
Mouse1,4,Last20,112,1
Mouse1,4,Last20,113,0
Mouse1,4,Last20,114,1
Mouse1,4,Last20,115,1
Mouse1,4,Last20,116,1
Mouse1,4,Last20,117,0
Mouse1,4,Last20,118,1
Mouse1,4,Last20,119,1
Mouse1,4,Last20,120,1
Mouse1,4,Last20,121,1
Mouse1,4,Last20,122,0
Mouse1,4,Last20,123,0
Mouse1,4,Last20,124,1
Mouse1,5,First20,1,1
Mouse1,5,First20,2,1
Mouse1,5,First20,3,1
Mouse1,5,First20,4,1
Mouse1,5,First20,5,1
Mouse1,5,First20,6,0
Mouse1,5,First20,7,0
Mouse1,5,First20,8,1
Mouse1,5,First20,9,1
Mouse1,5,First20,10,0
Mouse1,5,First20,11,1
Mouse1,5,First20,12,1
Mouse1,5,First20,13,1
Mouse1,5,First20,14,1
Mouse1,5,First20,15,1
Mouse1,5,First20,16,1
Mouse1,5,First20,17,0
Mouse1,5,First20,18,1
Mouse1,5,First20,19,1
Mouse1,5,First20,20,1
Mouse1,5,Last20,89,1
Mouse1,5,Last20,90,0
Mouse1,5,Last20,91,1
Mouse1,5,Last20,92,1
Mouse1,5,Last20,93,1
Mouse1,5,Last20,94,1
Mouse1,5,Last20,95,1
Mouse1,5,Last20,96,0
Mouse1,5,Last20,97,1
Mouse1,5,Last20,98,1
Mouse1,5,Last20,99,0
Mouse1,5,Last20,100,1
Mouse1,5,Last20,101,1
Mouse1,5,Last20,102,1
Mouse1,5,Last20,103,0
Mouse1,5,Last20,104,0
Mouse1,5,Last20,105,1
Mouse1,5,Last20,106,1
Mouse1,5,Last20,107,1
Mouse1,5,Last20,108,1
Mouse2,1,First20,1,1
Mouse2,1,First20,2,0
Mouse2,1,First20,3,0
Mouse2,1,First20,4,0
Mouse2,1,First20,5,0
Mouse2,1,First20,6,0
Mouse2,1,First20,7,0
Mouse2,1,First20,8,1
Mouse2,1,First20,9,1
Mouse2,1,First20,10,1
Mouse2,1,First20,11,0
Mouse2,1,First20,12,1
Mouse2,1,First20,13,1
Mouse2,1,First20,14,0
Mouse2,1,First20,15,1
Mouse2,1,First20,16,0
Mouse2,1,First20,17,1
Mouse2,1,First20,18,1
Mouse2,1,First20,19,1
Mouse2,1,First20,20,1
Mouse2,1,Last20,128,1
Mouse2,1,Last20,129,1
Mouse2,1,Last20,130,1
Mouse2,1,Last20,131,0
Mouse2,1,Last20,132,1
Mouse2,1,Last20,133,1
Mouse2,1,Last20,134,0
Mouse2,1,Last20,135,0
Mouse2,1,Last20,136,1
Mouse2,1,Last20,137,1
Mouse2,1,Last20,138,1
Mouse2,1,Last20,139,1
Mouse2,1,Last20,140,1
Mouse2,1,Last20,141,0
Mouse2,1,Last20,142,1
Mouse2,1,Last20,143,1
Mouse2,1,Last20,144,1
Mouse2,1,Last20,145,0
Mouse2,1,Last20,146,1
Mouse2,1,Last20,147,1
Mouse2,2,First20,1,0
Mouse2,2,First20,2,1
Mouse2,2,First20,3,1
Mouse2,2,First20,4,0
Mouse2,2,First20,5,1
Mouse2,2,First20,6,1
Mouse2,2,First20,7,0
Mouse2,2,First20,8,0
Mouse2,2,First20,9,1
Mouse2,2,First20,10,1
Mouse2,2,First20,11,0
Mouse2,2,First20,12,1
Mouse2,2,First20,13,0
Mouse2,2,First20,14,0
Mouse2,2,First20,15,1
Mouse2,2,First20,16,1
Mouse2,2,First20,17,1
Mouse2,2,First20,18,0
Mouse2,2,First20,19,1
Mouse2,2,First20,20,1
Mouse2,2,Last20,109,0
Mouse2,2,Last20,110,0
Mouse2,2,Last20,111,1
Mouse2,2,Last20,112,0
Mouse2,2,Last20,113,1
Mouse2,2,Last20,114,1
Mouse2,2,Last20,115,1
Mouse2,2,Last20,116,0
Mouse2,2,Last20,117,0
Mouse2,2,Last20,118,0
Mouse2,2,Last20,119,0
Mouse2,2,Last20,120,1
Mouse2,2,Last20,121,1
Mouse2,2,Last20,122,1
Mouse2,2,Last20,123,0
Mouse2,2,Last20,124,0
Mouse2,2,Last20,125,1
Mouse2,2,Last20,126,1
Mouse2,2,Last20,127,1
