mouse,session,trial,result
Mouse1,1,3,1
Mouse1,1,4,1
Mouse1,1,7,1
Mouse1,1,8,0
Mouse1,1,11,1
Mouse1,1,12,0
Mouse1,1,14,1
Mouse1,1,16,1
Mouse1,1,19,1
Mouse1,1,22,1
Mouse1,1,23,1
Mouse1,1,26,0
Mouse1,1,28,1
Mouse1,1,29,0
Mouse1,1,32,1
Mouse1,1,34,0
Mouse1,1,35,0
Mouse1,1,37,0
Mouse1,1,39,0
Mouse1,1,42,1
Mouse1,1,43,1
Mouse1,1,46,0
Mouse1,1,47,0
Mouse1,1,49,1
Mouse1,1,51,1
Mouse1,1,52,0
Mouse1,1,55,1
Mouse1,1,56,1
Mouse1,1,59,0
Mouse1,1,61,0
Mouse1,1,64,1
Mouse1,1,66,1
Mouse1,1,69,1
Mouse1,1,71,1
Mouse1,1,73,1
Mouse1,1,76,1
Mouse1,1,79,1
Mouse1,1,82,1
Mouse1,1,83,0
Mouse1,1,85,1
Mouse1,1,87,1
Mouse1,1,88,0
Mouse1,1,90,1
Mouse1,1,91,0
Mouse1,1,94,1
Mouse1,1,95,1
Mouse1,1,98,1
Mouse1,1,99,1
Mouse1,1,102,1
Mouse1,1,105,1
Mouse1,1,106,1
Mouse1,1,108,0
Mouse1,1,109,0
Mouse1,1,111,1
Mouse1,1,112,1
Mouse1,2,2,1
Mouse1,2,3,0
Mouse1,2,5,1
Mouse1,2,6,1
Mouse1,2,9,1
Mouse1,2,10,1
Mouse1,2,12,1
Mouse1,2,15,1
Mouse1,2,16,1
Mouse1,2,19,1
Mouse1,2,22,1
Mouse1,2,23,1
Mouse1,2,26,1
Mouse1,2,28,1
Mouse1,2,29,1
Mouse1,2,32,1
Mouse1,2,34,1
Mouse1,2,35,1
Mouse1,2,38,0
Mouse1,2,39,1
Mouse1,2,41,1
Mouse1,2,44,0
Mouse1,2,47,1
Mouse1,2,48,1
Mouse1,2,50,1
Mouse1,2,51,1
Mouse1,2,54,1
Mouse1,2,56,1
Mouse1,2,57,0
Mouse1,2,60,1
Mouse1,2,63,1
Mouse1,2,65,1
Mouse1,2,67,1
Mouse1,2,68,1
Mouse1,2,71,1
Mouse1,2,74,0
Mouse1,2,75,1
Mouse1,2,77,1
Mouse1,2,78,1
Mouse1,2,81,1
Mouse1,2,82,1
Mouse1,2,84,1
Mouse1,2,85,1
Mouse1,2,88,1
Mouse1,2,91,1
Mouse1,2,92,1
Mouse1,2,94,1
Mouse1,2,97,1
Mouse1,2,99,1
Mouse1,2,100,1
Mouse1,3,2,1
Mouse1,3,3,0
Mouse1,3,5,1
Mouse1,3,6,0
Mouse1,3,9,0
Mouse1,3,10,1
Mouse1,3,12,1
Mouse1,3,13,1
Mouse1,3,16,0
Mouse1,3,18,1
Mouse1,3,20,1
Mouse1,3,23,1
Mouse1,3,26,1
Mouse1,3,27,1
Mouse1,3,30,1
Mouse1,3,32,0
Mouse1,3,33,0
Mouse1,3,36,1
Mouse1,3,39,1
Mouse1,3,41,1
Mouse1,3,42,0
Mouse1,3,45,1
Mouse1,3,48,0
Mouse1,3,50,1
Mouse1,3,51,1
Mouse1,3,53,1
Mouse1,3,56,1
Mouse1,3,59,0
Mouse1,3,60,1
Mouse1,3,63,1
Mouse1,3,64,1
Mouse1,3,66,0
Mouse1,3,68,1
Mouse1,3,69,1
Mouse1,3,71,1
Mouse1,3,74,0
Mouse1,3,75,1
Mouse1,3,77,1
Mouse1,3,78,1
Mouse1,3,81,0
Mouse1,3,82,0
Mouse1,3,85,0
Mouse1,3,86,1
Mouse1,3,88,1
Mouse1,3,89,0
Mouse1,3,92,1
Mouse1,3,93,1
Mouse1,3,95,1
Mouse1,3,96,0
Mouse1,3,99,1
Mouse1,3,102,1
Mouse1,3,104,0
Mouse1,3,106,1
Mouse1,3,107,1
Mouse1,3,110,1
Mouse1,3,112,0
Mouse1,3,113,1
Mouse1,3,116,1
Mouse1,4,2,0
Mouse1,4,5,0
Mouse1,4,6,1
Mouse1,4,8,1
Mouse1,4,9,1
Mouse1,4,12,1
Mouse1,4,13,1
Mouse1,4,16,0
Mouse1,4,19,1
Mouse1,4,21,1
Mouse1,4,22,0
Mouse1,4,25,0
Mouse1,4,28,1
Mouse1,4,29,0
Mouse1,4,32,0
Mouse1,4,33,1
Mouse1,4,36,0
Mouse1,4,37,1
Mouse1,4,40,1
Mouse1,4,41,0
Mouse1,4,43,0
Mouse1,4,45,1
Mouse1,4,46,1
Mouse1,4,48,1
Mouse1,4,49,1
Mouse1,4,52,1
Mouse1,4,55,1
Mouse1,4,57,0
Mouse1,4,58,0
Mouse1,4,61,1
Mouse1,4,64,0
Mouse1,4,65,1
Mouse1,4,68,1
Mouse1,4,71,0
