mouse,session,trial,result
Mouse1,1,1,1
Mouse1,1,2,1
Mouse1,1,3,1
Mouse1,1,4,1
Mouse1,1,5,1
Mouse1,1,6,1
Mouse1,1,7,1
Mouse1,1,8,1
Mouse1,1,9,1
Mouse1,1,10,1
Mouse1,1,11,1
Mouse1,1,12,0
Mouse1,1,13,1
Mouse1,1,14,1
Mouse1,1,15,1
Mouse1,1,16,1
Mouse1,1,17,1
Mouse1,1,18,1
Mouse1,1,19,1
Mouse1,1,20,1
Mouse1,1,21,1
Mouse1,1,22,0
Mouse1,1,23,0
Mouse1,1,24,0
Mouse1,1,25,1
Mouse1,1,26,1
Mouse1,1,27,1
Mouse1,1,28,0
Mouse1,1,29,1
Mouse1,1,30,1
Mouse1,1,31,1
Mouse1,1,32,1
Mouse1,1,33,1
Mouse1,1,34,0
Mouse1,1,35,1
Mouse1,1,36,1
Mouse1,1,37,1
Mouse1,1,38,1
Mouse1,1,39,1
Mouse1,1,40,1
Mouse1,1,41,1
Mouse1,1,42,1
Mouse1,1,43,1
Mouse1,1,44,1
Mouse1,1,45,1
Mouse1,1,46,1
Mouse1,1,47,0
Mouse1,1,48,1
Mouse1,1,49,1
Mouse1,1,50,1
Mouse1,1,51,1
Mouse1,1,52,1
Mouse1,1,53,1
Mouse1,1,54,1
Mouse1,1,55,1
Mouse1,1,56,1
Mouse1,1,57,1
Mouse1,1,58,1
Mouse1,1,59,1
Mouse1,1,60,1
Mouse1,1,61,1
Mouse1,1,62,1
Mouse1,1,63,1
Mouse1,1,64,1
Mouse1,1,65,1
Mouse1,1,66,1
Mouse1,1,67,1
Mouse1,1,68,1
Mouse1,1,69,1
Mouse1,1,70,1
Mouse1,1,71,1
Mouse1,1,72,1
Mouse1,1,73,1
Mouse1,1,74,1
Mouse1,1,75,1
Mouse1,1,76,1
Mouse1,1,77,1
Mouse1,1,78,1
Mouse1,1,79,1
Mouse1,1,80,1
Mouse1,1,81,1
Mouse1,1,82,1
Mouse1,1,83,1
Mouse1,1,84,1
Mouse1,1,85,1
Mouse1,1,86,1
Mouse1,1,87,1
Mouse2,1,1,1
Mouse2,1,2,0
Mouse2,1,3,1
Mouse2,1,4,1
Mouse2,1,5,0
Mouse2,1,6,1
Mouse2,1,7,1
Mouse2,1,8,1
Mouse2,1,9,1
Mouse2,1,10,1
Mouse2,1,11,1
Mouse2,1,12,1
Mouse2,1,13,1
Mouse2,1,14,1
Mouse2,1,15,1
Mouse2,1,16,1
Mouse2,1,17,1
Mouse2,1,18,1
Mouse2,1,19,1
Mouse2,1,20,1
Mouse2,1,21,1
Mouse2,1,22,1
Mouse2,1,23,1
Mouse2,1,24,1
Mouse2,1,25,1
Mouse2,1,26,1
Mouse2,1,27,1
Mouse2,1,28,1
Mouse2,1,29,1
Mouse2,1,30,1
Mouse2,1,31,1
Mouse2,1,32,1
Mouse2,1,33,1
Mouse2,1,34,1
Mouse2,1,35,1
Mouse2,1,36,1
Mouse2,1,37,1
Mouse2,1,38,1
Mouse2,1,39,1
Mouse2,1,40,1
Mouse2,1,41,1
Mouse2,1,42,1
Mouse2,1,43,1
Mouse2,1,44,1
Mouse2,1,45,1
Mouse2,1,46,1
Mouse2,1,47,1
Mouse2,1,48,1
Mouse2,1,49,1
Mouse2,1,50,1
Mouse2,1,51,1
Mouse2,1,52,1
Mouse2,1,53,1
Mouse2,1,54,1
Mouse2,1,55,1
Mouse2,1,56,1
Mouse2,1,57,1
Mouse2,1,58,1
Mouse2,1,59,1
Mouse2,1,60,1
Mouse2,1,61,1
Mouse2,1,62,1
Mouse2,1,63,1
Mouse2,1,64,1
Mouse2,1,65,1
Mouse2,1,66,1
Mouse2,1,67,1
Mouse2,1,68,1
Mouse2,1,69,0
Mouse2,1,70,1
Mouse2,1,71,1
Mouse2,1,72,1
Mouse2,1,73,0
Mouse2,1,74,1
Mouse2,1,75,1
Mouse2,1,76,1
Mouse2,1,77,1
Mouse2,1,78,1
Mouse2,1,79,0
Mouse2,1,80,1
Mouse2,1,81,1
Mouse2,1,82,1
Mouse2,1,83,1
Mouse2,1,84,1
Mouse2,1,85,1
Mouse3,1,1,0
Mouse3,1,2,1
Mouse3,1,3,1
Mouse3,1,4,1
Mouse3,1,5,1
Mouse3,1,6,1
Mouse3,1,7,1
Mouse3,1,8,1
Mouse3,1,9,0
Mouse3,1,10,0
Mouse3,1,11,1
Mouse3,1,12,1
Mouse3,1,13,0
Mouse3,1,14,1
Mouse3,1,15,1
Mouse3,1,16,1
Mouse3,1,17,1
Mouse3,1,18,1
Mouse3,1,19,1
Mouse3,1,20,1
Mouse3,1,21,1
Mouse3,1,22,1
Mouse3,1,23,1
Mouse3,1,24,0
Mouse3,1,25,1
Mouse3,1,26,1
Mouse3,1,27,1
Mouse3,1,28,0
Mouse3,1,29,1
Mouse3,1,30,1
Mouse3,1,31,1
Mouse3,1,32,1
Mouse3,1,33,1
Mouse3,1,34,1
Mouse3,1,35,1
Mouse3,1,36,1
Mouse3,1,37,1
Mouse3,1,38,1
Mouse3,1,39,1
Mouse3,1,40,1
Mouse3,1,41,1
Mouse3,1,42,1
Mouse3,1,43,1
Mouse3,1,44,1
Mouse3,1,45,1
Mouse3,1,46,1
Mouse3,1,47,1
Mouse3,1,48,1
Mouse3,1,49,1
Mouse3,1,50,1
Mouse3,1,51,1
Mouse3,1,52,1
Mouse3,1,53,1
Mouse3,1,54,1
Mouse3,1,55,1
Mouse3,1,56,1
Mouse3,1,57,1
Mouse3,1,58,1
Mouse3,1,59,0
Mouse3,1,60,1
Mouse3,1,61,1
Mouse3,1,62,1
Mouse3,1,63,1
Mouse3,1,64,1
Mouse3,1,65,1
Mouse3,1,66,1
Mouse3,1,67,1
Mouse3,1,68,1
Mouse3,1,69,1
Mouse3,1,70,1
Mouse3,1,71,1
Mouse3,1,72,1
Mouse3,1,73,1
Mouse3,1,74,1
Mouse3,1,75,1
Mouse3,1,76,1
Mouse3,1,77,1
Mouse3,1,78,1
Mouse3,1,79,1
Mouse3,1,80,1
Mouse3,1,81,1
Mouse3,1,82,1
Mouse3,1,83,1
Mouse3,1,84,1
Mouse3,1,85,1
Mouse3,1,86,1
Mouse3,1,87,1
Mouse4,1,1,1
Mouse4,1,2,1
Mouse4,1,3,1
Mouse4,1,4,1
Mouse4,1,5,1
Mouse4,1,6,1
Mouse4,1,7,1
Mouse4,1,8,1
Mouse4,1,9,1
Mouse4,1,10,0
Mouse4,1,11,1
Mouse4,1,12,1
Mouse4,1,13,1
Mouse4,1,14,1
Mouse4,1,15,1
Mouse4,1,16,1
Mouse4,1,17,1
Mouse4,1,18,0
Mouse4,1,19,1
Mouse4,1,20,1
Mouse4,1,21,1
Mouse4,1,22,1
Mouse4,1,23,1
Mouse4,1,24,1
Mouse4,1,25,1
Mouse4,1,26,1
Mouse4,1,27,1
Mouse4,1,28,1
Mouse4,1,29,1
Mouse4,1,30,1
Mouse4,1,31,1
Mouse4,1,32,1
Mouse4,1,33,1
Mouse4,1,34,1
Mouse4,1,35,1
Mouse4,1,36,1
Mouse4,1,37,1
Mouse4,1,38,1
Mouse4,1,39,1
Mouse4,1,40,1
Mouse4,1,41,1
Mouse4,1,42,0
Mouse4,1,43,1
Mouse4,1,44,1
Mouse4,1,45,1
Mouse4,1,46,1
Mouse4,1,47,1
Mouse4,1,48,1
Mouse4,1,49,1
Mouse4,1,50,1
Mouse4,1,51,1
Mouse4,1,52,1
Mouse4,1,53,1
Mouse4,1,54,1
Mouse4,1,55,1
Mouse4,1,56,1
Mouse4,1,57,1
Mouse4,1,58,1
Mouse4,1,59,1
Mouse4,1,60,1
Mouse4,1,61,1
