mouse,session,trial,result
Mouse1,First20,1,1
Mouse1,First20,2,1
Mouse1,First20,3,1
Mouse1,First20,4,1
Mouse1,First20,5,1
Mouse1,First20,6,1
Mouse1,First20,7,1
Mouse1,First20,8,1
Mouse1,First20,9,1
Mouse1,First20,10,1
Mouse1,First20,11,1
Mouse1,First20,12,0
Mouse1,First20,13,1
Mouse1,First20,14,1
Mouse1,First20,15,1
Mouse1,First20,16,1
Mouse1,First20,17,1
Mouse1,First20,18,1
Mouse1,First20,19,1
Mouse1,First20,20,1
Mouse1,Last20,1,1
Mouse1,Last20,2,1
Mouse1,Last20,3,1
Mouse1,Last20,4,1
Mouse1,Last20,5,1
Mouse1,Last20,6,1
Mouse1,Last20,7,1
Mouse1,Last20,8,1
Mouse1,Last20,9,1
Mouse1,Last20,10,1
Mouse1,Last20,11,1
Mouse1,Last20,12,1
Mouse1,Last20,13,1
Mouse1,Last20,14,1
Mouse1,Last20,15,1
Mouse1,Last20,16,1
Mouse1,Last20,17,1
Mouse1,Last20,18,1
Mouse1,Last20,19,1
Mouse1,Last20,20,1
Mouse2,First20,1,1
Mouse2,First20,2,0
Mouse2,First20,3,1
Mouse2,First20,4,1
Mouse2,First20,5,0
Mouse2,First20,6,1
Mouse2,First20,7,1
Mouse2,First20,8,1
Mouse2,First20,9,1
Mouse2,First20,10,1
Mouse2,First20,11,1
Mouse2,First20,12,1
Mouse2,First20,13,1
Mouse2,First20,14,1
Mouse2,First20,15,1
Mouse2,First20,16,1
Mouse2,First20,17,1
Mouse2,First20,18,1
Mouse2,First20,19,1
Mouse2,First20,20,1
Mouse2,Last20,1,1
Mouse2,Last20,2,1
Mouse2,Last20,3,1
Mouse2,Last20,4,0
Mouse2,Last20,5,1
Mouse2,Last20,6,1
Mouse2,Last20,7,1
Mouse2,Last20,8,0
Mouse2,Last20,9,1
Mouse2,Last20,10,1
Mouse2,Last20,11,1
Mouse2,Last20,12,1
Mouse2,Last20,13,1
Mouse2,Last20,14,0
Mouse2,Last20,15,1
Mouse2,Last20,16,1
Mouse2,Last20,17,1
Mouse2,Last20,18,1
Mouse2,Last20,19,1
Mouse2,Last20,20,1
Mouse3,First20,1,0
Mouse3,First20,2,1
Mouse3,First20,3,1
Mouse3,First20,4,1
Mouse3,First20,5,1
Mouse3,First20,6,1
Mouse3,First20,7,1
Mouse3,First20,8,1
Mouse3,First20,9,0
Mouse3,First20,10,0
Mouse3,First20,11,1
Mouse3,First20,12,1
Mouse3,First20,13,0
Mouse3,First20,14,1
Mouse3,First20,15,1
Mouse3,First20,16,1
Mouse3,First20,17,1
Mouse3,First20,18,1
Mouse3,First20,19,1
Mouse3,First20,20,1
Mouse3,Last20,1,1
Mouse3,Last20,2,1
Mouse3,Last20,3,1
Mouse3,Last20,4,1
Mouse3,Last20,5,1
Mouse3,Last20,6,1
Mouse3,Last20,7,1
Mouse3,Last20,8,1
Mouse3,Last20,9,1
Mouse3,Last20,10,1
Mouse3,Last20,11,1
Mouse3,Last20,12,1
Mouse3,Last20,13,1
Mouse3,Last20,14,1
Mouse3,Last20,15,1
Mouse3,Last20,16,1
Mouse3,Last20,17,1
Mouse3,Last20,18,1
Mouse3,Last20,19,1
Mouse3,Last20,20,1
Mouse4,First20,1,1
Mouse4,First20,2,1
Mouse4,First20,3,1
Mouse4,First20,4,1
Mouse4,First20,5,1
Mouse4,First20,6,1
Mouse4,First20,7,1
Mouse4,First20,8,1
Mouse4,First20,9,1
Mouse4,First20,10,0
Mouse4,First20,11,1
Mouse4,First20,12,1
Mouse4,First20,13,1
Mouse4,First20,14,1
Mouse4,First20,15,1
Mouse4,First20,16,1
Mouse4,First20,17,1
Mouse4,First20,18,0
Mouse4,First20,19,1
Mouse4,First20,20,1
Mouse4,Last20,1,1
Mouse4,Last20,2,1
Mouse4,Last20,3,1
Mouse4,Last20,4,1
Mouse4,Last20,5,1
Mouse4,Last20,6,1
Mouse4,Last20,7,1
Mouse4,Last20,8,1
Mouse4,Last20,9,0
Mouse4,Last20,10,1
Mouse4,Last20,11,1
Mouse4,Last20,12,1
Mouse4,Last20,13,1
Mouse4,Last20,14,1
Mouse4,Last20,15,1
Mouse4,Last20,16,1
Mouse4,Last20,17,1
Mouse4,Last20,18,1
Mouse4,Last20,19,1
Mouse4,Last20,20,1
