mouse,session,trial,result
Mouse1,1,1,0
Mouse1,1,2,1
Mouse1,1,4,1
Mouse1,1,5,1
Mouse1,1,6,1
Mouse1,1,7,0
Mouse1,1,8,1
Mouse1,1,9,0
Mouse1,1,10,0
Mouse1,1,11,0
Mouse1,1,12,1
Mouse1,1,13,0
Mouse1,1,14,1
Mouse1,1,15,1
Mouse1,1,16,0
Mouse1,1,17,1
Mouse1,1,18,1
Mouse1,1,19,1
Mouse1,1,20,1
Mouse1,1,21,0
Mouse1,1,22,0
Mouse1,1,23,0
Mouse1,1,24,1
Mouse1,1,25,1
Mouse1,1,26,1
Mouse1,1,27,1
Mouse1,1,28,1
Mouse1,1,29,1
Mouse1,1,30,0
Mouse1,1,31,0
Mouse1,1,32,0
Mouse1,1,33,1
Mouse1,1,34,1
Mouse1,1,35,0
Mouse1,1,36,0
Mouse1,1,37,1
Mouse1,1,38,1
Mouse1,1,39,0
Mouse1,1,40,0
Mouse1,1,41,1
Mouse1,1,42,1
Mouse1,1,43,0
Mouse1,1,44,0
Mouse1,1,45,0
Mouse1,1,46,1
Mouse1,1,47,1
Mouse1,1,48,1
Mouse1,1,49,0
Mouse1,1,50,0
Mouse1,1,51,0
Mouse1,1,52,0
Mouse1,1,53,1
Mouse1,1,54,0
Mouse1,1,55,1
Mouse1,1,56,1
Mouse1,1,57,1
Mouse1,1,58,1
Mouse1,1,59,0
Mouse1,1,60,0
Mouse1,1,61,0
Mouse1,1,62,1
Mouse1,1,63,0
Mouse1,1,64,0
Mouse1,1,65,0
Mouse1,1,66,0
Mouse1,1,67,1
Mouse1,1,68,1
Mouse1,1,69,1
Mouse1,1,70,0
Mouse1,1,71,0
Mouse1,1,72,0
Mouse1,1,73,0
Mouse1,1,74,1
Mouse1,1,75,1
Mouse1,1,76,1
Mouse1,1,77,0
Mouse1,1,78,0
Mouse1,1,79,0
Mouse1,1,80,0
Mouse1,1,81,0
Mouse1,1,82,1
Mouse1,1,83,0
Mouse1,1,84,0
Mouse1,1,85,1
Mouse1,1,86,1
Mouse1,1,87,1
Mouse1,1,88,1
Mouse1,1,89,1
Mouse1,1,90,1
Mouse1,1,91,0
Mouse1,1,92,1
Mouse1,1,93,0
Mouse1,1,94,0
Mouse1,1,95,1
Mouse1,1,96,1
Mouse1,1,97,0
Mouse1,1,98,1
Mouse1,1,99,0
Mouse1,1,100,0
Mouse1,1,101,1
Mouse1,1,102,1
Mouse1,1,103,1
Mouse1,1,104,0
Mouse1,1,105,1
Mouse1,1,106,1
Mouse1,1,107,0
Mouse1,1,108,0
Mouse1,1,109,0
Mouse1,1,110,0
Mouse1,1,111,1
Mouse1,1,112,0
Mouse1,1,113,0
Mouse1,1,114,0
Mouse1,1,115,0
Mouse1,1,116,1
Mouse1,1,117,1
Mouse1,1,118,1
Mouse1,1,119,1
Mouse1,1,120,1
Mouse1,1,121,0
Mouse1,1,122,0
Mouse1,1,123,1
Mouse1,1,124,1
Mouse1,1,125,1
Mouse1,1,126,0
Mouse1,1,127,0
Mouse1,1,128,1
Mouse1,1,129,1
Mouse1,1,130,0
Mouse1,1,131,0
Mouse1,1,132,1
Mouse1,1,133,0
Mouse1,1,134,0
Mouse1,1,135,1
Mouse1,1,136,0
Mouse1,1,137,1
Mouse1,1,138,0
Mouse1,1,139,0
Mouse1,1,140,0
Mouse1,1,141,1
Mouse1,1,142,1
Mouse1,1,143,0
Mouse1,1,144,0
Mouse1,1,145,1
Mouse1,1,146,1
Mouse1,1,147,0
Mouse1,1,148,0
Mouse1,1,149,0
Mouse1,1,150,1
Mouse1,1,151,0
Mouse1,1,152,1
Mouse1,1,153,0
Mouse1,1,154,1
Mouse1,1,155,0
Mouse1,1,156,1
Mouse1,1,157,1
Mouse1,1,158,1
Mouse1,1,159,0
Mouse1,1,160,0
Mouse1,1,161,0
Mouse1,1,162,0
Mouse1,1,163,0
Mouse1,1,164,1
Mouse2,1,1,1
Mouse2,1,3,1
Mouse2,1,4,1
Mouse2,1,5,0
Mouse2,1,6,1
Mouse2,1,7,0
Mouse2,1,8,1
Mouse2,1,9,0
Mouse2,1,10,1
Mouse2,1,11,1
Mouse2,1,12,1
Mouse2,1,13,0
Mouse2,1,14,0
Mouse2,1,15,1
Mouse2,1,16,1
Mouse2,1,17,1
Mouse2,1,18,0
Mouse2,1,19,0
Mouse2,1,20,0
Mouse2,1,21,1
Mouse2,1,22,1
Mouse2,1,23,0
Mouse2,1,24,0
Mouse2,1,25,0
Mouse2,1,26,1
Mouse2,1,27,1
Mouse2,1,28,0
Mouse2,1,29,0
Mouse2,1,30,1
Mouse2,1,31,0
Mouse2,1,32,1
Mouse2,1,33,0
Mouse2,1,34,0
Mouse2,1,35,0
Mouse2,1,36,0
Mouse2,1,37,1
Mouse2,1,38,1
Mouse2,1,39,0
Mouse2,1,40,1
Mouse2,1,41,0
Mouse2,1,42,1
Mouse2,1,43,0
Mouse2,1,44,0
Mouse2,1,45,1
Mouse2,1,46,0
Mouse2,1,47,1
Mouse2,1,48,1
Mouse2,1,49,0
Mouse2,1,50,1
Mouse2,1,51,0
Mouse2,1,52,0
Mouse2,1,53,0
Mouse2,1,54,1
Mouse2,1,55,1
Mouse2,1,56,0
Mouse2,1,57,0
Mouse2,1,58,1
Mouse2,1,59,1
Mouse2,1,60,1
Mouse2,1,61,1
Mouse2,1,62,1
Mouse2,1,63,0
Mouse2,1,64,0
Mouse2,1,65,0
Mouse2,1,66,0
Mouse2,1,67,0
Mouse2,1,68,0
Mouse2,1,69,1
Mouse2,1,70,1
Mouse2,1,71,1
Mouse2,1,72,1
Mouse2,1,73,1
Mouse2,1,74,0
Mouse2,1,75,1
Mouse2,1,76,1
Mouse2,1,77,0
Mouse2,1,78,0
Mouse2,1,79,1
Mouse2,1,80,1
Mouse2,1,81,0
Mouse2,1,82,1
Mouse2,1,83,1
Mouse2,1,84,1
Mouse2,1,85,1
Mouse2,1,86,1
Mouse2,1,87,0
Mouse2,1,88,0
Mouse2,1,89,1
Mouse2,1,90,0
Mouse2,1,91,1
Mouse2,1,92,1
Mouse2,1,93,0
Mouse2,1,94,1
Mouse2,1,95,0
Mouse2,1,96,1
Mouse2,1,97,1
Mouse2,1,98,1
Mouse2,1,99,0
Mouse2,1,100,0
Mouse2,1,101,1
Mouse2,1,102,1
Mouse2,1,103,0
Mouse2,1,104,0
Mouse2,1,105,1
Mouse2,1,106,1
Mouse2,1,107,0
Mouse2,1,108,1
Mouse2,1,109,1
Mouse2,1,110,0
Mouse2,1,111,1
Mouse2,1,112,0
Mouse2,1,113,1
Mouse2,1,114,0
Mouse2,1,115,1
Mouse2,1,116,0
Mouse2,1,117,1
Mouse2,1,118,1
Mouse2,1,119,1
Mouse2,1,120,1
Mouse2,1,121,0
Mouse2,1,122,1
Mouse2,1,123,0
Mouse2,1,124,0
Mouse2,1,125,1
Mouse2,1,126,1
Mouse2,1,127,1
Mouse2,1,128,0
Mouse2,1,129,0
Mouse2,1,130,1
Mouse2,1,131,1
Mouse2,1,132,1
Mouse2,1,133,1
Mouse2,1,134,0
Mouse2,1,135,0
Mouse2,1,136,1
Mouse2,1,137,1
Mouse2,1,138,0
Mouse2,1,139,1
Mouse2,1,140,1
Mouse2,1,141,0
Mouse2,1,142,1
Mouse2,1,143,1
Mouse3,1,1,1
Mouse3,1,2,1
Mouse3,1,3,1
Mouse3,1,4,1
Mouse3,1,5,0
Mouse3,1,6,1
Mouse3,1,7,0
Mouse3,1,8,1
Mouse3,1,9,1
Mouse3,1,10,0
Mouse3,1,11,1
Mouse3,1,12,0
Mouse3,1,13,0
Mouse3,1,14,0
Mouse3,1,15,0
Mouse3,1,16,0
Mouse3,1,17,0
Mouse3,1,18,1
Mouse3,1,19,1
Mouse3,1,20,1
Mouse3,1,21,0
Mouse3,1,22,1
Mouse3,1,24,1
Mouse3,1,25,1
Mouse3,1,26,0
Mouse3,1,27,0
Mouse3,1,28,1
Mouse3,1,29,0
Mouse3,1,30,1
Mouse3,1,31,0
Mouse3,1,32,1
Mouse3,1,33,1
Mouse3,1,34,0
Mouse3,1,35,1
Mouse3,1,36,0
Mouse3,1,37,0
Mouse3,1,38,1
Mouse3,1,39,1
Mouse3,1,40,1
Mouse3,1,41,0
Mouse3,1,42,0
Mouse3,1,43,1
Mouse3,1,44,1
Mouse3,1,45,1
Mouse3,1,46,0
Mouse3,1,47,0
Mouse3,1,48,0
Mouse3,1,49,0
Mouse3,1,50,1
Mouse3,1,51,0
Mouse3,1,52,1
Mouse3,1,53,1
Mouse3,1,54,0
Mouse3,1,55,1
Mouse3,1,56,1
Mouse3,1,57,0
Mouse3,1,58,0
Mouse3,1,59,0
Mouse3,1,60,0
Mouse3,1,61,0
Mouse3,1,62,0
Mouse3,1,63,0
Mouse3,1,64,0
Mouse3,1,65,1
Mouse3,1,66,0
Mouse3,1,67,0
Mouse3,1,68,0
Mouse3,1,69,1
Mouse3,1,70,0
Mouse3,1,71,0
Mouse3,1,72,1
Mouse3,1,73,0
Mouse3,1,74,1
Mouse3,1,75,0
Mouse3,1,76,0
Mouse3,1,77,1
Mouse3,1,78,0
Mouse3,1,79,1
Mouse3,1,80,0
Mouse3,1,81,0
Mouse3,1,82,0
Mouse3,1,83,0
Mouse3,1,84,0
Mouse3,1,85,0
Mouse3,1,86,1
Mouse3,1,87,1
Mouse3,1,88,0
Mouse3,1,89,0
Mouse3,1,90,1
Mouse3,1,91,0
Mouse3,1,92,1
Mouse3,1,93,0
Mouse3,1,94,1
Mouse3,1,95,0
Mouse3,1,96,0
Mouse3,1,97,0
Mouse3,1,98,0
Mouse3,1,99,0
Mouse3,1,100,0
Mouse3,1,101,0
Mouse3,1,102,0
Mouse3,1,103,0
Mouse3,1,104,0
Mouse3,1,105,0
Mouse3,1,106,0
Mouse3,1,107,0
Mouse3,1,108,0
Mouse3,1,109,0
Mouse3,1,110,0
Mouse3,1,111,0
Mouse3,1,112,1
Mouse3,1,113,0
Mouse3,1,114,0
Mouse3,1,115,0
Mouse3,1,116,1
Mouse3,1,117,0
Mouse3,1,118,0
Mouse3,1,119,1
Mouse3,1,120,0
Mouse3,1,121,0
Mouse3,1,122,0
Mouse3,1,123,0
Mouse3,1,124,0
Mouse3,1,125,0
Mouse3,1,126,1
Mouse3,1,127,1
Mouse3,1,128,1
Mouse3,1,129,0
Mouse3,1,130,1
Mouse3,1,131,1
Mouse3,1,132,0
Mouse3,1,133,0
Mouse3,1,134,1
Mouse3,1,135,0
Mouse3,1,136,1
Mouse3,1,137,1
Mouse3,1,138,0
Mouse3,1,139,0
Mouse3,1,140,1
Mouse3,1,141,1
Mouse3,1,142,0
Mouse3,1,143,0
Mouse3,1,144,1
Mouse3,1,145,1
Mouse3,1,146,1
Mouse3,1,147,0
Mouse3,1,148,0
Mouse3,1,149,0
Mouse3,1,150,1
Mouse3,1,151,0
Mouse3,1,152,1
Mouse3,1,153,1
Mouse3,1,154,1
Mouse3,1,155,0
Mouse3,1,156,1
Mouse3,1,157,0
Mouse3,1,158,0
Mouse3,1,159,0
Mouse3,1,160,1
Mouse3,1,161,1
Mouse3,1,162,1
Mouse3,1,163,1
Mouse3,1,164,1
Mouse3,1,165,1
Mouse3,1,166,1
Mouse3,1,167,1
Mouse3,1,168,1
Mouse3,1,169,0
Mouse3,1,170,1
Mouse3,1,171,0
Mouse3,1,172,1
Mouse3,1,173,0
Mouse3,1,174,0
Mouse3,1,175,0
Mouse3,1,176,1
Mouse3,1,177,1
Mouse3,1,178,1
Mouse3,1,179,1
Mouse3,1,180,0
Mouse3,1,181,1
Mouse3,1,182,1
Mouse3,1,183,0
Mouse3,1,184,0
Mouse3,1,185,0
Mouse3,1,186,1
Mouse4,1,1,0
Mouse4,1,2,0
Mouse4,1,3,0
Mouse4,1,4,1
Mouse4,1,5,1
Mouse4,1,6,0
Mouse4,1,7,1
Mouse4,1,8,0
Mouse4,1,9,0
Mouse4,1,10,0
Mouse4,1,11,0
Mouse4,1,12,1
Mouse4,1,14,1
Mouse4,1,15,0
Mouse4,1,16,0
Mouse4,1,17,1
Mouse4,1,18,1
Mouse4,1,19,0
Mouse4,1,20,0
Mouse4,1,21,0
Mouse4,1,22,0
Mouse4,1,23,1
Mouse4,1,24,0
Mouse4,1,25,0
Mouse4,1,26,1
Mouse4,1,27,0
Mouse4,1,28,1
Mouse4,1,29,0
Mouse4,1,30,0
Mouse4,1,31,0
Mouse4,1,32,0
Mouse4,1,33,0
Mouse4,1,34,0
Mouse4,1,35,0
Mouse4,1,36,0
Mouse4,1,37,1
Mouse4,1,38,1
Mouse4,1,39,1
Mouse4,1,40,1
Mouse4,1,41,0
Mouse4,1,42,0
Mouse4,1,43,0
Mouse4,1,44,0
Mouse4,1,45,1
Mouse4,1,46,1
Mouse4,1,47,0
Mouse4,1,48,1
Mouse4,1,49,1
Mouse4,1,50,0
Mouse4,1,51,0
Mouse4,1,52,0
Mouse4,1,53,1
Mouse4,1,54,0
Mouse4,1,55,0
Mouse4,1,56,0
Mouse4,1,57,0
Mouse4,1,58,1
Mouse4,1,59,1
Mouse4,1,60,0
Mouse4,1,61,1
Mouse4,1,62,1
Mouse4,1,63,1
Mouse4,1,64,1
Mouse4,1,65,0
Mouse4,1,66,0
Mouse4,1,67,1
Mouse4,1,68,0
Mouse4,1,69,1
Mouse4,1,70,1
Mouse4,1,71,1
Mouse4,1,72,1
Mouse4,1,73,1
Mouse4,1,74,0
Mouse4,1,75,1
Mouse4,1,76,1
Mouse4,1,77,1
Mouse4,1,78,0
Mouse4,1,79,0
Mouse4,1,80,0
Mouse4,1,81,0
Mouse4,1,82,1
Mouse4,1,83,1
Mouse4,1,84,0
Mouse4,1,85,0
Mouse4,1,86,1
Mouse4,1,87,1
Mouse4,1,88,0
Mouse4,1,89,1
Mouse4,1,90,1
Mouse4,1,91,0
Mouse4,1,92,0
Mouse4,1,93,0
Mouse4,1,94,1
Mouse4,1,95,1
Mouse4,1,96,1
Mouse4,1,97,1
Mouse4,1,98,0
Mouse4,1,99,0
Mouse4,1,100,0
Mouse4,1,101,1
Mouse4,1,102,1
Mouse4,1,103,1
Mouse4,1,104,0
Mouse4,1,105,0
Mouse4,1,106,0
Mouse4,1,107,0
Mouse4,1,108,1
Mouse4,1,109,0
Mouse4,1,110,0
Mouse4,1,111,0
Mouse4,1,112,1
Mouse4,1,113,1
Mouse4,1,114,1
Mouse4,1,115,0
Mouse4,1,116,0
Mouse4,1,117,0
Mouse4,1,118,1
Mouse4,1,119,0
Mouse4,1,120,1
Mouse4,1,121,1
Mouse4,1,122,0
Mouse4,1,123,0
Mouse4,1,124,0
Mouse4,1,125,1
Mouse4,1,126,1
Mouse4,1,127,0
Mouse4,1,128,0
Mouse4,1,129,0
Mouse4,1,130,0
Mouse4,1,131,0
Mouse4,1,132,0
Mouse4,1,133,1
Mouse4,1,134,1
Mouse4,1,135,0
Mouse4,1,136,0
Mouse4,1,137,0
Mouse4,1,138,1
Mouse4,1,139,1
Mouse4,1,140,1
Mouse4,1,141,0
Mouse4,1,142,0
Mouse4,1,143,0
Mouse4,1,144,1
Mouse4,1,145,1
Mouse4,1,146,0
Mouse4,1,147,0
Mouse4,1,148,0
Mouse4,1,149,0
Mouse4,1,150,1
Mouse4,1,151,1
Mouse4,1,152,1
Mouse4,1,153,1
Mouse4,1,154,0
Mouse4,1,155,1
Mouse4,1,156,1
Mouse4,1,157,1
Mouse4,1,158,1
Mouse4,1,159,0
Mouse4,1,160,0
Mouse4,1,161,1
Mouse4,1,162,1
Mouse4,1,163,0
Mouse4,1,164,1
Mouse4,1,165,1
Mouse4,1,166,0
Mouse4,1,167,1
Mouse4,1,168,1
Mouse4,1,169,0
Mouse4,1,170,1
Mouse4,1,171,0
Mouse4,1,172,0
Mouse4,1,173,1
Mouse4,1,174,0
Mouse4,1,175,1
