mouse,session,trial,result,geno
Mouse1 (N18-2g-25Fs),1,1,0,1
Mouse1 (N18-2g-25Fs),1,2,1,1
Mouse1 (N18-2g-25Fs),1,3,0,1
Mouse1 (N18-2g-25Fs),1,4,0,1
Mouse1 (N18-2g-25Fs),1,5,1,1
Mouse1 (N18-2g-25Fs),1,6,1,1
Mouse1 (N18-2g-25Fs),1,7,1,1
Mouse1 (N18-2g-25Fs),1,8,1,1
Mouse1 (N18-2g-25Fs),1,9,1,1
Mouse1 (N18-2g-25Fs),1,10,1,1
Mouse1 (N18-2g-25Fs),1,11,1,1
Mouse1 (N18-2g-25Fs),1,12,1,1
Mouse1 (N18-2g-25Fs),1,13,1,1
Mouse1 (N18-2g-25Fs),1,14,1,1
Mouse1 (N18-2g-25Fs),1,15,1,1
Mouse1 (N18-2g-25Fs),1,16,1,1
Mouse1 (N18-2g-25Fs),1,17,1,1
Mouse1 (N18-2g-25Fs),1,18,1,1
Mouse1 (N18-2g-25Fs),1,19,1,1
Mouse1 (N18-2g-25Fs),1,20,1,1
Mouse1 (N18-2g-25Fs),1,21,1,1
Mouse1 (N18-2g-25Fs),1,22,1,1
Mouse1 (N18-2g-25Fs),1,23,1,1
Mouse1 (N18-2g-25Fs),1,24,1,1
Mouse1 (N18-2g-25Fs),1,25,1,1
Mouse1 (N18-2g-25Fs),1,26,1,1
Mouse1 (N18-2g-25Fs),1,27,1,1
Mouse1 (N18-2g-25Fs),1,28,1,1
Mouse1 (N18-2g-25Fs),1,29,1,1
Mouse1 (N18-2g-25Fs),1,30,1,1
Mouse1 (N18-2g-25Fs),1,31,1,1
Mouse1 (N18-2g-25Fs),1,32,1,1
Mouse1 (N18-2g-25Fs),1,33,1,1
Mouse1 (N18-2g-25Fs),1,34,0,1
Mouse1 (N18-2g-25Fs),1,35,1,1
Mouse1 (N18-2g-25Fs),1,36,1,1
Mouse1 (N18-2g-25Fs),1,37,0,1
Mouse1 (N18-2g-25Fs),1,38,1,1
Mouse1 (N18-2g-25Fs),1,39,1,1
Mouse1 (N18-2g-25Fs),1,40,0,1
Mouse1 (N18-2g-25Fs),1,41,0,1
Mouse1 (N18-2g-25Fs),1,42,1,1
Mouse1 (N18-2g-25Fs),1,43,1,1
Mouse1 (N18-2g-25Fs),1,44,0,1
Mouse1 (N18-2g-25Fs),1,45,0,1
Mouse1 (N18-2g-25Fs),1,46,1,1
Mouse1 (N18-2g-25Fs),1,47,0,1
Mouse1 (N18-2g-25Fs),1,48,1,1
Mouse1 (N18-2g-25Fs),1,49,1,1
Mouse1 (N18-2g-25Fs),1,50,1,1
Mouse1 (N18-2g-25Fs),1,51,1,1
Mouse1 (N18-2g-25Fs),1,52,1,1
Mouse1 (N18-2g-25Fs),1,53,1,1
