Val,Geno,Bin,ID
99,1,1,1
78,1,2,1
113,1,3,1
107,1,4,1
144,1,5,1
122,1,6,1
106,1,7,1
119,1,8,1
101,1,1,2
94,1,2,2
126,1,3,2
127,1,4,2
144,1,5,2
111,1,6,2
112,1,7,2
116,1,8,2
93,1,1,3
134,1,2,3
115,1,3,3
123,1,4,3
110,1,5,3
113,1,6,3
120,1,7,3
112,1,8,3
95,1,1,4
113,1,2,4
112,1,3,4
102,1,4,4
108,1,5,4
116,1,6,4
115,1,7,4
111,1,8,4
122,1,1,5
130,1,2,5
148,1,3,5
156,1,4,5
168,1,5,5
136,1,6,5
152,1,7,5
135,1,8,5
92,1,1,6
111,1,2,6
128,1,3,6
109,1,4,6
114,1,5,6
111,1,6,6
119,1,7,6
99,1,8,6
92,2,1,7
110,2,2,7
126,2,3,7
162,2,4,7
163,2,5,7
146,2,6,7
103,2,7,7
61,2,8,7
99,2,1,8
118,2,2,8
168,2,3,8
142,2,4,8
185,2,5,8
154,2,6,8
165,2,7,8
119,2,8,8
123,2,1,9
126,2,2,9
120,2,3,9
130,2,4,9
156,2,5,9
159,2,6,9
154,2,7,9
129,2,8,9
109,2,1,10
117,2,2,10
139,2,3,10
171,2,4,10
152,2,5,10
144,2,6,10
127,2,7,10
91,2,8,10
104,2,1,11
128,2,2,11
151,2,3,11
157,2,4,11
114,2,5,11
137,2,6,11
67,2,7,11
43,2,8,11
133,2,1,12
134,2,2,12
145,2,3,12
149,2,4,12
150,2,5,12
164,2,6,12
151,2,7,12
89,2,8,12
