Val,Geno,Bin,ID
19,1,1,1
18,1,2,1
33,1,3,1
27,1,4,1
64,1,5,1
42,1,6,1
26,1,7,1
39,1,8,1
21,1,1,2
14,1,2,2
46,1,3,2
47,1,4,2
64,1,5,2
31,1,6,2
43,1,7,2
43,1,8,2
13,1,1,3
54,1,2,3
35,1,3,3
43,1,4,3
30,1,5,3
33,1,6,3
40,1,7,3
32,1,8,3
15,1,1,4
33,1,2,4
32,1,3,4
22,1,4,4
28,1,5,4
36,1,6,4
35,1,7,4
31,1,8,4
42,1,1,5
50,1,2,5
68,1,3,5
76,1,4,5
97,1,5,5
56,1,6,5
76,1,7,5
56,1,8,5
12,1,1,6
31,1,2,6
72,1,3,6
29,1,4,6
34,1,5,6
40,1,6,6
39,1,7,6
33,1,8,6
12,2,1,7
30,2,2,7
46,2,3,7
82,2,4,7
96,2,5,7
81,2,6,7
57,2,7,7
41,2,8,7
19,2,1,8
38,2,2,8
88,2,3,8
62,2,4,8
105,2,5,8
74,2,6,8
86,2,7,8
60,2,8,8
43,2,1,9
46,2,2,9
40,2,3,9
50,2,4,9
76,2,5,9
79,2,6,9
74,2,7,9
49,2,8,9
29,2,1,10
37,2,2,10
59,2,3,10
91,2,4,10
72,2,5,10
73,2,6,10
63,2,7,10
46,2,8,10
24,2,1,11
48,2,2,11
71,2,3,11
77,2,4,11
58,2,5,11
57,2,6,11
37,2,7,11
17,2,8,11
53,2,1,12
54,2,2,12
65,2,3,12
69,2,4,12
70,2,5,12
86,2,6,12
71,2,7,12
51,2,8,12
