mouse,session,trial,result,geno
Mouse1 (N18-2g-25F),1,1,1,1
Mouse1 (N18-2g-25F),1,2,1,1
Mouse1 (N18-2g-25F),1,3,1,1
Mouse1 (N18-2g-25F),1,4,0,1
Mouse1 (N18-2g-25F),1,5,1,1
Mouse1 (N18-2g-25F),1,6,1,1
Mouse1 (N18-2g-25F),1,7,1,1
Mouse1 (N18-2g-25F),1,8,1,1
Mouse1 (N18-2g-25F),1,9,1,1
Mouse1 (N18-2g-25F),1,10,0,1
Mouse1 (N18-2g-25F),1,11,1,1
Mouse1 (N18-2g-25F),1,12,1,1
Mouse1 (N18-2g-25F),1,13,1,1
Mouse1 (N18-2g-25F),1,14,1,1
Mouse1 (N18-2g-25F),1,15,1,1
Mouse1 (N18-2g-25F),1,16,1,1
Mouse1 (N18-2g-25F),1,17,1,1
Mouse1 (N18-2g-25F),1,18,1,1
Mouse1 (N18-2g-25F),1,19,1,1
Mouse1 (N18-2g-25F),1,20,1,1
Mouse1 (N18-2g-25F),1,21,1,1
Mouse1 (N18-2g-25F),1,22,1,1
Mouse1 (N18-2g-25F),1,23,1,1
Mouse1 (N18-2g-25F),1,24,0,1
Mouse1 (N18-2g-25F),1,25,1,1
Mouse1 (N18-2g-25F),1,26,1,1
Mouse1 (N18-2g-25F),1,27,1,1
Mouse1 (N18-2g-25F),1,28,1,1
Mouse1 (N18-2g-25F),1,29,1,1
Mouse1 (N18-2g-25F),1,30,1,1
Mouse1 (N18-2g-25F),1,31,1,1
Mouse1 (N18-2g-25F),1,32,1,1
Mouse1 (N18-2g-25F),1,33,1,1
Mouse1 (N18-2g-25F),1,34,1,1
Mouse1 (N18-2g-25F),1,35,1,1
Mouse1 (N18-2g-25F),1,36,1,1
Mouse1 (N18-2g-25F),1,37,1,1
Mouse1 (N18-2g-25F),1,38,1,1
Mouse1 (N18-2g-25F),1,39,0,1
Mouse1 (N18-2g-25F),1,40,1,1
Mouse1 (N18-2g-25F),1,41,1,1
Mouse1 (N18-2g-25F),1,42,0,1
Mouse1 (N18-2g-25F),1,43,0,1
Mouse1 (N18-2g-25F),1,44,1,1
Mouse1 (N18-2g-25F),1,45,1,1
Mouse1 (N18-2g-25F),1,46,1,1
Mouse1 (N18-2g-25F),1,47,1,1
Mouse1 (N18-2g-25F),1,48,1,1
Mouse1 (N18-2g-25F),1,49,1,1
Mouse1 (N18-2g-25F),1,50,1,1
Mouse1 (N18-2g-25F),1,51,1,1
Mouse1 (N18-2g-25F),1,52,1,1
Mouse1 (N18-2g-25F),1,53,1,1
Mouse1 (N18-2g-25F),1,54,0,1
Mouse1 (N18-2g-25F),1,55,1,1
Mouse1 (N18-2g-25F),1,56,0,1
Mouse1 (N18-2g-25F),1,57,1,1
Mouse1 (N18-2g-25F),1,58,1,1
Mouse1 (N18-2g-25F),1,59,1,1
Mouse1 (N18-2g-25F),1,60,1,1
Mouse1 (N18-2g-25F),1,61,1,1
Mouse1 (N18-2g-25F),1,62,1,1
Mouse1 (N18-2g-25F),1,63,1,1
Mouse1 (N18-2g-25F),1,64,1,1
Mouse1 (N18-2g-25F),1,65,1,1
Mouse1 (N18-2g-25F),1,66,1,1
Mouse1 (N18-2g-25F),1,67,1,1
Mouse1 (N18-2g-25F),1,68,0,1
Mouse1 (N18-2g-25F),1,69,1,1
Mouse1 (N18-2g-25F),1,70,1,1
Mouse1 (N18-2g-25F),1,71,1,1
Mouse1 (N18-2g-25F),1,72,0,1
Mouse1 (N18-2g-25F),1,73,1,1
Mouse1 (N18-2g-25F),1,74,1,1
Mouse1 (N18-2g-25F),1,75,1,1
Mouse1 (N18-2g-25F),1,76,1,1
