mouse,session,trial,result,geno
Mouse1 (N18-2g-25F),1,1,0,1
Mouse1 (N18-2g-25F),1,2,1,1
Mouse1 (N18-2g-25F),1,3,0,1
Mouse1 (N18-2g-25F),1,4,1,1
Mouse1 (N18-2g-25F),1,5,0,1
Mouse1 (N18-2g-25F),1,6,1,1
Mouse1 (N18-2g-25F),1,7,0,1
Mouse1 (N18-2g-25F),1,8,0,1
Mouse1 (N18-2g-25F),1,9,1,1
Mouse1 (N18-2g-25F),1,10,0,1
Mouse1 (N18-2g-25F),1,11,1,1
Mouse1 (N18-2g-25F),1,12,0,1
Mouse1 (N18-2g-25F),1,13,0,1
Mouse1 (N18-2g-25F),1,14,0,1
Mouse1 (N18-2g-25F),1,15,0,1
Mouse1 (N18-2g-25F),1,16,1,1
Mouse1 (N18-2g-25F),1,17,0,1
Mouse1 (N18-2g-25F),1,18,0,1
Mouse1 (N18-2g-25F),1,19,0,1
Mouse1 (N18-2g-25F),1,20,0,1
Mouse1 (N18-2g-25F),1,21,0,1
Mouse1 (N18-2g-25F),1,22,1,1
Mouse1 (N18-2g-25F),1,23,1,1
Mouse1 (N18-2g-25F),1,24,0,1
Mouse1 (N18-2g-25F),1,25,0,1
Mouse1 (N18-2g-25F),1,26,1,1
Mouse1 (N18-2g-25F),1,27,1,1
Mouse1 (N18-2g-25F),1,28,0,1
Mouse1 (N18-2g-25F),1,29,0,1
Mouse1 (N18-2g-25F),1,30,0,1
Mouse1 (N18-2g-25F),1,31,1,1
Mouse1 (N18-2g-25F),1,32,0,1
Mouse1 (N18-2g-25F),1,33,1,1
Mouse1 (N18-2g-25F),1,34,0,1
Mouse1 (N18-2g-25F),1,35,0,1
Mouse1 (N18-2g-25F),1,36,0,1
Mouse1 (N18-2g-25F),1,37,0,1
Mouse1 (N18-2g-25F),1,38,0,1
Mouse1 (N18-2g-25F),1,39,1,1
Mouse1 (N18-2g-25F),1,40,0,1
Mouse1 (N18-2g-25F),1,41,1,1
Mouse1 (N18-2g-25F),1,42,0,1
Mouse1 (N18-2g-25F),1,43,0,1
Mouse1 (N18-2g-25F),1,44,1,1
Mouse1 (N18-2g-25F),1,45,0,1
Mouse1 (N18-2g-25F),1,46,1,1
Mouse1 (N18-2g-25F),1,47,1,1
Mouse1 (N18-2g-25F),1,48,1,1
Mouse1 (N18-2g-25F),1,49,0,1
Mouse1 (N18-2g-25F),1,50,1,1
Mouse1 (N18-2g-25F),1,51,0,1
Mouse1 (N18-2g-25F),1,52,1,1
Mouse1 (N18-2g-25F),1,53,1,1
Mouse1 (N18-2g-25F),1,54,1,1
Mouse1 (N18-2g-25F),1,55,0,1
Mouse1 (N18-2g-25F),1,56,0,1
Mouse1 (N18-2g-25F),1,57,1,1
Mouse1 (N18-2g-25F),1,58,0,1
Mouse1 (N18-2g-25F),1,59,1,1
Mouse1 (N18-2g-25F),1,60,0,1
Mouse1 (N18-2g-25F),1,61,1,1
Mouse1 (N18-2g-25F),1,62,1,1
Mouse1 (N18-2g-25F),1,63,0,1
Mouse1 (N18-2g-25F),1,64,0,1
Mouse1 (N18-2g-25F),1,65,0,1
Mouse1 (N18-2g-25F),1,66,0,1
Mouse1 (N18-2g-25F),1,67,0,1
Mouse1 (N18-2g-25F),1,68,0,1
Mouse1 (N18-2g-25F),1,69,0,1
Mouse1 (N18-2g-25F),1,70,0,1
Mouse1 (N18-2g-25F),1,71,0,1
Mouse1 (N18-2g-25F),1,72,1,1
Mouse1 (N18-2g-25F),1,73,0,1
Mouse1 (N18-2g-25F),1,74,0,1
Mouse1 (N18-2g-25F),1,75,0,1
Mouse1 (N18-2g-25F),1,76,1,1
Mouse1 (N18-2g-25F),1,77,0,1
Mouse1 (N18-2g-25F),1,78,0,1
Mouse1 (N18-2g-25F),1,79,1,1
Mouse1 (N18-2g-25F),1,80,0,1
Mouse1 (N18-2g-25F),1,81,1,1
Mouse1 (N18-2g-25F),1,82,0,1
Mouse1 (N18-2g-25F),1,83,1,1
Mouse1 (N18-2g-25F),1,84,0,1
Mouse1 (N18-2g-25F),1,85,0,1
Mouse1 (N18-2g-25F),1,86,0,1
Mouse1 (N18-2g-25F),1,87,0,1
Mouse1 (N18-2g-25F),1,88,0,1
Mouse1 (N18-2g-25F),1,89,1,1
Mouse1 (N18-2g-25F),1,90,0,1
Mouse1 (N18-2g-25F),1,91,0,1
Mouse1 (N18-2g-25F),1,92,0,1
Mouse1 (N18-2g-25F),1,93,0,1
Mouse1 (N18-2g-25F),1,94,0,1
Mouse1 (N18-2g-25F),1,95,0,1
Mouse1 (N18-2g-25F),1,96,1,1
Mouse1 (N18-2g-25F),1,97,1,1
Mouse1 (N18-2g-25F),1,98,0,1
Mouse1 (N18-2g-25F),1,99,0,1
Mouse1 (N18-2g-25F),1,100,1,1
Mouse1 (N18-2g-25F),1,101,0,1
Mouse1 (N18-2g-25F),1,102,0,1
Mouse1 (N18-2g-25F),1,103,1,1
Mouse1 (N18-2g-25F),1,104,1,1
Mouse1 (N18-2g-25F),1,105,1,1
Mouse1 (N18-2g-25F),1,106,0,1
Mouse1 (N18-2g-25F),1,107,1,1
Mouse1 (N18-2g-25F),1,108,0,1
Mouse1 (N18-2g-25F),1,109,1,1
Mouse1 (N18-2g-25F),1,110,0,1
Mouse1 (N18-2g-25F),1,111,0,1
Mouse1 (N18-2g-25F),1,112,0,1
Mouse1 (N18-2g-25F),1,113,0,1
Mouse1 (N18-2g-25F),1,114,0,1
Mouse1 (N18-2g-25F),1,115,0,1
Mouse1 (N18-2g-25F),1,116,0,1
Mouse1 (N18-2g-25F),1,117,0,1
Mouse1 (N18-2g-25F),1,118,0,1
Mouse1 (N18-2g-25F),1,119,1,1
Mouse1 (N18-2g-25F),1,120,1,1
Mouse1 (N18-2g-25F),1,121,1,1
Mouse1 (N18-2g-25F),1,122,1,1
Mouse1 (N18-2g-25F),1,123,1,1
Mouse1 (N18-2g-25F),1,124,1,1
Mouse1 (N18-2g-25F),1,125,0,1
Mouse1 (N18-2g-25F),1,126,0,1
Mouse1 (N18-2g-25F),1,127,0,1
Mouse1 (N18-2g-25F),1,128,0,1
Mouse1 (N18-2g-25F),1,129,1,1
Mouse1 (N18-2g-25F),1,130,1,1
Mouse1 (N18-2g-25F),1,131,1,1
Mouse1 (N18-2g-25F),1,132,1,1
Mouse1 (N18-2g-25F),1,133,0,1
Mouse1 (N18-2g-25F),1,134,1,1
Mouse1 (N18-2g-25F),1,135,1,1
Mouse1 (N18-2g-25F),1,136,0,1
Mouse1 (N18-2g-25F),1,137,0,1
Mouse1 (N18-2g-25F),1,138,0,1
Mouse1 (N18-2g-25F),1,139,0,1
Mouse1 (N18-2g-25F),1,140,0,1
Mouse1 (N18-2g-25F),1,141,0,1
Mouse1 (N18-2g-25F),1,142,0,1
Mouse1 (N18-2g-25F),1,143,0,1
Mouse1 (N18-2g-25F),1,144,0,1
Mouse1 (N18-2g-25F),1,145,1,1
Mouse1 (N18-2g-25F),1,146,1,1
Mouse1 (N18-2g-25F),1,147,0,1
Mouse1 (N18-2g-25F),1,148,1,1
Mouse1 (N18-2g-25F),1,149,0,1
Mouse1 (N18-2g-25F),1,150,0,1
Mouse1 (N18-2g-25F),1,151,1,1
Mouse1 (N18-2g-25F),1,152,0,1
Mouse1 (N18-2g-25F),1,153,0,1
Mouse1 (N18-2g-25F),1,154,1,1
Mouse1 (N18-2g-25F),1,155,1,1
Mouse1 (N18-2g-25F),1,156,0,1
Mouse1 (N18-2g-25F),1,157,1,1
Mouse1 (N18-2g-25F),1,158,0,1
Mouse1 (N18-2g-25F),1,159,0,1
Mouse1 (N18-2g-25F),1,160,0,1
Mouse1 (N18-2g-25F),1,161,1,1
Mouse1 (N18-2g-25F),1,162,0,1
Mouse1 (N18-2g-25F),1,163,1,1
Mouse1 (N18-2g-25F),1,164,0,1
Mouse1 (N18-2g-25F),1,165,1,1
Mouse1 (N18-2g-25F),1,166,1,1
Mouse1 (N18-2g-25F),1,167,1,1
Mouse1 (N18-2g-25F),1,168,0,1
Mouse1 (N18-2g-25F),1,169,0,1
Mouse1 (N18-2g-25F),1,170,0,1
Mouse1 (N18-2g-25F),1,171,0,1
Mouse1 (N18-2g-25F),1,172,0,1
Mouse1 (N18-2g-25F),1,173,0,1
Mouse1 (N18-2g-25F),1,174,1,1
Mouse1 (N18-2g-25F),1,175,0,1
Mouse1 (N18-2g-25F),1,176,0,1
Mouse1 (N18-2g-25F),1,177,1,1
Mouse1 (N18-2g-25F),1,178,0,1
Mouse1 (N18-2g-25F),1,179,1,1
Mouse1 (N18-2g-25F),1,180,0,1
Mouse1 (N18-2g-25F),1,181,0,1
Mouse1 (N18-2g-25F),1,182,0,1
Mouse1 (N18-2g-25F),1,183,1,1
Mouse1 (N18-2g-25F),1,184,1,1
Mouse1 (N18-2g-25F),1,185,0,1
