mouse,session,trial,result,geno
Mouse01 (N16-2g-11M),1,1,1,1
Mouse01 (N16-2g-11M),1,2,1,1
Mouse01 (N16-2g-11M),1,5,1,1
Mouse01 (N16-2g-11M),1,7,1,1
Mouse01 (N16-2g-11M),1,8,1,1
Mouse01 (N16-2g-11M),1,11,1,1
Mouse01 (N16-2g-11M),1,14,1,1
Mouse01 (N16-2g-11M),1,16,1,1
Mouse01 (N16-2g-11M),1,19,1,1
Mouse01 (N16-2g-11M),1,21,1,1
Mouse01 (N16-2g-11M),1,24,1,1
Mouse01 (N16-2g-11M),1,25,1,1
Mouse01 (N16-2g-11M),1,28,1,1
Mouse01 (N16-2g-11M),1,29,0,1
Mouse01 (N16-2g-11M),1,31,1,1
Mouse01 (N16-2g-11M),1,32,1,1
Mouse01 (N16-2g-11M),1,34,1,1
Mouse01 (N16-2g-11M),1,35,0,1
Mouse01 (N16-2g-11M),1,38,1,1
Mouse01 (N16-2g-11M),1,41,1,1
Mouse01 (N16-2g-11M),1,42,1,1
Mouse01 (N16-2g-11M),1,44,0,1
Mouse01 (N16-2g-11M),1,45,1,1
Mouse01 (N16-2g-11M),1,47,1,1
Mouse01 (N16-2g-11M),1,49,1,1
Mouse01 (N16-2g-11M),1,51,1,1
Mouse01 (N16-2g-11M),1,52,1,1
Mouse01 (N16-2g-11M),1,54,1,1
Mouse01 (N16-2g-11M),1,57,1,1
Mouse01 (N16-2g-11M),1,59,1,1
Mouse01 (N16-2g-11M),1,62,1,1
Mouse01 (N16-2g-11M),1,63,1,1
Mouse01 (N16-2g-11M),1,65,1,1
Mouse01 (N16-2g-11M),1,67,1,1
Mouse01 (N16-2g-11M),1,68,1,1
Mouse01 (N16-2g-11M),1,70,1,1
Mouse01 (N16-2g-11M),1,73,1,1
Mouse01 (N16-2g-11M),1,75,1,1
Mouse01 (N16-2g-11M),1,76,0,1
Mouse01 (N16-2g-11M),1,78,1,1
Mouse01 (N16-2g-11M),1,81,1,1
Mouse01 (N16-2g-11M),1,83,1,1
Mouse01 (N16-2g-11M),1,84,1,1
Mouse01 (N16-2g-11M),1,86,1,1
Mouse01 (N16-2g-11M),1,88,1,1
Mouse01 (N16-2g-11M),1,89,1,1
Mouse01 (N16-2g-11M),1,92,0,1
Mouse01 (N16-2g-11M),1,94,1,1
Mouse01 (N16-2g-11M),1,95,1,1
Mouse01 (N16-2g-11M),2,1,1,1
Mouse01 (N16-2g-11M),2,2,0,1
Mouse01 (N16-2g-11M),2,5,1,1
Mouse01 (N16-2g-11M),2,7,1,1
Mouse01 (N16-2g-11M),2,10,1,1
Mouse01 (N16-2g-11M),2,11,1,1
Mouse01 (N16-2g-11M),2,14,1,1
Mouse01 (N16-2g-11M),2,17,0,1
Mouse01 (N16-2g-11M),2,18,0,1
Mouse01 (N16-2g-11M),2,20,1,1
Mouse01 (N16-2g-11M),2,23,1,1
Mouse01 (N16-2g-11M),2,26,0,1
Mouse01 (N16-2g-11M),2,28,1,1
Mouse01 (N16-2g-11M),2,31,1,1
Mouse01 (N16-2g-11M),2,32,1,1
Mouse01 (N16-2g-11M),2,35,1,1
Mouse01 (N16-2g-11M),2,36,1,1
Mouse01 (N16-2g-11M),2,38,1,1
Mouse01 (N16-2g-11M),2,39,1,1
Mouse01 (N16-2g-11M),2,41,1,1
Mouse01 (N16-2g-11M),2,44,1,1
Mouse01 (N16-2g-11M),2,47,0,1
Mouse01 (N16-2g-11M),2,48,1,1
Mouse01 (N16-2g-11M),2,50,0,1
Mouse01 (N16-2g-11M),2,52,1,1
Mouse01 (N16-2g-11M),2,55,1,1
Mouse01 (N16-2g-11M),2,57,1,1
Mouse01 (N16-2g-11M),2,58,1,1
Mouse01 (N16-2g-11M),2,61,1,1
Mouse01 (N16-2g-11M),2,64,0,1
Mouse01 (N16-2g-11M),2,65,1,1
Mouse01 (N16-2g-11M),2,68,1,1
Mouse01 (N16-2g-11M),2,71,1,1
Mouse01 (N16-2g-11M),2,73,1,1
Mouse01 (N16-2g-11M),2,76,1,1
Mouse01 (N16-2g-11M),2,79,1,1
Mouse01 (N16-2g-11M),2,80,1,1
Mouse01 (N16-2g-11M),2,82,0,1
Mouse01 (N16-2g-11M),2,83,1,1
Mouse01 (N16-2g-11M),2,85,1,1
Mouse01 (N16-2g-11M),2,86,1,1
Mouse01 (N16-2g-11M),2,88,0,1
Mouse01 (N16-2g-11M),2,91,0,1
Mouse01 (N16-2g-11M),2,94,0,1
Mouse01 (N16-2g-11M),2,95,1,1
Mouse01 (N16-2g-11M),2,98,1,1
Mouse01 (N16-2g-11M),2,101,1,1
Mouse01 (N16-2g-11M),2,103,1,1
Mouse01 (N16-2g-11M),2,105,1,1
Mouse01 (N16-2g-11M),2,106,0,1
Mouse01 (N16-2g-11M),2,108,1,1
Mouse01 (N16-2g-11M),2,109,1,1
Mouse01 (N16-2g-11M),3,1,0,1
Mouse01 (N16-2g-11M),3,2,0,1
Mouse01 (N16-2g-11M),3,5,1,1
Mouse01 (N16-2g-11M),3,6,1,1
Mouse01 (N16-2g-11M),3,9,1,1
Mouse01 (N16-2g-11M),3,10,1,1
Mouse01 (N16-2g-11M),3,13,1,1
Mouse01 (N16-2g-11M),3,14,1,1
Mouse01 (N16-2g-11M),3,17,1,1
Mouse01 (N16-2g-11M),3,20,1,1
Mouse01 (N16-2g-11M),3,21,1,1
Mouse01 (N16-2g-11M),3,24,1,1
Mouse01 (N16-2g-11M),3,25,1,1
Mouse01 (N16-2g-11M),3,28,0,1
Mouse01 (N16-2g-11M),3,30,1,1
Mouse01 (N16-2g-11M),3,31,1,1
Mouse01 (N16-2g-11M),3,34,1,1
Mouse01 (N16-2g-11M),3,36,1,1
Mouse01 (N16-2g-11M),3,37,1,1
Mouse01 (N16-2g-11M),3,40,1,1
Mouse01 (N16-2g-11M),3,42,0,1
Mouse01 (N16-2g-11M),3,43,1,1
Mouse01 (N16-2g-11M),3,46,0,1
Mouse01 (N16-2g-11M),3,48,1,1
Mouse01 (N16-2g-11M),3,49,1,1
Mouse01 (N16-2g-11M),3,52,1,1
Mouse01 (N16-2g-11M),3,53,1,1
Mouse01 (N16-2g-11M),3,56,1,1
Mouse01 (N16-2g-11M),3,58,0,1
Mouse01 (N16-2g-11M),3,60,1,1
Mouse01 (N16-2g-11M),3,63,1,1
Mouse01 (N16-2g-11M),3,65,1,1
Mouse01 (N16-2g-11M),3,66,1,1
Mouse01 (N16-2g-11M),3,68,1,1
Mouse01 (N16-2g-11M),3,69,1,1
Mouse01 (N16-2g-11M),3,72,1,1
Mouse01 (N16-2g-11M),3,73,1,1
Mouse01 (N16-2g-11M),3,76,1,1
Mouse01 (N16-2g-11M),3,78,1,1
Mouse01 (N16-2g-11M),3,80,0,1
Mouse01 (N16-2g-11M),3,81,0,1
Mouse01 (N16-2g-11M),3,84,1,1
Mouse01 (N16-2g-11M),3,87,1,1
Mouse01 (N16-2g-11M),3,90,1,1
Mouse01 (N16-2g-11M),3,93,1,1
Mouse01 (N16-2g-11M),3,94,0,1
Mouse01 (N16-2g-11M),3,97,1,1
Mouse01 (N16-2g-11M),3,98,1,1
Mouse01 (N16-2g-11M),3,101,1,1
Mouse01 (N16-2g-11M),3,104,0,1
Mouse01 (N16-2g-11M),3,105,1,1
Mouse01 (N16-2g-11M),4,1,1,1
Mouse01 (N16-2g-11M),4,2,1,1
Mouse01 (N16-2g-11M),4,5,1,1
Mouse01 (N16-2g-11M),4,7,0,1
Mouse01 (N16-2g-11M),4,8,0,1
Mouse01 (N16-2g-11M),4,11,1,1
Mouse01 (N16-2g-11M),4,12,0,1
Mouse01 (N16-2g-11M),4,14,1,1
Mouse01 (N16-2g-11M),4,15,1,1
Mouse01 (N16-2g-11M),4,18,0,1
Mouse01 (N16-2g-11M),4,19,0,1
Mouse01 (N16-2g-11M),4,21,1,1
Mouse01 (N16-2g-11M),4,24,0,1
Mouse01 (N16-2g-11M),4,26,0,1
Mouse01 (N16-2g-11M),4,27,1,1
Mouse01 (N16-2g-11M),4,30,1,1
Mouse01 (N16-2g-11M),4,33,1,1
Mouse01 (N16-2g-11M),4,35,1,1
Mouse01 (N16-2g-11M),4,36,1,1
Mouse01 (N16-2g-11M),4,38,1,1
Mouse01 (N16-2g-11M),4,39,1,1
Mouse01 (N16-2g-11M),4,42,1,1
Mouse01 (N16-2g-11M),4,45,1,1
Mouse01 (N16-2g-11M),4,48,0,1
Mouse01 (N16-2g-11M),4,50,1,1
Mouse01 (N16-2g-11M),4,51,1,1
Mouse01 (N16-2g-11M),4,53,0,1
Mouse01 (N16-2g-11M),4,55,1,1
Mouse01 (N16-2g-11M),4,56,1,1
Mouse01 (N16-2g-11M),4,58,1,1
Mouse01 (N16-2g-11M),4,59,1,1
Mouse01 (N16-2g-11M),4,61,1,1
Mouse01 (N16-2g-11M),4,62,1,1
Mouse01 (N16-2g-11M),4,65,1,1
Mouse01 (N16-2g-11M),4,66,0,1
Mouse01 (N16-2g-11M),4,69,0,1
Mouse01 (N16-2g-11M),4,72,1,1
Mouse01 (N16-2g-11M),4,74,0,1
Mouse01 (N16-2g-11M),4,75,1,1
Mouse01 (N16-2g-11M),4,77,1,1
Mouse01 (N16-2g-11M),4,78,0,1
Mouse01 (N16-2g-11M),4,81,1,1
Mouse01 (N16-2g-11M),4,82,0,1
Mouse01 (N16-2g-11M),4,85,0,1
Mouse01 (N16-2g-11M),4,86,1,1
Mouse01 (N16-2g-11M),4,89,0,1
Mouse01 (N16-2g-11M),4,90,1,1
Mouse01 (N16-2g-11M),4,92,1,1
Mouse01 (N16-2g-11M),4,95,1,1
Mouse01 (N16-2g-11M),4,96,0,1
Mouse01 (N16-2g-11M),4,99,1,1
Mouse01 (N16-2g-11M),4,101,1,1
Mouse01 (N16-2g-11M),4,102,1,1
Mouse01 (N16-2g-11M),4,104,0,1
Mouse01 (N16-2g-11M),4,105,1,1
Mouse01 (N16-2g-11M),4,108,1,1
Mouse01 (N16-2g-11M),4,109,1,1
Mouse01 (N16-2g-11M),4,111,1,1
Mouse01 (N16-2g-11M),4,113,1,1
Mouse01 (N16-2g-11M),4,114,1,1
Mouse01 (N16-2g-11M),4,117,1,1
Mouse01 (N16-2g-11M),5,2,1,1
Mouse01 (N16-2g-11M),5,3,0,1
Mouse01 (N16-2g-11M),5,5,1,1
Mouse01 (N16-2g-11M),5,6,1,1
Mouse01 (N16-2g-11M),5,9,0,1
Mouse01 (N16-2g-11M),5,10,1,1
Mouse01 (N16-2g-11M),5,12,1,1
Mouse01 (N16-2g-11M),5,14,1,1
Mouse01 (N16-2g-11M),5,16,1,1
Mouse01 (N16-2g-11M),5,17,0,1
Mouse01 (N16-2g-11M),5,20,1,1
Mouse01 (N16-2g-11M),5,23,0,1
Mouse01 (N16-2g-11M),5,25,1,1
Mouse01 (N16-2g-11M),5,28,1,1
Mouse01 (N16-2g-11M),5,30,0,1
Mouse01 (N16-2g-11M),5,31,1,1
Mouse01 (N16-2g-11M),5,34,0,1
Mouse01 (N16-2g-11M),5,36,1,1
Mouse01 (N16-2g-11M),5,39,0,1
Mouse01 (N16-2g-11M),5,41,0,1
Mouse01 (N16-2g-11M),5,42,1,1
Mouse01 (N16-2g-11M),5,45,1,1
Mouse01 (N16-2g-11M),5,46,1,1
Mouse01 (N16-2g-11M),5,49,1,1
Mouse01 (N16-2g-11M),5,50,0,1
Mouse01 (N16-2g-11M),5,53,0,1
Mouse01 (N16-2g-11M),5,54,1,1
Mouse01 (N16-2g-11M),5,56,1,1
Mouse01 (N16-2g-11M),5,57,0,1
Mouse01 (N16-2g-11M),5,59,1,1
Mouse01 (N16-2g-11M),5,61,1,1
Mouse01 (N16-2g-11M),5,63,0,1
Mouse01 (N16-2g-11M),5,64,1,1
Mouse01 (N16-2g-11M),5,66,1,1
Mouse01 (N16-2g-11M),5,67,1,1
Mouse01 (N16-2g-11M),5,70,1,1
Mouse01 (N16-2g-11M),5,71,1,1
Mouse01 (N16-2g-11M),5,73,1,1
Mouse01 (N16-2g-11M),5,74,1,1
Mouse01 (N16-2g-11M),5,76,1,1
Mouse01 (N16-2g-11M),5,77,1,1
Mouse01 (N16-2g-11M),5,79,0,1
Mouse01 (N16-2g-11M),5,81,1,1
Mouse01 (N16-2g-11M),5,83,0,1
Mouse01 (N16-2g-11M),5,86,1,1
Mouse01 (N16-2g-11M),5,87,0,1
Mouse01 (N16-2g-11M),5,90,1,1
Mouse01 (N16-2g-11M),5,93,1,1
Mouse01 (N16-2g-11M),5,96,1,1
Mouse01 (N16-2g-11M),5,97,1,1
Mouse01 (N16-2g-11M),5,100,1,1
Mouse01 (N16-2g-11M),5,102,1,1
Mouse01 (N16-2g-11M),5,103,1,1
