mouse,session,trial,result,geno
Mouse01 (N16-2g-11M),1,1,1,1
Mouse01 (N16-2g-11M),1,2,1,1
Mouse01 (N16-2g-11M),1,3,0,1
Mouse01 (N16-2g-11M),1,4,1,1
Mouse01 (N16-2g-11M),1,5,1,1
Mouse01 (N16-2g-11M),1,6,1,1
Mouse01 (N16-2g-11M),1,7,1,1
Mouse01 (N16-2g-11M),1,8,1,1
Mouse01 (N16-2g-11M),1,9,1,1
Mouse01 (N16-2g-11M),1,10,1,1
Mouse01 (N16-2g-11M),1,11,1,1
Mouse01 (N16-2g-11M),1,12,1,1
Mouse01 (N16-2g-11M),1,13,1,1
Mouse01 (N16-2g-11M),1,14,1,1
Mouse01 (N16-2g-11M),1,15,1,1
Mouse01 (N16-2g-11M),1,16,0,1
Mouse01 (N16-2g-11M),1,17,1,1
Mouse01 (N16-2g-11M),1,18,1,1
Mouse01 (N16-2g-11M),1,19,1,1
Mouse01 (N16-2g-11M),1,20,1,1
Mouse01 (N16-2g-11M),1,21,0,1
Mouse01 (N16-2g-11M),1,22,0,1
Mouse01 (N16-2g-11M),1,23,1,1
Mouse01 (N16-2g-11M),1,24,1,1
Mouse01 (N16-2g-11M),1,25,1,1
Mouse01 (N16-2g-11M),1,26,1,1
Mouse01 (N16-2g-11M),1,27,1,1
Mouse01 (N16-2g-11M),1,28,1,1
Mouse01 (N16-2g-11M),1,29,1,1
Mouse01 (N16-2g-11M),1,30,1,1
Mouse01 (N16-2g-11M),1,31,1,1
Mouse01 (N16-2g-11M),1,32,1,1
Mouse01 (N16-2g-11M),1,33,1,1
Mouse01 (N16-2g-11M),1,34,1,1
Mouse01 (N16-2g-11M),1,35,1,1
Mouse01 (N16-2g-11M),1,36,1,1
Mouse01 (N16-2g-11M),1,37,1,1
Mouse01 (N16-2g-11M),1,38,1,1
Mouse01 (N16-2g-11M),1,39,1,1
Mouse01 (N16-2g-11M),1,40,0,1
Mouse01 (N16-2g-11M),1,41,1,1
Mouse01 (N16-2g-11M),1,42,1,1
Mouse01 (N16-2g-11M),1,43,1,1
Mouse01 (N16-2g-11M),1,44,1,1
Mouse01 (N16-2g-11M),1,45,1,1
Mouse01 (N16-2g-11M),1,46,1,1
Mouse01 (N16-2g-11M),1,47,1,1
Mouse01 (N16-2g-11M),1,48,1,1
Mouse01 (N16-2g-11M),1,49,1,1
Mouse01 (N16-2g-11M),1,50,1,1
Mouse01 (N16-2g-11M),1,51,1,1
Mouse01 (N16-2g-11M),1,52,1,1
Mouse01 (N16-2g-11M),1,53,1,1
Mouse01 (N16-2g-11M),1,54,0,1
Mouse01 (N16-2g-11M),1,55,1,1
Mouse01 (N16-2g-11M),1,56,1,1
Mouse01 (N16-2g-11M),1,57,1,1
Mouse01 (N16-2g-11M),1,58,1,1
Mouse01 (N16-2g-11M),1,59,1,1
Mouse01 (N16-2g-11M),1,60,1,1
Mouse01 (N16-2g-11M),1,61,1,1
Mouse01 (N16-2g-11M),1,62,1,1
Mouse01 (N16-2g-11M),1,63,0,1
Mouse01 (N16-2g-11M),1,64,1,1
Mouse01 (N16-2g-11M),1,65,1,1
Mouse01 (N16-2g-11M),1,66,1,1
Mouse01 (N16-2g-11M),1,67,1,1
Mouse01 (N16-2g-11M),1,68,1,1
Mouse01 (N16-2g-11M),1,69,1,1
Mouse01 (N16-2g-11M),1,70,1,1
Mouse01 (N16-2g-11M),1,71,1,1
Mouse01 (N16-2g-11M),1,72,1,1
Mouse01 (N16-2g-11M),1,73,1,1
Mouse01 (N16-2g-11M),1,74,1,1
Mouse01 (N16-2g-11M),1,75,0,1
Mouse01 (N16-2g-11M),1,76,1,1
Mouse01 (N16-2g-11M),1,77,1,1
Mouse01 (N16-2g-11M),1,78,1,1
Mouse01 (N16-2g-11M),1,79,1,1
Mouse01 (N16-2g-11M),1,80,1,1
Mouse01 (N16-2g-11M),1,81,1,1
Mouse01 (N16-2g-11M),1,82,1,1
Mouse01 (N16-2g-11M),1,83,1,1
Mouse01 (N16-2g-11M),1,84,1,1
Mouse01 (N16-2g-11M),1,85,1,1
Mouse01 (N16-2g-11M),1,86,1,1
Mouse01 (N16-2g-11M),1,87,1,1
Mouse01 (N16-2g-11M),1,88,1,1
Mouse02 (N13-2g-22M),1,1,1,1
Mouse02 (N13-2g-22M),1,2,1,1
Mouse02 (N13-2g-22M),1,3,1,1
Mouse02 (N13-2g-22M),1,4,1,1
Mouse02 (N13-2g-22M),1,5,1,1
Mouse02 (N13-2g-22M),1,6,1,1
Mouse02 (N13-2g-22M),1,7,1,1
Mouse02 (N13-2g-22M),1,8,0,1
Mouse02 (N13-2g-22M),1,9,1,1
Mouse02 (N13-2g-22M),1,10,1,1
Mouse02 (N13-2g-22M),1,11,1,1
Mouse02 (N13-2g-22M),1,12,1,1
Mouse02 (N13-2g-22M),1,13,1,1
Mouse02 (N13-2g-22M),1,14,0,1
Mouse02 (N13-2g-22M),1,15,1,1
Mouse02 (N13-2g-22M),1,16,1,1
Mouse02 (N13-2g-22M),1,17,1,1
Mouse02 (N13-2g-22M),1,18,1,1
Mouse02 (N13-2g-22M),1,19,1,1
Mouse02 (N13-2g-22M),1,20,1,1
Mouse02 (N13-2g-22M),1,21,1,1
Mouse02 (N13-2g-22M),1,22,1,1
Mouse02 (N13-2g-22M),1,23,1,1
Mouse02 (N13-2g-22M),1,24,1,1
Mouse02 (N13-2g-22M),1,25,1,1
Mouse02 (N13-2g-22M),1,26,1,1
Mouse02 (N13-2g-22M),1,27,1,1
Mouse02 (N13-2g-22M),1,28,1,1
Mouse02 (N13-2g-22M),1,29,1,1
Mouse02 (N13-2g-22M),1,30,1,1
Mouse02 (N13-2g-22M),1,31,1,1
Mouse02 (N13-2g-22M),1,32,1,1
Mouse02 (N13-2g-22M),1,33,1,1
Mouse02 (N13-2g-22M),1,34,1,1
Mouse02 (N13-2g-22M),1,35,0,1
Mouse02 (N13-2g-22M),1,36,1,1
Mouse02 (N13-2g-22M),1,37,1,1
Mouse02 (N13-2g-22M),1,38,1,1
Mouse02 (N13-2g-22M),1,39,1,1
Mouse02 (N13-2g-22M),1,40,1,1
Mouse02 (N13-2g-22M),1,41,1,1
Mouse02 (N13-2g-22M),1,42,1,1
Mouse02 (N13-2g-22M),1,43,1,1
Mouse02 (N13-2g-22M),1,44,1,1
Mouse02 (N13-2g-22M),1,45,1,1
Mouse02 (N13-2g-22M),1,46,1,1
Mouse02 (N13-2g-22M),1,47,1,1
Mouse02 (N13-2g-22M),1,48,1,1
Mouse02 (N13-2g-22M),1,49,1,1
Mouse02 (N13-2g-22M),1,50,1,1
Mouse02 (N13-2g-22M),1,51,1,1
Mouse02 (N13-2g-22M),1,52,0,1
Mouse02 (N13-2g-22M),1,53,1,1
Mouse02 (N13-2g-22M),1,54,1,1
Mouse02 (N13-2g-22M),1,55,1,1
Mouse02 (N13-2g-22M),1,56,1,1
Mouse02 (N13-2g-22M),1,57,1,1
Mouse02 (N13-2g-22M),1,58,0,1
Mouse02 (N13-2g-22M),1,59,1,1
Mouse02 (N13-2g-22M),1,60,1,1
Mouse02 (N13-2g-22M),1,61,1,1
Mouse02 (N13-2g-22M),1,62,1,1
Mouse02 (N13-2g-22M),1,63,1,1
Mouse02 (N13-2g-22M),1,64,1,1
Mouse02 (N13-2g-22M),1,65,1,1
Mouse02 (N13-2g-22M),1,66,1,1
Mouse02 (N13-2g-22M),1,67,1,1
Mouse02 (N13-2g-22M),1,68,1,1
Mouse02 (N13-2g-22M),1,69,1,1
Mouse02 (N13-2g-22M),1,70,1,1
Mouse02 (N13-2g-22M),1,71,1,1
Mouse02 (N13-2g-22M),1,72,1,1
Mouse02 (N13-2g-22M),1,73,1,1
Mouse02 (N13-2g-22M),1,74,1,1
Mouse02 (N13-2g-22M),1,75,1,1
Mouse02 (N13-2g-22M),1,76,1,1
Mouse02 (N13-2g-22M),1,77,1,1
Mouse02 (N13-2g-22M),1,78,1,1
Mouse02 (N13-2g-22M),1,79,1,1
Mouse02 (N13-2g-22M),1,80,1,1
Mouse02 (N13-2g-22M),1,81,1,1
Mouse02 (N13-2g-22M),1,82,1,1
Mouse02 (N13-2g-22M),1,83,0,1
Mouse02 (N13-2g-22M),1,84,1,1
Mouse02 (N13-2g-22M),1,85,1,1
Mouse02 (N13-2g-22M),1,86,1,1
Mouse03 (N10-2g-36M),1,1,1,1
Mouse03 (N10-2g-36M),1,2,1,1
Mouse03 (N10-2g-36M),1,3,0,1
Mouse03 (N10-2g-36M),1,4,1,1
Mouse03 (N10-2g-36M),1,5,1,1
Mouse03 (N10-2g-36M),1,6,1,1
Mouse03 (N10-2g-36M),1,7,1,1
Mouse03 (N10-2g-36M),1,8,1,1
Mouse03 (N10-2g-36M),1,9,0,1
Mouse03 (N10-2g-36M),1,10,0,1
Mouse03 (N10-2g-36M),1,11,0,1
Mouse03 (N10-2g-36M),1,12,0,1
Mouse03 (N10-2g-36M),1,13,0,1
Mouse04 (N33-2g-3M),1,1,1,1
Mouse04 (N33-2g-3M),1,2,1,1
Mouse04 (N33-2g-3M),1,3,1,1
Mouse04 (N33-2g-3M),1,4,1,1
Mouse04 (N33-2g-3M),1,5,1,1
Mouse04 (N33-2g-3M),1,6,1,1
Mouse04 (N33-2g-3M),1,7,0,1
Mouse04 (N33-2g-3M),1,8,1,1
Mouse04 (N33-2g-3M),1,9,1,1
Mouse04 (N33-2g-3M),1,10,1,1
Mouse04 (N33-2g-3M),1,11,0,1
Mouse04 (N33-2g-3M),1,12,1,1
Mouse04 (N33-2g-3M),1,13,1,1
Mouse04 (N33-2g-3M),1,14,1,1
Mouse04 (N33-2g-3M),1,15,1,1
Mouse04 (N33-2g-3M),1,16,1,1
Mouse04 (N33-2g-3M),1,17,1,1
Mouse04 (N33-2g-3M),1,18,1,1
Mouse04 (N33-2g-3M),1,19,1,1
Mouse04 (N33-2g-3M),1,20,1,1
Mouse04 (N33-2g-3M),1,21,1,1
Mouse04 (N33-2g-3M),1,22,1,1
Mouse04 (N33-2g-3M),1,23,1,1
Mouse04 (N33-2g-3M),1,24,1,1
Mouse04 (N33-2g-3M),1,25,1,1
Mouse04 (N33-2g-3M),1,26,0,1
Mouse04 (N33-2g-3M),1,27,0,1
Mouse04 (N33-2g-3M),1,28,1,1
Mouse04 (N33-2g-3M),1,29,1,1
Mouse04 (N33-2g-3M),1,30,1,1
Mouse04 (N33-2g-3M),1,31,1,1
Mouse04 (N33-2g-3M),1,32,1,1
Mouse04 (N33-2g-3M),1,33,1,1
Mouse04 (N33-2g-3M),1,34,1,1
Mouse04 (N33-2g-3M),1,35,1,1
Mouse04 (N33-2g-3M),1,36,1,1
Mouse04 (N33-2g-3M),1,37,1,1
Mouse04 (N33-2g-3M),1,38,1,1
Mouse04 (N33-2g-3M),1,39,1,1
Mouse04 (N33-2g-3M),1,40,1,1
Mouse04 (N33-2g-3M),1,41,1,1
Mouse04 (N33-2g-3M),1,42,1,1
Mouse04 (N33-2g-3M),1,43,1,1
Mouse04 (N33-2g-3M),1,44,1,1
Mouse04 (N33-2g-3M),1,45,1,1
Mouse04 (N33-2g-3M),1,46,1,1
Mouse04 (N33-2g-3M),1,47,1,1
Mouse04 (N33-2g-3M),1,48,1,1
Mouse04 (N33-2g-3M),1,49,1,1
Mouse04 (N33-2g-3M),1,50,1,1
Mouse04 (N33-2g-3M),1,51,1,1
Mouse04 (N33-2g-3M),1,52,1,1
Mouse04 (N33-2g-3M),1,53,1,1
Mouse04 (N33-2g-3M),1,54,1,1
Mouse04 (N33-2g-3M),1,55,1,1
Mouse04 (N33-2g-3M),1,56,1,1
Mouse04 (N33-2g-3M),1,57,1,1
Mouse04 (N33-2g-3M),1,58,1,1
Mouse04 (N33-2g-3M),1,59,1,1
Mouse04 (N33-2g-3M),1,60,1,1
Mouse04 (N33-2g-3M),1,61,1,1
Mouse04 (N33-2g-3M),1,62,1,1
Mouse04 (N33-2g-3M),1,63,1,1
Mouse04 (N33-2g-3M),1,64,1,1
Mouse04 (N33-2g-3M),1,65,1,1
Mouse04 (N33-2g-3M),1,66,1,1
Mouse04 (N33-2g-3M),1,67,1,1
Mouse04 (N33-2g-3M),1,68,1,1
Mouse04 (N33-2g-3M),1,69,1,1
Mouse04 (N33-2g-3M),1,70,1,1
Mouse04 (N33-2g-3M),1,71,1,1
Mouse04 (N33-2g-3M),1,72,1,1
Mouse04 (N33-2g-3M),1,73,1,1
Mouse04 (N33-2g-3M),1,74,1,1
Mouse04 (N33-2g-3M),1,75,1,1
Mouse04 (N33-2g-3M),1,76,0,1
Mouse04 (N33-2g-3M),1,77,0,1
Mouse04 (N33-2g-3M),1,78,1,1
Mouse04 (N33-2g-3M),1,79,1,1
