mouse,session,trial,result,geno
Mouse01 (N16-2g-11M),1,1,1,1
Mouse01 (N16-2g-11M),1,2,0,1
Mouse01 (N16-2g-11M),1,3,0,1
Mouse01 (N16-2g-11M),1,4,0,1
Mouse01 (N16-2g-11M),1,5,1,1
Mouse01 (N16-2g-11M),1,6,1,1
Mouse01 (N16-2g-11M),1,7,1,1
Mouse01 (N16-2g-11M),1,8,1,1
Mouse01 (N16-2g-11M),1,9,1,1
Mouse01 (N16-2g-11M),1,10,0,1
Mouse01 (N16-2g-11M),1,11,0,1
Mouse01 (N16-2g-11M),1,12,0,1
Mouse01 (N16-2g-11M),1,13,0,1
Mouse01 (N16-2g-11M),1,14,0,1
Mouse01 (N16-2g-11M),1,15,0,1
Mouse01 (N16-2g-11M),1,16,0,1
Mouse01 (N16-2g-11M),1,17,1,1
Mouse01 (N16-2g-11M),1,18,1,1
Mouse01 (N16-2g-11M),1,19,1,1
Mouse01 (N16-2g-11M),1,20,0,1
Mouse01 (N16-2g-11M),1,21,0,1
Mouse01 (N16-2g-11M),1,22,0,1
Mouse01 (N16-2g-11M),1,23,0,1
Mouse01 (N16-2g-11M),1,24,1,1
Mouse01 (N16-2g-11M),1,25,1,1
Mouse01 (N16-2g-11M),1,26,1,1
Mouse01 (N16-2g-11M),1,27,1,1
Mouse01 (N16-2g-11M),1,28,0,1
Mouse01 (N16-2g-11M),1,29,1,1
Mouse01 (N16-2g-11M),1,30,0,1
Mouse01 (N16-2g-11M),1,31,0,1
Mouse01 (N16-2g-11M),1,32,1,1
Mouse01 (N16-2g-11M),1,33,0,1
Mouse01 (N16-2g-11M),1,34,1,1
Mouse01 (N16-2g-11M),1,35,0,1
Mouse01 (N16-2g-11M),1,36,0,1
Mouse01 (N16-2g-11M),1,37,0,1
Mouse01 (N16-2g-11M),1,38,1,1
Mouse01 (N16-2g-11M),1,39,1,1
Mouse01 (N16-2g-11M),1,40,1,1
Mouse01 (N16-2g-11M),1,41,1,1
Mouse01 (N16-2g-11M),1,42,1,1
Mouse01 (N16-2g-11M),1,43,1,1
Mouse01 (N16-2g-11M),1,44,1,1
Mouse01 (N16-2g-11M),1,45,1,1
Mouse01 (N16-2g-11M),1,46,0,1
Mouse01 (N16-2g-11M),1,47,1,1
Mouse01 (N16-2g-11M),1,48,0,1
Mouse01 (N16-2g-11M),1,49,1,1
Mouse01 (N16-2g-11M),1,50,0,1
Mouse01 (N16-2g-11M),1,51,0,1
Mouse01 (N16-2g-11M),1,52,0,1
Mouse01 (N16-2g-11M),1,53,1,1
Mouse01 (N16-2g-11M),1,54,0,1
Mouse01 (N16-2g-11M),1,55,0,1
Mouse01 (N16-2g-11M),1,56,0,1
Mouse01 (N16-2g-11M),1,57,1,1
Mouse01 (N16-2g-11M),1,58,1,1
Mouse01 (N16-2g-11M),1,59,0,1
Mouse01 (N16-2g-11M),1,60,0,1
Mouse01 (N16-2g-11M),1,61,0,1
Mouse01 (N16-2g-11M),1,62,0,1
Mouse01 (N16-2g-11M),1,63,0,1
Mouse01 (N16-2g-11M),1,64,0,1
Mouse01 (N16-2g-11M),1,65,0,1
Mouse01 (N16-2g-11M),1,66,1,1
Mouse01 (N16-2g-11M),1,67,1,1
Mouse01 (N16-2g-11M),1,68,0,1
Mouse01 (N16-2g-11M),1,69,1,1
Mouse01 (N16-2g-11M),1,70,0,1
Mouse01 (N16-2g-11M),1,71,0,1
Mouse01 (N16-2g-11M),1,72,0,1
Mouse01 (N16-2g-11M),1,73,0,1
Mouse01 (N16-2g-11M),1,74,1,1
Mouse01 (N16-2g-11M),1,75,1,1
Mouse01 (N16-2g-11M),1,76,1,1
Mouse01 (N16-2g-11M),1,77,1,1
Mouse01 (N16-2g-11M),1,78,0,1
Mouse01 (N16-2g-11M),1,79,0,1
Mouse01 (N16-2g-11M),1,80,0,1
Mouse01 (N16-2g-11M),1,81,1,1
Mouse01 (N16-2g-11M),1,82,1,1
Mouse01 (N16-2g-11M),1,83,0,1
Mouse01 (N16-2g-11M),1,84,1,1
Mouse01 (N16-2g-11M),1,85,1,1
Mouse01 (N16-2g-11M),1,86,1,1
Mouse01 (N16-2g-11M),1,87,0,1
Mouse01 (N16-2g-11M),1,88,0,1
Mouse01 (N16-2g-11M),1,89,0,1
Mouse01 (N16-2g-11M),1,90,1,1
Mouse01 (N16-2g-11M),1,91,0,1
Mouse01 (N16-2g-11M),1,92,1,1
Mouse01 (N16-2g-11M),1,93,0,1
Mouse01 (N16-2g-11M),1,94,0,1
Mouse01 (N16-2g-11M),1,95,1,1
Mouse01 (N16-2g-11M),1,96,1,1
Mouse01 (N16-2g-11M),1,97,1,1
Mouse01 (N16-2g-11M),1,98,1,1
Mouse01 (N16-2g-11M),1,99,0,1
Mouse01 (N16-2g-11M),1,100,1,1
Mouse01 (N16-2g-11M),1,101,0,1
Mouse01 (N16-2g-11M),1,102,0,1
Mouse01 (N16-2g-11M),1,103,0,1
Mouse01 (N16-2g-11M),1,104,0,1
Mouse01 (N16-2g-11M),1,105,1,1
Mouse01 (N16-2g-11M),1,106,1,1
Mouse01 (N16-2g-11M),1,107,1,1
