mouse,session,trial,result,geno
Mouse1 (Ibo4),1,1,1,1
Mouse1 (Ibo4),1,2,1,1
Mouse1 (Ibo4),1,3,1,1
Mouse1 (Ibo4),1,4,1,1
Mouse1 (Ibo4),1,5,0,1
Mouse1 (Ibo4),1,6,1,1
Mouse1 (Ibo4),1,7,1,1
Mouse1 (Ibo4),1,8,1,1
Mouse1 (Ibo4),1,9,0,1
Mouse1 (Ibo4),1,10,0,1
Mouse1 (Ibo4),1,11,0,1
Mouse1 (Ibo4),1,12,0,1
Mouse1 (Ibo4),1,13,0,1
Mouse1 (Ibo4),1,14,0,1
Mouse1 (Ibo4),1,15,0,1
Mouse1 (Ibo4),1,16,0,1
Mouse1 (Ibo4),1,17,0,1
Mouse1 (Ibo4),1,18,1,1
Mouse1 (Ibo4),1,19,0,1
Mouse1 (Ibo4),1,20,0,1
Mouse1 (Ibo4),1,21,0,1
Mouse1 (Ibo4),1,22,0,1
Mouse1 (Ibo4),1,23,0,1
Mouse1 (Ibo4),1,24,0,1
Mouse1 (Ibo4),1,25,1,1
Mouse1 (Ibo4),1,26,0,1
Mouse1 (Ibo4),1,27,0,1
Mouse1 (Ibo4),1,28,0,1
Mouse1 (Ibo4),1,29,0,1
Mouse1 (Ibo4),1,30,0,1
Mouse1 (Ibo4),1,31,0,1
Mouse1 (Ibo4),1,32,0,1
Mouse1 (Ibo4),1,33,0,1
Mouse1 (Ibo4),1,34,1,1
Mouse1 (Ibo4),1,35,0,1
Mouse1 (Ibo4),1,36,1,1
Mouse1 (Ibo4),1,37,1,1
Mouse1 (Ibo4),1,38,1,1
Mouse1 (Ibo4),1,39,0,1
Mouse1 (Ibo4),1,40,0,1
Mouse1 (Ibo4),1,41,0,1
Mouse1 (Ibo4),1,42,0,1
Mouse1 (Ibo4),1,43,0,1
Mouse1 (Ibo4),1,44,1,1
Mouse1 (Ibo4),1,45,0,1
Mouse1 (Ibo4),1,46,1,1
Mouse1 (Ibo4),1,47,1,1
Mouse1 (Ibo4),1,48,1,1
Mouse1 (Ibo4),1,49,1,1
Mouse1 (Ibo4),1,50,0,1
Mouse1 (Ibo4),1,51,0,1
Mouse1 (Ibo4),1,52,0,1
Mouse1 (Ibo4),1,53,0,1
Mouse1 (Ibo4),1,54,0,1
Mouse1 (Ibo4),1,55,0,1
Mouse1 (Ibo4),1,56,1,1
Mouse1 (Ibo4),1,57,1,1
Mouse1 (Ibo4),1,58,1,1
Mouse1 (Ibo4),1,59,1,1
Mouse1 (Ibo4),1,60,0,1
Mouse1 (Ibo4),1,61,0,1
Mouse1 (Ibo4),1,62,1,1
Mouse1 (Ibo4),1,63,1,1
Mouse1 (Ibo4),1,64,1,1
Mouse1 (Ibo4),1,65,1,1
Mouse1 (Ibo4),1,66,1,1
Mouse1 (Ibo4),1,67,1,1
Mouse1 (Ibo4),1,68,1,1
Mouse1 (Ibo4),1,69,0,1
Mouse1 (Ibo4),1,70,1,1
Mouse1 (Ibo4),1,71,0,1
Mouse1 (Ibo4),1,72,0,1
Mouse1 (Ibo4),1,73,1,1
Mouse1 (Ibo4),1,74,0,1
Mouse1 (Ibo4),1,75,1,1
Mouse1 (Ibo4),1,76,0,1
Mouse1 (Ibo4),1,77,0,1
Mouse1 (Ibo4),1,78,1,1
Mouse1 (Ibo4),1,79,1,1
Mouse1 (Ibo4),1,80,1,1
Mouse1 (Ibo4),1,81,0,1
Mouse1 (Ibo4),1,82,1,1
Mouse1 (Ibo4),1,83,1,1
