mouse,session,trial,result,geno
Mouse1 (Ibo4),1,3,1,1
Mouse1 (Ibo4),1,7,1,1
Mouse1 (Ibo4),1,8,1,1
Mouse1 (Ibo4),1,19,0,1
Mouse1 (Ibo4),1,25,1,1
Mouse1 (Ibo4),1,26,0,1
Mouse1 (Ibo4),1,48,1,1
Mouse1 (Ibo4),1,67,1,1
Mouse1 (Ibo4),1,80,1,1
Mouse1 (Ibo4),1,81,0,1
Mouse1 (Ibo4),1,85,1,1
Mouse1 (Ibo4),1,86,0,1
Mouse1 (Ibo4),1,90,0,1
Mouse1 (Ibo4),1,96,0,1
Mouse1 (Ibo4),1,100,1,1
Mouse1 (Ibo4),1,104,1,1
Mouse1 (Ibo4),1,105,0,1
Mouse1 (Ibo4),1,108,1,1
Mouse1 (Ibo4),1,109,1,1
Mouse1 (Ibo4),1,122,0,1
Mouse1 (Ibo4),1,130,1,1
Mouse1 (Ibo4),1,131,1,1
Mouse1 (Ibo4),1,133,1,1
Mouse1 (Ibo4),1,134,1,1
Mouse1 (Ibo4),1,135,0,1
Mouse1 (Ibo4),1,139,1,1
Mouse1 (Ibo4),1,149,0,1
Mouse1 (Ibo4),1,151,1,1
Mouse1 (Ibo4),1,152,1,1
Mouse1 (Ibo4),1,153,0,1
Mouse1 (Ibo4),2,2,1,1
Mouse1 (Ibo4),2,4,1,1
Mouse1 (Ibo4),2,6,1,1
Mouse1 (Ibo4),2,7,1,1
Mouse1 (Ibo4),2,24,1,1
Mouse1 (Ibo4),2,26,1,1
Mouse1 (Ibo4),2,27,1,1
Mouse1 (Ibo4),2,28,0,1
Mouse1 (Ibo4),2,41,0,1
Mouse1 (Ibo4),2,44,1,1
Mouse1 (Ibo4),2,49,1,1
Mouse1 (Ibo4),2,50,1,1
Mouse1 (Ibo4),2,51,1,1
Mouse1 (Ibo4),2,63,1,1
Mouse1 (Ibo4),2,65,0,1
Mouse1 (Ibo4),2,75,1,1
Mouse1 (Ibo4),2,79,0,1
Mouse1 (Ibo4),2,81,0,1
Mouse1 (Ibo4),2,84,1,1
Mouse1 (Ibo4),2,88,0,1
