Val,Geno,Bin,ID
21.18311688,1,1,1
18.07804878,1,2,1
15.62677165,1,3,1
20.31007194,1,1,2
14.52301587,1,2,2
12.99862069,1,3,2
17.09354839,1,1,3
15.99449541,1,2,3
20.06944444,1,3,3
34.51492537,1,1,4
18.09272727,1,2,4
15.0773913,1,3,4
118.1886364,2,1,5
38.78592593,2,2,5
18.43533835,2,3,5
28.23670886,2,1,6
23.96978417,2,2,6
24.3414966,2,3,6
51.41481481,2,1,7
43.00754717,2,2,7
27.83777778,2,3,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
