Val,Geno,Bin,ID
6,1,1,1
8,1,2,1
7,1,3,1
6,1,1,2
8,1,2,2
7,1,3,2
8,1,1,3
10,1,2,3
8,1,3,3
6,1,1,4
8,1,2,4
10,1,3,4
4,2,1,5
7,2,2,5
7,2,3,5
4,2,1,6
5,2,2,6
5,2,3,6
5,2,1,7
3,2,2,7
8,2,3,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
