Val,Geno,Bin,ID
74,1,1,1
43,1,2,1
47,1,3,1
59,1,1,2
46,1,2,2
65,1,3,2
44,1,1,3
29,1,2,3
28,1,3,3
54,1,1,4
30,1,2,4
35,1,3,4
96,2,1,5
55,2,2,5
53,2,3,5
78,2,1,6
59,2,2,6
67,2,3,6
136,2,1,7
79,2,2,7
55,2,3,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
