Val,Geno,Bin,ID
22.33,1,1,1
12.38,1,2,1
17.57,1,3,1
18.17,1,1,2
13.62,1,2,2
17.86,1,3,2
14.5,1,1,3
9.7,1,2,3
9.38,1,3,3
18.7,1,1,4
12.5,1,2,4
11.3,1,3,4
37.5,2,1,5
17.71,2,2,5
18.4,2,3,5
35.75,2,1,6
23.4,2,2,6
17.2,2,3,6
40.2,2,1,7
39.67,2,2,7
16.5,2,3,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
