Fig10,A,B,,,C,,,,,,D,,,,,,,,,E,,,,,F,,,,,G,,,,,,H,,,,,,I,,,,
,,,,,%Correct,,,,,,,%Correct,,,,,,,,Reversal num,,,,,Trials/reversal,,,,,Trials,,,,,,Actual Delay,,,,,,Trials,,,,
,Days for criteria,Days for criteria,,,,,day,,,,,Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VD1,VD2,,,All trials,ID,1,2,3,,ID,50,100,150,200,250,300,350,,ID,1,2,3,,,1,2,3,,,ID,1,2,3,,,ID,1,2,3,,,ID,1,2,3
WT1,1,1,,,,WT1,53.597122,59.493671,57.976654,,WT1,70,54,38,54,50,62,66,,WT1,11,12,14,,WT1,24.90909091,23.25,13.85714286,,Total,WT1,278,237,257,,All trials,WT1,59.35483871,110.1030928,81.73228346,,Total,WT1,0.64028777,0.70464135,0.6692607
WT2,4,1,,,,WT2,60.080645,55.474453,63.948498,,WT2,46,64,72,62,58,46,66,,WT2,14,6,16,,WT2,14.85714286,40.33333333,8.1875,,,WT2,248,137,233,,,WT2,22.31404959,164.4274809,40.3539823,,,WT2,0.870967742,0.839416058,0.793991416
WT3,3,1,,,,WT3,54.545455,59.839357,57.251908,,WT3,40,54,60,74,50,56,60,,WT3,8,11,12,,WT3,26.625,18.18181818,17.83333333,,,WT3,275,249,262,,,WT3,81.9,76.54205607,76.88311688,,,WT3,0.68,0.726907631,0.645038168
WT4,1,1,,,,WT4,56.653992,55.185185,62.761506,,WT4,52,68,48,52,56,62,54,,WT4,10,10,12,,WT4,27.1,26.1,20.58333333,,,WT4,263,270,239,,,WT4,28.96551724,22.34817814,30.3930131,,,WT4,0.825095057,0.903703704,0.891213389
WT5,1,1,,,,WT5,60.080645,56.818182,58.203125,,WT5,68,64,62,52,54,60,64,,WT5,11,12,12,,WT5,26.18181818,18.25,20.75,,,WT5,248,264,256,,,WT5,43.56164384,47.22891566,44.68619247,,,WT5,0.814516129,0.791666667,0.7578125
WT6,1,2,,,,WT6,54.578755,56.573705,54.98155,,WT6,48,52,58,52,66,48,62,,WT6,11,9,12,,WT6,22.72727273,24.66666667,20.58333333,,,WT6,273,251,271,,,WT6,92.43243243,87.20647773,83.4375,,,WT6,0.684981685,0.721115538,0.760147601
WT7,2,4,,,,WT7,51.912568,57.86802,56.69291,,WT7,38,58,54,58,56,66,56,,WT7,5,6,3,,WT7,49.2,29.33333333,42.66666667,,,WT7,183,197,128,,,WT7,122.0454545,107.8172589,59.0625,,,WT7,0.551912568,0.639593909,0.609375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,1.857142857,1.571428571,,,,Ave,55.92131171,57.32179614,58.83087871,,Ave,51.71428571,59.14285714,56,57.71428571,55.71428571,57.14285714,61.14285714,,Ave,10,9.428571429,11.57142857,,Ave,27.37147495,25.73073593,20.63732993,,,Ave,252.5714286,229.2857143,235.1428571,,,Ave,64.36770519,87.95335146,59.50694117,,,Ave,0.72396585,0.761006408,0.732405539
Sem,0.459221465,0.428571429,,,,Sem,1.198255194,0.692555052,1.240631779,,Sem,4.809288066,2.344482595,4.094130526,3.068381656,2.066908039,2.857142857,1.791894069,,Sem,1.069044968,0.972408469,1.540827589,,Sem,3.972438287,2.872632683,4.06536416,,,Sem,12.49544135,17.82282417,18.52852186,,,Sem,13.71615222,17.47567851,8.169160547,,,Sem,0.043668977,0.033849339,0.036899068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLGF1,1,2,,,,NLGF1,50.209205,47.706422,48.167539,,NLGF1,58,46,50,50,48,56,54,,NLGF1,6,5,4,,NLGF1,41.66666667,42.2,38.75,,,NLGF1,239,218,191,,,NLGF1,101.5165877,134.3225806,127.1005917,,,NLGF1,0.673640167,0.541284404,0.607329843
NLGF2,2,2,,,,NLGF2,49.57265,51.93133,55.212355,,NLGF2,60,48,54,42,48,48,50,,NLGF2,4,6,10,,NLGF2,55,33.16666667,22.2,,,NLGF2,234,233,259,,,NLGF2,106.7336683,96.48648649,94.88986784,,,NLGF2,0.542735043,0.52360515,0.694980695
NLGF3,1,2,,,,NLGF3,50.857143,60.215054,55.670103,,NLGF3,36,58,58,50,58,68,60,,NLGF3,4,8,8,,NLGF3,33.5,19.875,22.125,,,NLGF3,178,224,216,,,NLGF3,130.5660377,121.3559322,115.1612903,,,NLGF3,0.41011236,0.366071429,0.425925926
NLGF4,1,1,,,,NLGF4,40.604027,54.578755,57.976654,,NLGF4,50,36,34,30,44,50,54,,NLGF4,5,6,10,,NLGF4,56.2,47,20,,,NLGF4,298,273,257,,,NLGF4,71.06382979,105.9,86.69387755,,,NLGF4,0.691275168,0.648351648,0.60311284
NLGF5,1,4,,,,NLGF5,38.505747,52.542373,50.588235,,NLGF5,30,32,54,50,54,50,54,,NLGF5,3,3,6,,NLGF5,73,47,9.666666667,,,NLGF5,174,118,170,,,NLGF5,151.0638298,361.0344828,129.4545455,,,NLGF5,0.540229885,0.516949153,0.594117647
NLGF6,1,5,,,,NLGF6,50.78534,52.688172,49.763033,,NLGF6,50,46,50,62,56,58,54,,NLGF6,3,6,7,,NLGF6,69,28.83333333,19.42857143,,,NLGF6,191,186,211,,,NLGF6,118.9595376,150,100.1913876,,,NLGF6,0.602094241,0.688172043,0.71563981
NLGF7,2,3,,,,NLGF7,43.621399,50.78534,48.017621,,NLGF7,48,52,38,36,50,48,54,,NLGF7,4,5,5,,NLGF7,64,47.8,38,,,NLGF7,243,191,227,,,NLGF7,89.37238494,104.8421053,106.1083744,,,NLGF7,0.617283951,0.712041885,0.665198238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,1.285714286,2.714285714,,,,Ave,46.30793014,52.92106371,52.19936286,,Ave,47.42857143,45.42857143,48.28571429,45.71428571,51.14285714,54,54.28571429,,Ave,4.142857143,5.571428571,7.142857143,,Ave,56.05238095,37.98214286,24.31003401,,,Ave,222.4285714,206.1428571,218.7142857,,,Ave,109.8965537,153.4202268,108.5142764,,,Ave,0.582481545,0.570925102,0.615186429
Sem,0.184427778,0.521640531,,,,Sem,1.995512229,1.454723478,1.517950188,,Sem,4.133816079,3.372558326,3.36448033,4.010191099,1.895214166,2.760262237,1.10656667,,Sem,0.404061018,0.571428571,0.884484553,,Sem,5.421990581,4.116118958,3.970089603,,,Sem,16.7969061,18.29315325,12.31088231,,,Sem,10.01612924,35.31075411,6.104139768,,,Sem,0.036127399,0.045683133,0.036328566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Selected trials,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,1,2,3,,,,1,2,3
,,,,,,WT1,56.741573,61.077844,61.046512,,,,,,,,,,,,,,,,,,,,,Correct,WT1,149,141,149,,Selected trials,WT1,13.983146,13.562874,13.430233,,Correct,WT1,0.677852349,0.723404255,0.704697987
,,,,,,WT2,56.944444,60.869565,66.486486,,,,,,,,,,,,,,,,,,,,,,WT2,149,76,149,,,WT2,13.342593,12.878261,12.827027,,,WT2,0.825503356,0.921052632,0.825503356
,,,,,,WT3,55.614973,58.01105,62.721893,,,,,,,,,,,,,,,,,,,,,,WT3,150,149,150,,,WT3,14.786096,14.176796,14.189349,,,WT3,0.693333333,0.704697987,0.706666667
,,,,,,WT4,57.142857,56.967213,63.380282,,,,,,,,,,,,,,,,,,,,,,WT4,149,149,150,,,WT4,12.723502,11.963115,11.629108,,,WT4,0.832214765,0.932885906,0.9
,,,,,,WT5,60.39604,58.373206,55.670103,,,,,,,,,,,,,,,,,,,,,,WT5,149,150,149,,,WT5,13.024752,13.92823,14.041237,,,WT5,0.818791946,0.813333333,0.724832215
,,,,,,WT6,58.28877,61.878453,58.252427,,,,,,,,,,,,,,,,,,,,,,WT6,149,142,149,,,WT6,14.459893,13.60221,12.407767,,,WT6,0.731543624,0.788732394,0.805369128
,,,,,,WT7,60.39604,53.968254,62.82051,,,,,,,,,,,,,,,,,,,,,,WT7,95,114,73,,,WT7,14,13.706349,13.78205,,,WT7,0.642105263,0.596491228,0.671232877
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ave,57.93209957,58.73508357,61.48260186,,,,,,,,,,,,,,,,,,,,,,Ave,141.4285714,131.5714286,138.4285714,,,Ave,13.75999743,13.40254786,13.18668157,,,Ave,0.745906377,0.782942534,0.762614604
,,,,,,Sem,0.70125763,1.051399513,1.348502115,,,,,,,,,,,,,,,,,,,,,,Sem,7.739377183,10.39884871,10.90621741,,,Sem,0.286159449,0.283704664,0.35561759,,,Sem,0.029870099,0.045498729,0.031213675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NLGF1,47.204969,47.457627,49.137931,,,,,,,,,,,,,,,,,,,,,,NLGF1,120,104,92,,,NLGF1,14.180124,14.364407,14.681034,,,NLGF1,0.633333333,0.538461538,0.619565217
,,,,,,NLGF2,52.755906,55.737705,59.444444,,,,,,,,,,,,,,,,,,,,,,NLGF2,116,121,143,,,NLGF2,14.685039,15.098361,13.75,,,NLGF2,0.577586207,0.561983471,0.748251748
,,,,,,NLGF3,50.684932,58.536585,56.521739,,,,,,,,,,,,,,,,,,,,,,NLGF3,89,112,108,,,NLGF3,15.219178,15.365854,14.945652,,,NLGF3,0.415730337,0.428571429,0.481481481
,,,,,,NLGF4,36.893204,57.627119,59.354839,,,,,,,,,,,,,,,,,,,,,,NLGF4,121,149,149,,,NLGF4,14.896774,14.427184,13.220339,,,NLGF4,0.628099174,0.684563758,0.617449664
,,,,,,NLGF5,38.297872,45.901639,51.485149,,,,,,,,,,,,,,,,,,,,,,NLGF5,67,62,86,,,NLGF5,13.329787,14.918033,14.742574,,,NLGF5,0.537313433,0.451612903,0.604651163
,,,,,,NLGF6,47.826087,50,50.993377,,,,,,,,,,,,,,,,,,,,,,NLGF6,97,98,105,,,NLGF6,13.347826,13.734375,13.390728,,,NLGF6,0.567010309,0.653061224,0.733333333
,,,,,,NLGF7,41.333333,52.205882,52.980132,,,,,,,,,,,,,,,,,,,,,,NLGF7,106,97,109,,,NLGF7,14.073333,14.713235,14.218543,,,NLGF7,0.58490566,0.731958763,0.733944954
