Fig6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,B,,,,C,,D,,,,,,E,,,,,,,,,,,,,,,,,,,,
,,,day,,,,,,,,,,,,,delay,,,,,,,,,,,,,,,,,,,,
,Correct%,,1,2,3,4,,Correct%,,1,2,3,4,5,,1,2,3,5,8,12,16,20,,,,,,,,,,,,,
Mouse1,49.0797546,,75,71,73,83,,83,,53.33333333,64.51612903,64,64.51612903,74.07407407,,67.27272727,90,68.96551724,65.625,63.49206349,69.23076923,63.07692308,52.38095238,,,,,,,,,,,,,
Mouse2,56.33802817,,68,74,75,76,,76,,54.42176871,62.5,65.57377049,79.20792079,68.37606838,,81.66666667,75.92592593,77.96610169,75.75757576,68.25396825,62.66666667,52,52.54237288,,,,,,,,,,,,,
Mouse3,43.24324324,,59,80,77,82,,82,,51.61290323,58.39416058,62.99212598,74.76635514,77.66990291,,74.57627119,78.18181818,62.68656716,62,48.88888889,61.29032258,52.38095238,44.18604651,,,,,,,,,,,,,
Mouse4,45.97701149,,52,51,60,65,,65,,59.25925926,66.11570248,77.66990291,78.43137255,84.21052632,,87.75510204,85.41666667,78.57142857,85.18518519,65,68.85245902,75,55.93220339,,,,,,,,,,,,,
Ave,48.65950938,,63.5,69,71.25,76.5,,76.5,,54.65681613,62.88149802,67.55894985,74.23044438,76.08264292,,77.81769179,82.38110269,72.04740367,72.14194024,61.40873016,65.51005437,60.61446886,51.26039379,,,,,,,,,,,,,
Sem,2.823531928,,5.041494487,6.284902545,3.837859647,4.133198923,,4.133198923,,1.639480165,1.668677996,3.41191922,3.379819915,3.316719298,,4.427845736,3.247634297,3.815725917,5.232339509,4.289922366,2.059659719,5.439110331,2.496185695,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,G,,,H,,,I,,,J,,,,,,,,,,,,,,,,,,,,,,,
,First 20 trials,Last 20 trials,,First 20 trials,Last 20 trials,,First 20 trials,Last 20 trials,,First 20 trials,Last 20 trials,,,CA1,,DG,,M1,,M2,,PLIL,,,,,,,,,,,,,,
Mouse1,60,45,,85,60,,95,100,,40,55,,,cont,task,cont,task,cont,task,cont,task,cont,task,,,,,,,,,,,,,
Mouse2,60,60,,65,80,,90,85,,55,80,,,1.679285,10.031976,14.914415,18.053573,23.13014,38.776467,7.862651,44.187262,11.574985,76.372187,,,,,,,,,,,,,
Mouse3,55,70,,55,70,,80,100,,50,40,,,7.964882,0,36.357068,16.85299,4.04844,21.121791,15.413862,117.771625,60.35248,194.401608,,,,,,,,,,,,,
Mouse4,35,65,,40,55,,90,90,,45,60,,,3.103432,6.812464,19.699137,41.365576,2.720985,30.224614,34.660998,35.134465,36.803277,86.867511,,,,,,,,,,,,,
Ave,52.5,60,,61.25,66.25,,88.75,93.75,,47.5,58.75,,,5.046906,6.014067,29.227215,23.039094,31.518975,172.31627,21.257965,203.921766,34.635473,201.013037,,,,,,,,,,,,,
Sem,5.951190357,5.400617249,,9.437293044,5.543389457,,3.145764348,3.75,,3.227486122,8.260094834,,,3.035376,,63.123635,,17.993119,,51.042794,,29.81829,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.651824,,4.406082,,24.913062,,15.73363,,44.116942,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ave,4.4136175,5.71462675,27.954592,24.82780825,17.3874535,65.6097855,24.32865,100.2537795,36.21690783,139.6635858,,,,,,,,,,,,,
,,,,,,,,,,,,,sem,0.924452975,2.093469499,8.37021273,5.672927303,4.770445617,35.75098231,6.466088329,39.19811416,6.572538372,33.60708372,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,L,,,,M,N,,,,,,,,,O,,,,,,,,,,,P,,,,,,,,,
,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Correct%,1,2,3,4,Correct%,1,1,2,3,4,5,6,7,,All trials,ID,1,2,3,5,8,12,16,20,,All trials,ID,1,2,3,5,8,12,16,20
sal1,40.60913706,38.26530612,40,45.71428571,56.33802817,76.19047619,76.19047619,44.94382022,57.97101449,61.06870229,69.56521739,70.79646018,70.79646018,70.79646018,,,sal1,76.5625,70.68965517,66.17647059,80.64516129,68.11594203,56.25,45.94594595,47.22222222,,,sal1,9.453125,10.827586,13.955882,14.435484,19.898551,24.645833,150.540541,81.25
sal2,43.95604396,43,55,57,70,91.95402299,91.95402299,47.05882353,58.39416058,59.25925926,66.66666667,60.15037594,78.43137255,68.37606838,,,sal2,86.79245283,71.66666667,72.30769231,75.80645161,68.42105263,61.53846154,75,36.58536585,,,sal2,6.54717,7.4,9.230769,12.354839,16.052632,42.738462,30,30.585366
sal3,41.88481675,57,58,59,62,76.19047619,76.19047619,44.94382022,51.28205128,57.55395683,55.55555556,55.55555556,55.94405594,60.15037594,,,sal3,58.90410959,71.21212121,57.97101449,52.63157895,51.35135135,56.25,51.06382979,42,,,sal3,7.561644,8.015152,9.927536,17.723684,19.945946,25.53125,30.234043,45.54
Ave,42.14999926,46.08843537,51,53.9047619,62.77934272,81.44499179,81.44499179,45.64882133,55.88240879,59.29397279,63.92914654,62.16746389,68.39062956,66.44096816,,,Ave,74.08635414,71.18948102,65.48505913,69.69439728,62.62944867,58.01282051,57.33659191,41.93586269,,,Ave,7.853979667,8.747579333,11.03806233,14.83800233,18.63237633,30.97184833,70.25819467,52.45845533
Sem,0.975224379,5.624381847,5.567764363,4.135735532,3.9630754,5.254515599,5.254515599,0.705001102,2.303419923,1.014768065,4.269588916,4.513785413,6.602041799,3.221968188,,,Sem,8.145313498,0.282266009,4.153055905,8.645000579,5.639736474,1.762820513,8.954424842,3.070763398,,,Sem,0.851516044,1.055055101,1.472710061,1.562864882,1.289944726,5.888856389,40.14123002,15.02913895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibo1,37.03703704,48,63,71,82,71.42857143,71.42857143,45.19774011,55.55555556,56.33802817,56.33802817,61.06870229,57.55395683,57.55395683,,,ibo1,59.15492958,55.26315789,56.96202532,50.68493151,60.2739726,41.55844156,54.66666667,59.42028986,,,ibo1,10.591549,19.697368,14.392405,16.547945,43.69863,26.898734,32.933333,33.637681
ibo2,38.97435897,44,50,87,82,90.90909091,90.90909091,50.66666667,59.70149254,66.11570248,59.25925926,58.39416058,63.49206349,54.42176871,,,ibo2,83.07692308,51.76470588,58.44155844,48.68421053,53.65853659,43.20987654,41.30434783,46.93877551,,,ibo2,8.430769,70.470588,26.519481,49.342105,104.536585,,245.675676,198.244898
ibo3,44.44444444,57,71,80,86,98.7654321,98.7654321,55.94405594,56.73758865,60.15037594,50.95541401,55.55555556,60.60606061,80.80808081,,,ibo3,86.44067797,62.66666667,50.60240964,60.56338028,64.51612903,41.50943396,44.44444444,37.14285714,,,ibo3,6.457627,9.466667,22.855422,29.014085,20.16129,38.716981,59.888889,134.828571
