Fig7,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,B,,,,,C,,D,,,,,,,,,,,,,,,
,Correct%,,1,2,3,4,,Correct%,,1,2,3,4,5,6,7,8,9,10,11,12,,,,
N18-2g-25F,38.647343,,38.27751196,49.20634921,44.26229508,55.17241379,,83.33333333,,55.94405594,57.97101449,62.99212598,66.66666667,78.43137255,80,83.33333333,,,,,,,,,
N32-2g-15F,39.35483871,,58.39416058,61.53846154,69.56521739,89.88764045,,91.95402299,,33.33333333,43.87755102,59.64912281,59.375,50.44247788,65.57377049,65.04065041,63.49206349,76.19047619,78.43137255,86.95652174,82.4742268,,,,
N32-2g-17F,37.34939759,,40.32258065,43.63636364,34.86238532,46.24277457,,77.94117647,,58.82352941,45.71428571,56.4516129,53.22580645,62.99212598,54.05405405,65.04065041,65.04065041,65.04065041,74.07407407,70.1754386,76.19047619,,,,
N18-2g-34F,41.81818182,,40.20100503,36.52968037,54.42176871,64.51612903,,89.88764045,,36.95652174,53.33333333,59.45945946,44.28571429,46.31578947,72.72727273,77.66990291,70.79646018,75.47169811,78.43137255,84.21052632,88.88888889,,,,
N32-2g-21F,,,46.24277457,47.05882353,41.66666667,45.45454545,,98.7654321,,49.0797546,52.2875817,54.05405405,59.70149254,65.04065041,58.82352941,52.2875817,54.79452055,64,69.56521739,73.39449541,73.39449541,,,,
N64-2g-4F,50,,55.55555556,60.60606061,48.73417722,55.05617978,,74.76635514,,52.98013245,60.60606061,55.17241379,59.25925926,63.49206349,2.127659574,62.01550388,78.43137255,82.4742268,85.10638298,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,41.43395222,,46.49893139,49.76262315,48.91875173,59.38828051,,86.10799341,,47.85288791,52.29830448,57.9631315,57.08565653,61.11907996,55.55104771,67.56460377,66.51101343,72.6354103,77.12168391,78.68424552,80.23702182,,,,
Sem,2.261595647,,3.507075979,3.985441461,4.927645045,6.733002587,,3.704506012,,4.255052191,2.686560641,1.362913911,3.094839574,4.681028316,11.34348193,4.574168401,3.930726695,3.5336668,2.584319058,4.075859671,3.452711363,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎ13-2g-36F,36.24161074,,37.6344086,32.55813953,49.49494949,30.76923077,,68.75,,41.66666667,45.65217391,43.18181818,44.82758621,55.46218487,55.17241379,67.22689076,65.04065041,80.80808081,68.96551724,73.39449541,68.37606838,,,,
N10-2g-42F,58.39416058,,68.37606838,60.60606061,62.99212598,72.07207207,,94.11764706,,46.78362573,53.69127517,58.82352941,54.79452055,57.97101449,67.22689076,74.76635514,72.07207207,73.39449541,66.66666667,80,76.19047619,,,,
N10-2g-43F,53.75,,44.44444444,55.94405594,60.15037594,74.07407407,,90.90909091,,26.74418605,47.97297297,55.55555556,54.79452055,61.53846154,47.59036145,49.38271605,57.14285714,61.06870229,62.01550388,71.42857143,68.37606838,,,,
N40-2g-21F,73.33333333,,50,50.95541401,65.57377049,,,85.10638298,,42.97520661,60.41666667,61.66666667,66.66666667,62.5,61.06870229,70.1754386,71.42857143,66.66666667,70.79646018,77.66990291,74.76635514,,,,
N40-2g-22F,43.50649351,,50.31446541,59.25925926,57.55395683,62.5,,77.66990291,,41.07142857,39.37007874,42.30769231,61.53846154,56.63716814,47.61904762,56.73758865,0,44.15584416,54.05405405,55.08474576,64.51612903,,,,
N40-2g-56F,62.01550388,,65.04065041,60.15037594,79.20792079,76.92307692,,76.19047619,,54.05405405,52.63157895,50.95541401,64.51612903,55.17241379,65.04065041,62.01550388,74.76635514,64.51612903,74.07407407,74.76635514,75.47169811,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,54.54018367,,52.63500621,53.24555088,62.49551659,63.26769077,,82.12391667,,42.21586128,49.95579107,52.08177936,57.85631409,58.21354047,57.28634439,63.38408218,56.74175103,65.10165306,66.09537935,72.05734511,71.2827992,,,,
Sem,5.419472621,,4.851503011,4.391332545,4.033030971,8.477923899,,3.932045956,,3.66318605,2.972392943,3.293423574,3.286490362,1.275290987,3.488970096,3.797073319,11.63939677,5.076898054,2.920974095,3.615603974,1.970222685,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,E,,F,,,,,,,,,,,,,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,days to criteria,,All trials,,1,1,2,3,5,8,12,16,20,24,,1,1,2,3,5,8,12,16,20,24
