S13,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,,,
,day 1,,,,,,,,,day 2,,,,,,,,,day 3,,,,,,,
,1,2,3,4,5,6,7,8,,9,10,11,12,13,14,15,16,,17,18,19,20,21,22,23,24
,20,40,60,80,100,120,140,160,,20,40,60,80,100,120,140,160,,20,40,60,80,100,120,140,160
221207-9Mw,5,13,16,24,36,60,80,80,,43,66,80,80,80,80,80,80,,49,61,62,80,80,80,80,80
221207-10Mw,34,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,80,,70,80,80,80,80,80,80,80
221026-1Fw,28,49,74,80,80,80,80,80,,48,70,80,80,80,80,80,80,,62,80,80,80,80,80,80,80
221026-2Fw,21,39,57,78,80,80,80,80,,49,79,80,80,80,80,80,80,,62,80,80,80,80,80,80,80
B6J-4Fw,20,38,59,75,80,80,80,80,,43,73,80,80,80,80,80,80,,66,80,80,80,80,80,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,21.6,43.8,57.2,67.4,71.2,76,80,80,,52.6,73.6,80,80,80,80,80,80,,61.8,76.2,76.4,80,80,80,80,80
Sem,4.864154603,10.82312339,11.18659913,10.88852607,8.8,4,0,0,,6.961321714,2.657066051,0,0,0,0,0,0,,3.527038418,3.8,3.6,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
221207-9Mw,95,12,7,,,,,,,,,,,,,,,,,,,,,,,
221207-10Mw,18,6,2,,,,,,,,,,,,,,,,,,,,,,,
221026-1Fw,22,7,3,,,,,,,,,,,,,,,,,,,,,,,
221026-2Fw,27,8,3,,,,,,,,,,,,,,,,,,,,,,,
B6J-4Fw,31,11,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,38.6,8.8,3.6,,,,,,,,,,,,,,,,,,,,,,,
Sem,14.27094951,1.15758369,0.871779789,,,,,,,,,,,,,,,,,,,,,,,
