S16,,,,,,,,,,,,,,,,,,
%Correct,A,,B,,,C,,,,D,,,,,,,,
,VD1,,VD2,,,pre-acquisition,,,,acquisition,,,,,,,,
,,,day,,,,,,,,,,,,,,,
,,,1,2,,1,2,3,,1,2,3,4,5,6,7,8,9
WT1,46.42857143,,54.42176871,57.55395683,,76.19047619,58.39416058,68.37606838,,52.98013245,65.57377049,53.69127517,63.15789474,43.47826087,58.25242718,64.51612903,68.96551724,70.58823529
WT2,72.72727273,,86.02150538,79.20792079,,79.20792079,75.47169811,74.76635514,,59.3,63,70.8,72.1,70.8,76.2,77.7,,
WT3,50,,40.42553191,62.5,,96.38554217,76.92307692,86.95652174,,62.5,54.795,61.538,62.016,59.259,59.701,63.492,68.376,76.923
,,,,,,,,,,,,,,,,,,
Ave,56.38528139,,60.289602,66.42062587,,83.92797972,70.26297854,76.69964842,,58.26004415,61.1229235,62.00975839,65.75796491,57.84575362,64.71780906,68.56937634,68.67075862,73.75561765
Sem,8.23578141,,13.48544647,6.551132707,,6.289392914,5.949180753,5.450123208,,2.796909048,3.25002746,4.944493008,3.188104854,7.918697415,5.756304439,4.574874364,0.29475862,3.167382355
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,E,,F,,,,,,,,,,,,,,,
,acquisition,,Working memory,,,,,,,,,,,,,,,
,,,day,,,,,,,,,,,,,,,
,days to criteria,,1,1,2,3,5,8,12,16,20,,,,,,,
WT1,25,,85.10638298,80,80,67.9245283,64.51612903,53.84615385,50,45.67901235,54.71698113,,,,,,,
WT2,7,,77.66990291,78.94736842,69.49152542,63.51351351,69.01408451,52.38095238,61.84210526,48.14814815,68.96551724,,,,,,,
WT3,10,,78.43137255,81.81818182,81.81818182,74.57627119,84.90566038,85.71428571,69.49152542,62.71186441,70.27027027,,,,,,,
,,,,,,,,,,,,,,,,,,
Ave,14,,80.40255281,80.25518341,77.10323575,68.67143767,72.81195797,63.98046398,60.44454356,52.17967497,64.65092288,,,,,,,
Sem,5.567764363,,2.362165157,0.838496934,3.841876575,3.215304914,6.184688871,10.87513922,5.66994341,5.314113871,4.981231245,,,,,,,
