S19,,,,,,,,,
C,,,,,,D,,,
,VGluT1,,VGAT,,,VGluT1,,VGAT,
Int.,6822.422333,10353.10867,328.7073333,762.373,,4186.927,6822.422333,231.98,328.7073333
,6507.944333,8097.157667,349.754,753.8783333,,6609.14,6507.944333,332.974,349.754
,3873.956667,7974.435,203.1476667,826.528,,2506.376,3873.956667,81.515,203.1476667
,5610.505667,8711.236,430.5306667,681.2963333,,4603.089,5610.505667,286.54,430.5306667
,4102.044667,9953.394667,239.0023333,777.154,,2865.37,4102.044667,186.776,239.0023333
,5134.727,9334.915667,359.574,889.037,,5377.03,5134.727,390.739,359.574
,5935.339,8302.131667,419.9566667,941.717,,3832.969,5935.339,188.388,419.9566667
,4846.921333,8729.963,340.08,795.815,,4191.993,4846.921333,378.466,340.08
,,9786.437333,,882.548,,7064.943,8598.856667,508.993,767.3756667
,8598.856667,9248.408667,767.3756667,833.331,,5398.239,6962.651667,404.338,594.4903333
,6962.651667,8719.010667,594.4903333,866.6896667,,5304.895,6478.844333,397.286,516.5596667
,6478.844333,9125.426,516.5596667,914.537,,7828.153,6766.726,616.718,577.0316667
,6766.726,8382.438667,577.0316667,690.5813333,,6874.641,7544.035667,521.193,559.984
,7544.035667,7695.321,559.984,690.9556667,,6765.728,6553.213667,479.254,575.889
,6553.213667,8847.375,575.889,763.1626667,,5036.663,8015.234,432.143,625.978
,8015.234,5859.242667,625.978,738.512,,7498.347,9341.001333,350.917,661.923
,9341.001333,6574.749,661.923,719.1303333,,8010.095,10497.07967,323.925,621.75
,10497.07967,8462.840667,621.75,678.5853333,,7986.737,9335.844333,479.864,575.6303333
,9335.844333,4658.572,575.6303333,468.2566667,,8400.016,8792.642333,531.688,564.205
,8792.642333,3312.918,564.205,419.175,,7048.923,7517.128333,351.33,448.3743333
,7517.128333,4755.775,448.3743333,694.289,,7685.65,8419.866333,541.88,565.6213333
,8419.866333,4069.765,565.6213333,489.0196667,,5950.956,8254.884,255.661,517.537
,8254.884,5188.043333,517.537,641.6933333,,5365.42,8021.445,234.625,474.2626667
,8021.445,2700.372667,474.2626667,276.862,,,,,
,,,,,,,,,
Ave,7127.535406,7451.79325,492.0593333,716.4636389,,5930.1,7127.535406,369.8779565,492.0593333
Sem,358.2461585,455.4022873,29.28368456,33.42960401,,355.1483379,358.2461585,28.13105406,29.28368456
