S20,,,,,,,,,,,,,,,
A,,,,,,B,,,,,,,,C,
Input resistance,,,Maximum firing rate,,,mEPSCs,,,,mIPSCs,,,,,E/I balance
wt,110.5169,,wt,16,,,Freq.,Amplitude,,,Freq.,Amplitude,,wt,2.346291337
wt,126.6918,,wt,4,,wt,328.34,8.1035,,wt,394.7,7.3242,,wt,2.336391437
wt,136.9374,,wt,12,,wt,1231.6,8.7139,,wt,152.5,6.7139,,wt,2.699007718
wt,157.776,,wt,10,,wt,175.325,10.91,,wt,152.5,6.31,,wt,4.455657492
wt,86.4961,,wt,10,,wt,384.5,9.3242,,wt,409.5,7.3242,,wt,2.463414634
wt,55.6981,,wt,8,,wt,225.15,8.7139,,wt,317,6.7139,,wt,3.163204748
wt,127.5201,,wt,5,,wt,210.6,10.1035,,wt,319.2,11.1084,,wt,2.610846813
wt,76.5115,,wt,12,,wt,406.15,8.7139,,wt,129.65,8.1035,,wt,2.403550296
wt,168.4709,,wt,10,,wt,206.15,9.9346,,wt,351.4722,13.12,,wt,2.689463956
wt,179.7391,,wt,9,,wt,406.15,9.3242,,wt,415.606,9.21,,wt,2.653667595
wt,117.0133,,wt,11,,wt,306.15,11.1231,,wt,301.0605,8.31,,wt,3.776611694
wt,94.5607,,wt,13,,wt,556.6,10.213,,wt,256.5705,8.412,,wt,3.035971223
wt,116.9254,,wt,7,,wt,552.85,9.1231,,wt,250.61,9.131,,wt,1.899448124
wt,106.7246,,wt,8,,wt,451.85,13.1243,,wt,329.6,9.3384,,,
wt,73.6774,,wt,10,,wt,686.55,9.8132,,wt,250.75,8.9111,,,
wt,169.5039,,wt,10,,,,,,wt,239.6,8.667,,,
wt,117.2746,,wt,10,,,,,,,,,,homo,0.507177034
wt,163.7925,,wt,10,,homo,128.05,9.0801,,homo,501.05,8.21,,homo,0.84720992
wt,120.2392,,wt,15,,homo,308.475,10.3008,,homo,500.2,8.12,,homo,1.666035593
wt,319.7807,,wt,10,,homo,579.3,9.2021,,homo,180.5,15.0146,,homo,2.475543478
wt,270.0619,,wt,12,,homo,424,10.65,,homo,764.6,9.13,,homo,7.478825522
wt,136.7626,,,,,homo,314.6,11.21,,homo,558.7,8.21,,homo,10.68443497
,,,homo,10,,homo,306.4,9.3242,,homo,370,9.21,,homo,9.260450161
homo,178.1355,,homo,10,,homo,40.65,10.5449,,homo,447,7.2632,,homo,0.562111801
homo,190.4293,,homo,17,,homo,70.55,10.92,,homo,157,8.4229,,homo,3.534023669
homo,287.8244,,homo,11,,homo,270.55,15.916,,homo,191,9.76,,homo,3.275653924
homo,327.7298,,homo,13,,homo,114.85,12.7422,,homo,320.95,11.7187,,homo,9.335635359
homo,170.6368,,homo,13,,homo,429.6,9.3242,,homo,177.95,9.7656,,homo,1.59375
homo,98.9352,,homo,13,,homo,231.65,11.7656,,homo,210.25,9.0332,,homo,2.752515091
homo,70.2779,,homo,11,,homo,725.55,9.3242,,homo,134.7,8.13,,,
homo,108.5115,,homo,10,,homo,438.15,7.9814,,homo,166.1,10.6201,,,
homo,158.3429,,homo,7,,homo,155.9,10.7891,,homo,328,10.2,,,
homo,45.1664,,homo,11,,homo,224.4,11.1553,,homo,204.5,9.43,,,
homo,110.517,,homo,8,,homo,94.275,9.9346,,homo,241.5,8.7891,,,
homo,62.212,,homo,5,,homo,186.9,8.7139,,,,,,,
homo,74.6374,,homo,12,,homo,121.5,9.5684,,,,,,,
homo,94.3427,,homo,10,,homo,437.2,10.1389,,,,,,,
homo,39.9343,,homo,9,,homo,319.15,9.8125,,,,,,,
homo,166.5821,,homo,7,,homo,301.8,9.8125,,,,,,,
homo,160.2744,,homo,9,,,,,,,,,,,
homo,93.5146,,homo,9,,,,,,,,,,,
homo,90.6814,,homo,7,,,,,,,,,,,
homo,66.5715,,homo,13,,,,,,,,,,,
homo,186.9414,,homo,13,,,,,,,,,,,
homo,122.9866,,,,,,,,,,,,,,
