Fig6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,B,,,,C,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,day,,,,,,,delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correct%,,1,2,3,4,,Correct%,,1,2,3,5,8,12,16,20,,,,,,,,,,,,,,,,,,,,,,,
Mouse1,49.0797546,,75,71,73,83,,83,,67.27272727,82.06896552,69.48275862,67.29525862,61.9047619,66.36141636,59.68104682,56.19047619,,,,,,,,,,,,,,,,,,,,,,,
Mouse2,56.33802817,,68,74,75,76,,76,,75.02136752,65.64153439,73.80447942,70.57109557,60.4427736,56.80503145,48.91666667,57.79292557,,,,,,,,,,,,,,,,,,,,,,,
Mouse3,43.24324324,,59,80,77,82,,82,,74.57627119,70.66985646,60.24953358,59.35820896,56.66666667,49.83739837,59.52380952,52.26543705,,,,,,,,,,,,,,,,,,,,,,,
Mouse4,45.97701149,,52,51,60,65,,65,,87.75510204,78.28525641,78.28571429,72.59259259,65.19230769,69.77105709,68.64754098,61.89467312,,,,,,,,,,,,,,,,,,,,,,,
Ave,48.65950938,,63.5,69,71.25,76.5,,76.5,,76.15636701,74.16640319,70.45562148,67.45428893,61.05162747,60.69372582,59.192266,57.03587798,,,,,,,,,,,,,,,,,,,,,,,
Sem,2.823531928,,5.041494487,6.284902545,3.837859647,4.133198923,,4.133198923,,4.25474868,3.70039041,3.847465564,2.911020007,1.767098737,4.541497997,4.034631277,1.992754002,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,G,,,H,,,I,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First 20 trials,Last 20 trials,,First 20 trials,Last 20 trials,,First 20 trials,Last 20 trials,,First 20 trials,Last 20 trials,,,CA1,,DG,,M1,,M2,,PLIL,,,,,,,,,,,,,,,,,,
Mouse1,60,45,,85,60,,95,100,,40,55,,,cont,task,cont,task,cont,task,cont,task,cont,task,,,,,,,,,,,,,,,,,
Mouse2,60,60,,65,80,,90,85,,55,80,,,1.679285,10.031976,14.914415,18.053573,23.13014,38.776467,7.862651,44.187262,11.574985,76.372187,,,,,,,,,,,,,,,,,
Mouse3,55,70,,55,70,,80,100,,50,40,,,7.964882,0,36.357068,16.85299,4.04844,21.121791,15.413862,117.771625,60.35248,194.401608,,,,,,,,,,,,,,,,,
Mouse4,35,65,,40,55,,90,90,,45,60,,,3.103432,6.812464,19.699137,41.365576,2.720985,30.224614,34.660998,35.134465,36.803277,86.867511,,,,,,,,,,,,,,,,,
Ave,52.5,60,,61.25,66.25,,88.75,93.75,,47.5,58.75,,,5.046906,6.014067,29.227215,23.039094,31.518975,172.31627,21.257965,203.921766,34.635473,201.013037,,,,,,,,,,,,,,,,,
Sem,5.951190357,5.400617249,,9.437293044,5.543389457,,3.145764348,3.75,,3.227486122,8.260094834,,,3.035376,,63.123635,,17.993119,,51.042794,,29.81829,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.651824,,4.406082,,24.913062,,15.73363,,44.116942,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ave,4.4136175,5.71462675,27.954592,24.82780825,17.3874535,65.6097855,24.32865,100.2537795,36.21690783,139.6635858,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sem,0.924452975,2.093469499,8.37021273,5.672927303,4.770445617,35.75098231,6.466088329,39.19811416,6.572538372,33.60708372,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,L,,,,M,N,,,,,,,,,O,,,,,,,,,,,,,P,,,,,,,,,,,
,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Correct%,1,2,3,4,Correct%,1,1,2,3,4,5,6,7,,All trials,ID,1,2,3,5,8,12,16,20,24,,,All trials,ID,1,2,3,5,8,12,16,20,24,
7goki 190527,40.60913706,38.26530612,40,45.71428571,56.33802817,76.19047619,76.19047619,44.94382022,57.97101449,61.06870229,69.56521739,70.79646018,70.79646018,70.79646018,,,7goki 190527,76.5625,48.4375,67.24137931,50,50,48.52941176,44.44444444,45.45454545,54.54545455,,,,7goki 190527,8.711864,11.703125,12.258621,15.028571,18.1,23.838235,44.8,193.30303,59,
10 goki 190615,43.95604396,43,55,57,70,91.95402299,91.95402299,47.05882353,58.39416058,59.25925926,66.66666667,60.15037594,78.43137255,68.37606838,,,10 goki 190615,86.79245283,69.3877551,60.6557377,49.25373134,55.93220339,69.49152542,65.57377049,66.66666667,53.65853659,,,,10 goki 190615,7.47541,8.142857,8.770492,11.895522,14.779661,19.745763,33.47541,37.22807,33.439024,
