Fig9,A,B,,C,,,,,,D,,,,,E,,,,,F,,,,,,G,,,,,,H,,,,
,VD1,VD2,,%Correct,,,,,,Reversal,,,,,Trials/Reversal,,,,,Trials,,,,,,Delay dur,,,,,,Selected/all trials,,,,
ID,days to criteria,days to criteria,,,,day,,,,,day,,,,,day,,,,,,,,,,,,,,,,,,,,
Ibo4,1,3,,All trials,ID,1,2,3,,ID,1,2,3,,ID,1,2,3,,Total,,day,,,,All trials,,day,,,,Total,,day,,
Ibo3,4,1,,,Ibo4,51.94805195,65.04065041,62.99212598,,Ibo4,6,8,7,,Ibo4,22.33,12.38,17.57,,,ID,1,2,3,,,ID,1,2,3,,,ID,1,2,3
Ibo7,4,1,,,Ibo3,57.55395683,63.49206349,55.17241379,,Ibo3,6,8,7,,Ibo3,18.17,13.62,17.86,,,Ibo4,154,123,127,,,Ibo4,21.18311688,18.07804878,15.62677165,,,Ibo4,0.194805195,0.235772358,0.338582677
Ibo8,2,1,,,Ibo7,64.51,73.39,74.07,,Ibo7,8,10,8,,Ibo7,14.5,9.7,9.38,,,Ibo3,139,126,145,,,Ibo3,20.31007194,14.52301587,12.99862069,,,Ibo3,0.258992806,0.531746032,0.468965517
,,,,,Ibo8,59.7,72.73,69.57,,Ibo8,6,8,10,,Ibo8,18.7,12.5,11.3,,,Ibo7,124,109,108,,,Ibo7,17.09354839,15.99449541,20.06944444,,,Ibo7,0.14516129,0.394495413,0.453703704
Ave,2.75,1.5,,,,,,,,,,,,,,,,,,,Ibo8,134,110,115,,,Ibo8,34.51492537,18.09272727,15.0773913,,,Ibo8,0.044776119,0.181818182,0.313043478
Sem,0.75,0.5,,,Ave,58.4280022,68.66317848,65.45113494,,Ave,6.5,8.5,8,,Ave,18.425,12.05,14.0275,,,,,,,,,,,,,,,,,,
,,,,,Sem,2.603881497,2.561656671,4.112468013,,Sem,0.5,0.5,0.707106781,,Sem,1.601959737,0.831604874,2.165561417,,,Ave,137.75,117,123.75,,,Ave,23.27541565,16.67207183,15.94305702,,,Ave,0.160933853,0.335957996,0.393573844
,,,,,,,,,,,,,,,,,,,,,Sem,6.25,4.377975179,8.09706737,,,Sem,3.848300914,0.869510609,1.487340805,,,Sem,0.045188696,0.079349348,0.039590269
Ibo2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibo5,6,1,,,Ibo2,45.45454545,59.25925926,60.15037594,,Ibo2,4,7,7,,Ibo2,37.5,17.71,18.4,,,,,,,,,,,,,,,,,,
Ibo6,1,1,,,Ibo5,50.63,57.55,54.52,,Ibo5,4,5,5,,Ibo5,35.75,23.4,17.2,,,Ibo2,176,135,133,,,Ibo2,118.1886364,38.78592593,18.43533835,,,Ibo2,0.170454545,0.162962963,0.323308271
,,,,,Ibo6,37.03,50.31,59.26,,Ibo6,5,3,8,,Ibo6,40.2,39.67,16.5,,,Ibo5,158,139,147,,,Ibo5,28.23670886,23.96978417,24.3414966,,,Ibo5,0.139240506,0.158273381,0.244897959
Ave,2.666666667,2.333333333,,,,,,,,,,,,,,,,,,,Ibo6,216,159,135,,,Ibo6,51.41481481,43.00754717,27.83777778,,,Ibo6,0.055555556,0.062893082,0.096296296
Sem,1.666666667,1.333333333,,,Ave,44.37151515,55.70641975,57.97679198,,Ave,4.333333333,5,6.666666667,,Ave,37.81666667,26.92666667,17.36666667,,,,,,,,,,,,,,,,,,
,,,,,Sem,3.963151775,2.742954698,1.747402875,,Sem,0.333333333,1.154700538,0.881917104,,Sem,1.294325221,6.579980581,0.554777233,,,Ave,183.3333333,144.3333333,138.3333333,,,Ave,65.94672001,35.25441909,23.53820424,,,Ave,0.121750202,0.128043142,0.221500842
,,,,,,,,,,,,,,,,,,,,,Sem,17.13994684,7.423685817,4.371625683,,,Sem,26.9642944,5.772427577,2.743806709,,,Sem,0.03430198,0.032603148,0.066568706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Selected,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ibo4,63.33333333,72.4137931,67.44186047,,,,,,,,,,,,Correct,,,,,,Selected,,,,,,Correct,,,,
,,,,,Ibo3,75,71.64179104,69.11764706,,,,,,,,,,,,,ID,,,,,,ID,,,,,,ID,,,
,,,,,Ibo7,77.77777778,74.41860465,81.63265306,,,,,,,,,,,,,Ibo4,80,80,80,,,Ibo4,9.278433333,9.393103448,8.982744186,,,Ibo4,0.2375,0.2625,0.3625
,,,,,Ibo8,83.33333333,80,83.33333333,,,,,,,,,,,,,Ibo3,80,80,80,,,Ibo3,9.016527778,8.783880597,8.801485294,,,Ibo3,0.3375,0.6,0.5875
,,,,,,,,,,,,,,,,,,,,,Ibo7,80,80,80,,,Ibo7,9.285888889,9.014488372,9.148653061,,,Ibo7,0.175,0.4,0.5
,,,,,Ave,74.86111111,74.6185472,75.38137348,,,,,,,,,,,,,Ibo8,80,80,80,,,Ibo8,9.687,9.198,9.184888889,,,Ibo8,0.0625,0.2,0.375
,,,,,Sem,4.214997474,1.886841035,4.128985928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ave,80,80,80,,,Ave,9.3169625,9.097368104,9.029442858,,,Ave,0.203125,0.365625,0.45625
,,,,,,,,,,,,,,,,,,,,,Sem,0,0,0,,,Sem,0.138334992,0.129977447,0.087806586,,,Sem,0.0575939,0.088590673,0.053643305
,,,,,Ibo2,53.33333333,63.63636364,74.41860465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ibo5,68.18181818,59.09090909,58.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ibo6,58.33333333,80,46.15384615,,,,,,,,,,,,,Ibo2,80,80,80,,,Ibo2,8.834966667,9.243772727,9.102581395,,,Ibo2,0.2,0.175,0.4
,,,,,,,,,,,,,,,,,,,,,Ibo5,80,80,80,,,Ibo5,9.384318182,9.093772727,9.203472222,,,Ibo5,0.1875,0.1625,0.2625
