S14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-trial bin,VD1,,,,,,,,,VD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bin,,,,,,,,,day1,,,,,,,,,day2,,,,,,,,,day3,,,,,,,,,day4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,,1,2,3,4,5,6,7,8,,9,10,11,12,13,14,15,16,,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse 1,50,70,60,50,40,50,40,30,,90,80,80,90,80,70,80,50,,70,60,80,50,90,70,80,70,,70,80,60,90,80,60,70,80,,70,80,80,70,90,100,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse 2,70,50,40,40,50,60,40,60,,70,60,80,80,70,60,50,50,,90,60,80,80,50,70,70,80,,90,70,70,70,80,70,90,70,,70,80,70,70,70,70,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse 3,70,40,50,60,40,40,20,40,,70,70,60,50,70,60,70,50,,70,70,50,100,100,100,60,80,,80,70,60,90,80,90,60,100,,90,90,80,80,80,80,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse 4,30,40,30,40,40,40,70,50,,40,40,80,30,40,60,40,50,,50,50,70,30,30,50,40,40,,60,50,60,50,60,50,60,80,,60,50,60,70,70,60,50,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,55,50,45,47.5,42.5,47.5,42.5,45,,67.5,62.5,75,62.5,65,62.5,60,50,,70,60,70,65,67.5,72.5,62.5,67.5,,75,67.5,62.5,75,75,67.5,70,82.5,,72.5,75,72.5,72.5,77.5,77.5,77.5,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem,9.574271078,7.071067812,6.454972244,4.787135539,2.5,4.787135539,10.30776406,6.454972244,,10.30776406,8.539125638,5,13.76892637,8.660254038,2.5,9.128709292,0,,8.164965809,4.082482905,7.071067812,15.54563176,16.52018967,10.30776406,8.539125638,9.464847243,,6.454972244,6.291528696,2.5,9.574271078,5,8.539125638,7.071067812,6.291528696,,6.291528696,8.660254038,4.787135539,2.5,4.787135539,8.539125638,9.464847243,6.454972244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
