S16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Correct,A,B,,C,,,D,,,,,,,,,,,,,,,,,,,,,,,,,
,VD1,VD2,,pre-acquisition,,,acquisition,,,,,,,,,,,,,,,,,,,,,,,,,
,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,1,2,3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
220726 WTM pi003,49.64539007,74.07407407,67.22689076,86.02150538,72.07207207,82.4742268,65.2173913,57.69230769,54.05405405,51.72413793,57.69230769,55.04587156,68.96551724,65.2173913,71.42857143,60,71.42857143,66.66666667,41.95804196,57.14285714,62.01550388,68.37606838,57.97101449,62.01550388,76.92307692,88.88888889,,,,,,
220716 WTM pi004,49.67741935,66.11570248,77.66990291,81.63265306,86.02150538,93.02325581,66.11570248,73.39449541,73.39449541,57.14285714,36.9047619,38.67403315,44.54545455,50.84745763,57.14285714,70.58823529,67.41573034,65.93406593,64.51612903,62.5,68.96551724,60,71.42857143,72.28915663,75.94936709,76.92307692,,,,,,
220716 WTM pi001,46.42857143,54.42176871,57.55395683,76.19047619,58.39416058,68.37606838,52.98013245,65.57377049,53.69127517,63.15789474,43.47826087,58.25242718,64.51612903,68.96551724,70.58823529,71.42857143,66.66666667,65.93406593,75,63.82978723,64.93506494,61.72839506,59.88023952,61.53846154,60.15037594,66.66666667,82.4742268,62.01550388,70.79646018,76.92307692,87.91208791,
220909 WTM pi002,72.72727273,86.02150538,79.20792079,79.20792079,75.47169811,74.76635514,59.3,63,70.8,72.1,70.8,76.2,77.7,,,,,,,,,,,,,,,,,,,
220907 WTM pi005,50,40.42553191,62.5,96.38554217,76.92307692,86.95652174,62.5,54.795,61.538,62.016,59.259,59.701,63.492,68.376,76.923,78.431,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,53.69573072,64.21171651,68.83173426,83.88761952,73.77650261,81.11928557,61.22264525,62.89111472,62.69556493,61.22817796,53.62686609,57.57466638,63.84382016,,,,,,,,,,,,,,,,,,,
Sem,4.802195886,7.868239337,4.216830072,3.514128688,4.484619494,4.360980445,2.378730988,3.241173954,4.106348026,3.387902064,6.024069357,5.981272635,5.437040522,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acquisition,Working memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,days to criteria,1,1,2,3,5,8,12,16,20,,,,,,,,,,,,,,,,,,,,,,
220726 WTM pi003,20,76.19047619,89.28571429,83.63636364,71.83098592,68.57142857,72.72727273,57.97101449,54.21686747,48,,,,,,,,,,,,,,,,,,,,,,
220716 WTM pi004,20,79.20792079,80,78.18181818,72.46376812,41.57303371,49.31506849,58.33333333,58.18181818,46.15384615,,,,,,,,,,,,,,,,,,,,,,
220716 WTM pi001,25,85.10638298,80,80,67.9245283,64.51612903,53.84615385,50,45.67901235,54.71698113,,,,,,,,,,,,,,,,,,,,,,
220909 WTM pi002,7,77.66990291,78.94736842,69.49152542,63.51351351,69.01408451,52.38095238,61.84210526,48.14814815,68.96551724,,,,,,,,,,,,,,,,,,,,,,
220907 WTM pi005,10,78.43137255,81.81818182,81.81818182,74.57627119,84.90566038,85.71428571,69.49152542,62.71186441,70.27027027,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,16.4,79.32121108,82.0102529,78.62557781,70.06181341,65.71606724,62.79674663,59.5275957,53.78754211,57.62132296,,,,,,,,,,,,,,,,,,,,,,
Sem,3.385262176,1.529725152,1.876602308,2.457819836,1.95867182,6.969922564,7.050483929,3.156431035,3.13598892,5.104873618,,,,,,,,,,,,,,,,,,,,,,
