A,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normalized fEPSP amplitude (%),,,,,Wild ,,,,,,,,,,NLGF,,,,,,,,,,wt,,NLGF,,,paired pulse ratio (%),wild,NLGF
tetanic stimulation at 10 min,,,Time (min),,#1,#2,#3,#4,#5,#6,#7,#8,#9,,#1,#2,#3,#4,#5,#6,#7,#8,#9,,averaged fEPSP (%),cumulative probability,averaged fEPSP (%),cumulative probability,,,199.3134015,167.4367307
,,,0,,96.506493,108.8868649,95.49476345,107.250423,98.40588211,95.48207449,94.30307867,101.652499,100.9769542,,91.6308675,98.98602357,99.85229612,102.1024108,94.91046183,97.93783397,93.66506952,115.982673,102.3964603,,97.18528398,0.111111111,66.9268207,0.111111111,,,162.1990429,168.3306916
,,,0.5,,100.3865659,114.1467699,99.88714337,98.84094755,98.18593154,92.22415593,95.68894073,99.95525985,99.80849109,,103.0611097,100.6973792,99.58598156,100.8160468,101.2252592,97.46368631,92.26298013,107.983868,105.3207259,,117.7633136,0.222222222,101.699266,0.222222222,,,204.3572797,170.7999759
,,,1,,93.31437632,106.8375512,99.19194655,110.0930626,100.1654866,94.87643578,94.46422542,98.56109916,101.0856485,,97.67661546,100.3339055,100.3379286,96.2374634,94.62770971,93.89879832,97.4314665,105.23918,97.6327374,,119.8326885,0.333333333,117.915056,0.333333333,,,137.7739569,156.85162
,,,1.5,,96.03868279,102.7389239,97.95955218,101.1505922,97.30612929,96.71423599,93.43288622,99.13694814,102.6345415,,99.14082004,98.92544461,99.83663056,94.95109948,96.88972667,95.9534382,93.69256146,99.20086635,93.67082922,,131.3539397,0.444444444,124.1618432,0.444444444,,,108.8532828,141.1792411
,,,2,,96.14875578,89.21345391,97.99115204,92.74111675,99.50563492,95.58649495,98.8151877,101.1069578,101.7921611,,100.8884191,101.6817874,99.03768687,99.09362736,98.77474081,100.9407692,100.2356453,100.4555809,99.37786362,,133.9454942,0.555555556,129.1095122,0.555555556,,,147.3814413,200.090909
,,,2.5,,97.9649601,103.6269599,98.24395088,100.676819,95.2825841,94.75113122,98.13837134,96.59108949,101.2486898,,90.63898698,99.4100763,101.6695014,96.95695509,97.78510839,100.2383282,94.15992459,99.98506292,98.10439314,,140.9953954,0.666666667,131.2867036,0.666666667,,,149.7349576,144.9207884
,,,3,,100.7718213,103.2854076,98.40195016,92.97800338,95.2825841,96.52627915,96.49467448,95.77277779,101.3573841,,94.84267111,98.86486564,99.820965,97.95988289,99.71724788,102.1700409,98.31120886,92.22151686,104.1415866,,147.2476151,0.777777778,147.8746466,0.777777778,,,148.6859134,163.9948455
,,,3.5,,97.35955866,99.11846985,99.66594438,106.4213198,100.2094767,96.6724678,100.2655085,100.0158755,99.99870602,,98.8101932,98.56197084,100.572912,99.42066903,100.2356268,102.8724819,94.26989239,113.5516636,89.09576857,,154.9771574,0.888888889,155.9388195,0.888888889,,,,
,,,4,,96.61656598,99.73326394,100.7719393,91.2605753,99.15371402,94.75113122,100.5555726,97.13663063,101.4117312,,103.6278986,99.69782637,101.8731537,100.5326107,98.25636192,105.6822458,100.2906292,100.5340005,95.18012757,,155.3927902,1,182.6812505,1,,,,
,,,4.5,,97.60722288,98.70860712,102.2255327,100.9137056,96.25036658,96.86042464,96.91365604,97.50032473,102.2812852,,99.84930613,100.8488266,101.324859,102.1896219,104.0999057,105.4890745,104.0295342,94.73094589,91.59554398,,,,,,,,,
,,,5,,97.41459515,102.4656821,100.3927411,102.5126904,95.01864343,95.14792899,102.7471684,101.7434225,103.9116989,,100.0382358,100.0158659,101.3718557,100.1183579,105.1366635,105.7349289,96.99159532,103.9060458,97.67990297,,,,,,,,,
,,,5.5,,101.5973687,103.4220285,101.1195377,90.84602369,99.7695756,91.34702402,100.8778661,102.2586558,101.7649875,,102.0692292,100.3187607,99.46065706,103.2797608,98.5862394,102.7144327,100.9504359,89.86892714,94.33114725,,,,,,,,,
,,,6,,101.4872957,99.11846985,98.55994944,92.03045685,101.2652394,93.43543334,100.4266552,103.7740478,99.21067274,,96.68473494,99.4100763,99.61731268,102.3204385,100.4712535,96.25197562,99.85075799,91.12364166,98.62321445,,,,,,,,,
,,,6.5,,100.8268578,90.30642118,98.05435175,100.7952623,103.7286857,95.04350853,101.329077,102.8951204,100.8139129,,105.6588921,99.24348416,99.46065706,100.0311468,102.8275212,99.50076516,100.3456131,105.23918,95.69894888,,,,,,,,,
,,,7,,103.1108723,90.92121528,100.7403395,88.77326565,104.6524781,96.92307692,102.8760858,102.1980401,100.3791359,,108.0677448,99.03145779,99.39799481,98.17791067,103.5344015,101.3271117,98.69609614,98.10299115,104.5189111,,,,,,,,,
,,,7.5,,106.1103613,93.31208119,99.50794511,106.8358714,100.8253383,95.83710407,104.455324,99.4703344,100.2704416,,95.45669238,101.5757742,98.45806105,100.3363857,102.1206409,100.8880861,105.23918,91.98625789,102.6794538,,,,,,,,,
,,,8,,103.0558358,98.57198621,104.8167208,99.78849408,107.6438058,93.72781065,102.3926456,99.01571678,99.45523479,,98.90465801,101.4394715,99.71130606,100.0311468,96.98397738,99.85198565,106.1739062,98.33825012,107.3488456,,,,,,,,,
,,,8.5,,103.8263468,93.58532301,101.5619357,103.3417936,99.24169425,95.7535677,101.4579944,99.37941087,95.21615921,,107.0758642,101.1971557,99.97762062,99.57328848,100.8482564,98.32417651,104.4694054,96.53459801,104.0000898,,,,,,,,,
,,,9,,103.3310183,100.0748162,101.1195377,100.5583756,100.3854372,96.42185868,106.4213143,99.44002656,96.30310167,,107.7371179,100.3187607,99.4449915,103.6068025,96.18284637,98.25393242,104.0570262,110.5717166,104.8962357,,,,,,,,,
,,,9.5,,104.4317482,101.1677835,102.5415312,108.7901861,101.4411999,93.81134702,105.9378741,99.98556769,95.62376263,,98.24340433,100.3641949,100.0402829,101.0776802,101.7907634,98.07832217,111.2874087,96.37775869,109.6599587,,,,,,,,,
,,,10,,102.0926972,100.7579208,101.7515349,103.4010152,106.2801123,198.1065089,102.0058934,102.410195,94.45529949,,99.89653854,99.07689201,99.14734581,101.1866941,104.9952875,96.42758586,103.589663,88.06527503,104.0472554,,,,,,,,,
,,,10.5,,208.6158322,95.83956802,100.4875406,331.285956,232.1798148,231.1033763,154.24967,182.695666,164.0739638,,180.5222555,148.7516407,98.61471668,213.9288606,152.6861451,163.00143,245.6680544,315.4038612,257.8070254,,,,,,,,,
,,,11,,215.9632042,89.89655845,187.3555435,399.3316413,266.975994,236.2408632,140.4555081,198.1829728,175.6770746,,162.3850116,132.4104657,98.70871005,223.9581387,176.8143261,158.6462959,257.8744796,320.1090407,321.7635433,,,,,,,,,
,,,11.5,,200.8281682,158.8218073,208.7802456,425.5668359,266.2721522,209.7598329,133.171675,187.3024578,170.1064945,,143.9643733,134.1824004,99.71130606,209.4156855,170.9707823,155.7838489,255.6751237,300.2688674,329.310035,,,,,,,,,
,,,12,,186.5461979,121.3193676,203.1554713,404.0693739,236.7547865,194.5353289,133.4617392,175.2399371,169.7532382,,129.7001867,134.2126899,100.6982365,192.5621379,162.3468426,148.8296831,235.0286702,269.7636207,301.5295122,,,,,,,,,
